"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"CA70AA",-3.181512,54.81949,2415.476,336469.5,"81B333A4-6E2C-33F1-E053-A03BA40A2BEA","1EB72024-B371-4D01-9282-36980F3B1680","CA7","0AA",54.81616,-3.144254
"CA70AB",-3.186397,54.81984,2730.807,336469.5,"81B333A4-6E2C-33F1-E053-A03BA40A2BEA","1EB72024-B371-4D01-9282-36980F3B1680","CA7","0AB",54.81616,-3.144254
"CA70AD",-3.192447,54.81928,3107.04,336469.5,"81B333A4-6E2C-33F1-E053-A03BA40A2BEA","1EB72024-B371-4D01-9282-36980F3B1680","CA7","0AD",54.81616,-3.144254
"CA70AE",-3.210161,54.81573,4223.043,336469.5,"81B333A4-6E2C-33F1-E053-A03BA40A2BEA","1EB72024-B371-4D01-9282-36980F3B1680","CA7","0AE",54.81616,-3.144254
"CA70AF",-3.180746,54.81991,2374.731,336469.5,"81B333A4-6E2C-33F1-E053-A03BA40A2BEA","1EB72024-B371-4D01-9282-36980F3B1680","CA7","0AF",54.81616,-3.144254
"CA70AG",-3.205665,54.81778,3938.704,336469.5,"81B333A4-6E2C-33F1-E053-A03BA40A2BEA","1EB72024-B371-4D01-9282-36980F3B1680","CA7","0AG",54.81616,-3.144254
"CA70AH",-3.20319,54.82151,3822.362,336469.5,"81B333A4-6E2C-33F1-E053-A03BA40A2BEA","1EB72024-B371-4D01-9282-36980F3B1680","CA7","0AH",54.81616,-3.144254
"CA70AJ",-3.20353,54.81514,3799.656,336469.5,"81B333A4-6E2C-33F1-E053-A03BA40A2BEA","1EB72024-B371-4D01-9282-36980F3B1680","CA7","0AJ",54.81616,-3.144254
"CA70AL",-3.211478,54.81604,4307.15,336469.5,"81B333A4-6E2C-33F1-E053-A03BA40A2BEA","1EB72024-B371-4D01-9282-36980F3B1680","CA7","0AL",54.81616,-3.144254
"CA70AN",-3.213665,54.81268,4464.282,336469.5,"81B333A4-6E2C-33F1-E053-A03BA40A2BEA","1EB72024-B371-4D01-9282-36980F3B1680","CA7","0AN",54.81616,-3.144254
"CA70AP",-3.213345,54.802,4699.402,336469.5,"81B333A4-6E2C-33F1-E053-A03BA40A2BEA","1EB72024-B371-4D01-9282-36980F3B1680","CA7","0AP",54.81616,-3.144254
"CA70AS",-3.207688,54.80474,4258.788,336469.5,"81B333A4-6E2C-33F1-E053-A03BA40A2BEA","1EB72024-B371-4D01-9282-36980F3B1680","CA7","0AS",54.81616,-3.144254
"CA70AT",-3.207771,54.79664,4613.215,336469.5,"81B333A4-6E2C-33F1-E053-A03BA40A2BEA","1EB72024-B371-4D01-9282-36980F3B1680","CA7","0AT",54.81616,-3.144254
"CA70AW",-3.206897,54.81064,4060.692,336469.5,"81B333A4-6E2C-33F1-E053-A03BA40A2BEA","1EB72024-B371-4D01-9282-36980F3B1680","CA7","0AW",54.81616,-3.144254
"CA70AX",-3.202207,54.79783,4236.685,336469.5,"81B333A4-6E2C-33F1-E053-A03BA40A2BEA","1EB72024-B371-4D01-9282-36980F3B1680","CA7","0AX",54.81616,-3.144254
"CA70AY",-3.214513,54.79368,5150.379,336469.5,"81B333A4-6E2C-33F1-E053-A03BA40A2BEA","1EB72024-B371-4D01-9282-36980F3B1680","CA7","0AY",54.81616,-3.144254
"CA70AZ",-3.231245,54.79413,6089.633,336469.5,"81B333A4-6E2C-33F1-E053-A03BA40A2BEA","1EB72024-B371-4D01-9282-36980F3B1680","CA7","0AZ",54.81616,-3.144254
"CA70BE",-3.176039,54.81751,2041.953,336469.5,"81B333A4-6E2C-33F1-E053-A03BA40A2BEA","1EB72024-B371-4D01-9282-36980F3B1680","CA7","0BE",54.81616,-3.144254
"CA70BG",-3.182736,54.81928,2489.672,336469.5,"81B333A4-6E2C-33F1-E053-A03BA40A2BEA","1EB72024-B371-4D01-9282-36980F3B1680","CA7","0BG",54.81616,-3.144254
"CA70BH",-3.238052,54.80769,6083.808,336469.5,"81B333A4-6E2C-33F1-E053-A03BA40A2BEA","1EB72024-B371-4D01-9282-36980F3B1680","CA7","0BH",54.81616,-3.144254
"CA70BJ",-3.226394,54.80396,5435.701,336469.5,"81B333A4-6E2C-33F1-E053-A03BA40A2BEA","1EB72024-B371-4D01-9282-36980F3B1680","CA7","0BJ",54.81616,-3.144254
"CA70BL",-3.225415,54.80196,5435.636,336469.5,"81B333A4-6E2C-33F1-E053-A03BA40A2BEA","1EB72024-B371-4D01-9282-36980F3B1680","CA7","0BL",54.81616,-3.144254
"CA70BN",-3.229826,54.79752,5862.915,336469.5,"81B333A4-6E2C-33F1-E053-A03BA40A2BEA","1EB72024-B371-4D01-9282-36980F3B1680","CA7","0BN",54.81616,-3.144254
"CA70BP",-3.237744,54.79042,6640.389,336469.5,"81B333A4-6E2C-33F1-E053-A03BA40A2BEA","1EB72024-B371-4D01-9282-36980F3B1680","CA7","0BP",54.81616,-3.144254
"CA70BQ",-3.222243,54.81016,5041.547,336469.5,"81B333A4-6E2C-33F1-E053-A03BA40A2BEA","1EB72024-B371-4D01-9282-36980F3B1680","CA7","0BQ",54.81616,-3.144254
"CA70BS",-3.243656,54.8017,6569.851,336469.5,"81B333A4-6E2C-33F1-E053-A03BA40A2BEA","1EB72024-B371-4D01-9282-36980F3B1680","CA7","0BS",54.81616,-3.144254
"CA70BT",-3.246279,54.80446,6666.146,336469.5,"81B333A4-6E2C-33F1-E053-A03BA40A2BEA","1EB72024-B371-4D01-9282-36980F3B1680","CA7","0BT",54.81616,-3.144254
"CA70BW",-3.23798,54.79312,6530.52,336469.5,"81B333A4-6E2C-33F1-E053-A03BA40A2BEA","1EB72024-B371-4D01-9282-36980F3B1680","CA7","0BW",54.81616,-3.144254
"CA70BX",-3.253323,54.80542,7090.472,336469.5,"81B333A4-6E2C-33F1-E053-A03BA40A2BEA","1EB72024-B371-4D01-9282-36980F3B1680","CA7","0BX",54.81616,-3.144254
"CA70BY",-3.244412,54.81316,6426.154,336469.5,"81B333A4-6E2C-33F1-E053-A03BA40A2BEA","1EB72024-B371-4D01-9282-36980F3B1680","CA7","0BY",54.81616,-3.144254
"CA70BZ",-3.250692,54.82047,6836.037,336469.5,"81B333A4-6E2C-33F1-E053-A03BA40A2BEA","1EB72024-B371-4D01-9282-36980F3B1680","CA7","0BZ",54.81616,-3.144254
"CA70DE",-3.252446,54.81876,6937.767,336469.5,"81B333A4-6E2C-33F1-E053-A03BA40A2BEA","1EB72024-B371-4D01-9282-36980F3B1680","CA7","0DE",54.81616,-3.144254
"CA70DF",-3.253513,54.81959,7010.394,336469.5,"81B333A4-6E2C-33F1-E053-A03BA40A2BEA","1EB72024-B371-4D01-9282-36980F3B1680","CA7","0DF",54.81616,-3.144254
"CA70DG",-3.252319,54.81974,6934.915,336469.5,"81B333A4-6E2C-33F1-E053-A03BA40A2BEA","1EB72024-B371-4D01-9282-36980F3B1680","CA7","0DG",54.81616,-3.144254
"CA70DH",-3.25501,54.82773,7210.769,336469.5,"81B333A4-6E2C-33F1-E053-A03BA40A2BEA","1EB72024-B371-4D01-9282-36980F3B1680","CA7","0DH",54.81616,-3.144254
"CA70DL",-3.23394,54.83153,5993.816,336469.5,"81B333A4-6E2C-33F1-E053-A03BA40A2BEA","1EB72024-B371-4D01-9282-36980F3B1680","CA7","0DL",54.81616,-3.144254
"CA70DP",-3.222749,54.83671,5522.556,336469.5,"81B333A4-6E2C-33F1-E053-A03BA40A2BEA","1EB72024-B371-4D01-9282-36980F3B1680","CA7","0DP",54.81616,-3.144254
"CA70DQ",-3.24644,54.82233,6582.455,336469.5,"81B333A4-6E2C-33F1-E053-A03BA40A2BEA","1EB72024-B371-4D01-9282-36980F3B1680","CA7","0DQ",54.81616,-3.144254
"CA70DT",-3.215432,54.83058,4833.289,336469.5,"81B333A4-6E2C-33F1-E053-A03BA40A2BEA","1EB72024-B371-4D01-9282-36980F3B1680","CA7","0DT",54.81616,-3.144254
"CA70DU",-3.211405,54.83699,4884.842,336469.5,"81B333A4-6E2C-33F1-E053-A03BA40A2BEA","1EB72024-B371-4D01-9282-36980F3B1680","CA7","0DU",54.81616,-3.144254
