"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
710,"CB41AP","E01018008","9E8910AE-F79E-2C71-E053-A03BA40A7146","Playing Field",2925.69984999897,177.50775,8,529603,44.8571428571428,"Less than or equal to 300m",204.1402734,29004.8013214278,7.85714285714286,498867,2415.63679400521,"CB4 1AP","CB4","1AP","CB41AP"
711,"CB42DJ","E01017954","9E8910AE-EFB4-2C71-E053-A03BA40A7146","Playing Field",39568.0550000007,167.6216,4,91557,44.3225806451613,"Less than or equal to 300m",268.930375806452,36773.6842096778,4.58064516129032,124252.322580645,4537.84998388708,"CB4 2DJ","CB4","2DJ","CB42DJ"
712,"CB42QX","E01017975","9E8910AE-EA54-2C71-E053-A03BA40A7146","Playing Field",43454.4270499941,299.2407,4,132086,58.3214285714286,"Less than or equal to 300m",218.238104678571,41939.3219821373,3.53571428571429,114227.464285714,5716.34118844119,"CB4 2QX","CB4","2QX","CB42QX"
713,"CB43RF","E01017952","9E8910AE-E82D-2C71-E053-A03BA40A7146","Playing Field",26820.7782000038,468.59045,5,133832,57.6666666666667,"300-600m",270.74594,28904.2331041691,4.5,119724.666666667,3658.93571428572,"CB4 3RF","CB4","3RF","CB43RF"
714,"CB48QD","E01018233","9E891071-BEF5-2C71-E053-A03BA40A7146","Playing Field",15270.9291000054,95.02105,2,83549,16.2647058823529,"Less than or equal to 300m",680.750273333333,50989.7903586748,1.36,63590.1866666667,260.235294117647,"CB4 8QD","CB4","8QD","CB48QD"
6712,"CB41BA","E01017973","9E8910AE-F79E-2C71-E053-A03BA40A7146","Playing Field",2925.69984999897,184.83777,7,517963,55.8947368421053,"Less than or equal to 300m",330.694241842105,44241.794357896,6.52631578947368,396697.921052632,2415.63679400521,"CB4 1BA","CB4","1BA","CB41BA"
6713,"CB43JR","E01017949","9E8910AE-F082-2C71-E053-A03BA40A7146","Playing Field",18063.9192500029,327.03058,6,349251,40.047619047619,"300-600m",204.772709738095,18037.1106166691,5.45238095238095,265578.5,4191.50739808579,"CB4 3JR","CB4","3JR","CB43JR"
6714,"CB46AW","E01018273","9E8910AE-FBE6-2C71-E053-A03BA40A7146","Playing Field",26354.5861999963,51.62364,6,426969,28.9454545454545,"Less than or equal to 300m",164.340063690909,189650.635439997,5.56363636363636,418616.727272727,497.034343434343,"CB4 6AW","CB4","6AW","CB46AW"
11762,"CB41GW","E01032792","9E891037-2A84-2C71-E053-A03BA40A7146","Playing Field",21249.0517000055,73.00685,7,829012,47.5,"Less than or equal to 300m",124.489692038462,62577.4948307727,7.96153846153846,924255.961538462,1004.78095238095,"CB4 1GW","CB4","1GW","CB41GW"
11763,"CB42AX","E01018006","9E8910AE-EFB4-2C71-E053-A03BA40A7146","Playing Field",39568.0550000007,396.87277,5,131723,52.3571428571428,"300-600m",456.257495714286,18768.3653446424,6,279665.642857143,4537.84998388708,"CB4 2AX","CB4","2AX","CB42AX"
11764,"CB42HJ","E01017952","9E8910AE-E82D-2C71-E053-A03BA40A7146","Playing Field",26820.7782000038,168.5141,5,137443,57.6666666666667,"Less than or equal to 300m",270.74594,28904.2331041691,4.5,119724.666666667,3658.93571428572,"CB4 2HJ","CB4","2HJ","CB42HJ"
11765,"CB43EY","E01017949","9E8910AE-F082-2C71-E053-A03BA40A7146","Playing Field",18063.9192500029,94.33981,5,213592,40.047619047619,"Less than or equal to 300m",204.772709738095,18037.1106166691,5.45238095238095,265578.5,4191.50739808579,"CB4 3EY","CB4","3EY","CB43EY"
11766,"CB46BP","E01018273","9E891071-C09E-2C71-E053-A03BA40A7146","Public Park Or Garden",326943.293849997,264.88678,6,426969,28.9454545454545,"Less than or equal to 300m",164.340063690909,189650.635439997,5.56363636363636,418616.727272727,1428.86501138286,"CB4 6BP","CB4","6BP","CB46BP"
11767,"CB48RX","E01018234","9E8910AE-BEB5-2C71-E053-A03BA40A7146","Playing Field",59815.5667000102,547.7682,2,65692,30.8653846153846,"300-600m",535.43185,44256.4189692389,1.92307692307692,65239.9230769231,3601.9130493136,"CB4 8RX","CB4","8RX","CB48RX"
11768,"CB49LP","E01018259","9E891071-BF22-2C71-E053-A03BA40A7146","Public Park Or Garden",14015.5769999957,166.68834,5,108478,28.6037735849057,"Less than or equal to 300m",462.472018584906,38763.1426537726,3.66037735849057,95993.6037735849,1984.90260071392,"CB4 9LP","CB4","9LP","CB49LP"
11769,"CB49US","E01018257","9E891041-7793-2C71-E053-A03BA40A7146","Public Park Or Garden",8369.23180000394,237.40262,4,91735,28.7547169811321,"Less than or equal to 300m",256.604933245283,15438.3270716977,3.9811320754717,80591.9245283019,3395.65782763896,"CB4 9US","CB4","9US","CB49US"
16122,"CB41LG","E01018006","9E8910AE-F79E-2C71-E053-A03BA40A7146","Playing Field",2925.69984999897,283.0477,7,517963,52.3571428571428,"Less than or equal to 300m",456.257495714286,18768.3653446424,6,279665.642857143,2415.63679400521,"CB4 1LG","CB4","1LG","CB41LG"
16123,"CB42HN","E01017952","9E8910AE-E82D-2C71-E053-A03BA40A7146","Playing Field",26820.7782000038,131.09538,5,137443,57.6666666666667,"Less than or equal to 300m",270.74594,28904.2331041691,4.5,119724.666666667,3658.93571428572,"CB4 2HN","CB4","2HN","CB42HN"
16124,"CB43ES","E01017949","9E8910AF-0249-2C71-E053-A03BA40A7146","Public Park Or Garden",11640.2948499975,371.51715,6,349251,40.047619047619,"300-600m",204.772709738095,18037.1106166691,5.45238095238095,265578.5,4913.40556486524,"CB4 3ES","CB4","3ES","CB43ES"
16125,"CB49PP","E01018259","9E8910AE-C84A-2C71-E053-A03BA40A7146","Playing Field",16742.645099996,365.08765,4,112842,28.6037735849057,"300-600m",462.472018584906,38763.1426537726,3.66037735849057,95993.6037735849,884.86705573498,"CB4 9PP","CB4","9PP","CB49PP"
