"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
778,"CF466AS","W01001290","9E89105D-513D-2C71-E053-A03BA40A7146","Playing Field",8801.98315000188,239.20076,4,48780,43.8301886792453,"Less than or equal to 300m",338.15934030303,8208.9317196987,4.18181818181818,51080.3939393939,475.782406272972,"CF46 6AS","CF46","6AS","CF466AS"
16166,"CF465HJ","W01001319","9E89105D-57B3-2C71-E053-A03BA40A7146","Playing Field",7217.33654999994,546.82446,7,76113,42.952380952381,"300-600m",422.7483575,7066.96604880946,4.09523809523809,71523.5,2096.5592469546,"CF46 5HJ","CF46","5HJ","CF465HJ"
19956,"CF466JB","W01001379","9E89105D-5A1E-2C71-E053-A03BA40A7146","Playing Field",20714.000949998,487.30792,2,38118,51.1612903225807,"300-600m",336.583031548387,20714.000949998,1.87096774193548,32514.7741935484,3256.46195286195,"CF46 6JB","CF46","6JB","CF466JB"
25948,"CF465BD","W01001320","9E89105D-56D0-2C71-E053-A03BA40A7146","Playing Field",901.775499999485,406.3693,5,103732,37.9189189189189,"300-600m",393.586561918919,50275.6286135136,4.54054054054054,104462.351351351,546.570677418389,"CF46 5BD","CF46","5BD","CF465BD"
30578,"CF466RS","W01001289","9E891090-F526-2C71-E053-A03BA40A7146","Playing Field",13494.9862499996,273.8923,3,44356,29.195652173913,"Less than or equal to 300m",429.398292682927,16343.3746268292,2.68292682926829,40126.6585365854,671.5,"CF46 6RS","CF46","6RS","CF466RS"
36753,"CF466HB","W01001378","9E89105D-5A1E-2C71-E053-A03BA40A7146","Playing Field",20714.000949998,216.36311,2,38118,55.2962962962963,"Less than or equal to 300m",322.508248777778,20468.8523388871,1.96296296296296,82229.1851851852,3256.46195286195,"CF46 6HB","CF46","6HB","CF466HB"
36754,"CF466SB","W01001289","9E891090-F526-2C71-E053-A03BA40A7146","Playing Field",13494.9862499996,421.1425,3,44356,29.195652173913,"300-600m",429.398292682927,16343.3746268292,2.68292682926829,40126.6585365854,671.5,"CF46 6SB","CF46","6SB","CF466SB"
45794,"CF466UF","W01001289","9E891090-F56F-2C71-E053-A03BA40A7146","Playing Field",20799.2161500013,549.4306,1,20799,29.195652173913,"300-600m",429.398292682927,16343.3746268292,2.68292682926829,40126.6585365854,437.934782608696,"CF46 6UF","CF46","6UF","CF466UF"
52992,"CF465RB","W01001321","9E89105D-5081-2C71-E053-A03BA40A7146","Playing Field",7301.02730000158,170.32028,7,141176,49.8709677419355,"Less than or equal to 300m",330.848997064516,32023.6434887077,5.80645161290323,121490.064516129,1120.00519048681,"CF46 5RB","CF46","5RB","CF465RB"
52993,"CF466NT","W01001377","9E89105D-5B6C-2C71-E053-A03BA40A7146","Playing Field",17404.4947000012,319.59506,3,1267238,44.8857142857143,"300-600m",443.462181542857,190822.942987144,2.31428571428571,976859.542857143,1098.07830687831,"CF46 6NT","CF46","6NT","CF466NT"
57905,"CF465HW","W01001321","9E89103D-BA8B-2C71-E053-A03BA40A7146","Playing Field",27581.4365999946,197.84085,8,149978,49.8709677419355,"Less than or equal to 300m",330.848997064516,32023.6434887077,5.80645161290323,121490.064516129,975.750790958609,"CF46 5HW","CF46","5HW","CF465HW"
57906,"CF466TP","W01001289","9E891090-F526-2C71-E053-A03BA40A7146","Playing Field",13494.9862499996,363.66193,3,44356,29.195652173913,"300-600m",429.398292682927,16343.3746268292,2.68292682926829,40126.6585365854,671.5,"CF46 6TP","CF46","6TP","CF466TP"
62243,"CF466LN","W01001378","9E89105D-5A1E-2C71-E053-A03BA40A7146","Playing Field",20714.000949998,216.3793,2,38118,55.2962962962963,"Less than or equal to 300m",322.508248777778,20468.8523388871,1.96296296296296,82229.1851851852,3256.46195286195,"CF46 6LN","CF46","6LN","CF466LN"
82629,"CF465BU","W01001319","9E89105D-57B3-2C71-E053-A03BA40A7146","Playing Field",7217.33654999994,503.4779,2,27931,42.952380952381,"300-600m",422.7483575,7066.96604880946,4.09523809523809,71523.5,2096.5592469546,"CF46 5BU","CF46","5BU","CF465BU"
83708,"CF466LS","W01001378","9E89105D-5A1E-2C71-E053-A03BA40A7146","Playing Field",20714.000949998,400.2849,2,38118,55.2962962962963,"300-600m",322.508248777778,20468.8523388871,1.96296296296296,82229.1851851852,3256.46195286195,"CF46 6LS","CF46","6LS","CF466LS"
83709,"CF466NA","W01001377","9E89105D-5A1E-2C71-E053-A03BA40A7146","Playing Field",20714.000949998,322.77856,3,1267238,44.8857142857143,"300-600m",443.462181542857,190822.942987144,2.31428571428571,976859.542857143,3256.46195286195,"CF46 6NA","CF46","6NA","CF466NA"
99263,"CF465AJ","W01001322","9E89105D-56D0-2C71-E053-A03BA40A7146","Playing Field",901.775499999485,221.06334,6,131313,37.2790697674419,"Less than or equal to 300m",216.644211906977,10937.6922186045,7.02325581395349,137296.558139535,546.570677418389,"CF46 5AJ","CF46","5AJ","CF465AJ"
99264,"CF465RW","W01001321","9E89105D-5081-2C71-E053-A03BA40A7146","Playing Field",7301.02730000158,180.24706,7,141176,49.8709677419355,"Less than or equal to 300m",330.848997064516,32023.6434887077,5.80645161290323,121490.064516129,1120.00519048681,"CF46 5RW","CF46","5RW","CF465RW"
