"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"CF831AA",-3.22167,51.57438,17.32147,9533.494,"81B3331B-36A6-33F1-E053-A03BA40A2BEA","CD63F8EE-895E-44F6-A3F1-C9EB38F68EB2","CF83","1AA",51.57422,-3.221667
"CF831AB",-3.224984,51.57526,97.35937,46088.47,"81B332F8-734E-33F1-E053-A03BA40A2BEA","BAC83A2B-3DBD-44CD-BE0E-B5CCE6759075","CF83","1AB",51.57489,-3.223704
"CF831AD",-3.227055,51.57539,235.9015,46088.47,"81B332F8-734E-33F1-E053-A03BA40A2BEA","162B2A46-61D6-475D-913D-08B86517F420","CF83","1AD",51.5763,-3.223974
"CF831AE",-3.228691,51.57453,346.9633,46088.47,"81B332F8-734E-33F1-E053-A03BA40A2BEA","BAC83A2B-3DBD-44CD-BE0E-B5CCE6759075","CF83","1AE",51.57489,-3.223704
"CF831AF",-3.226974,51.57399,247.4769,46088.47,"81B332F8-734E-33F1-E053-A03BA40A2BEA","BAC83A2B-3DBD-44CD-BE0E-B5CCE6759075","CF83","1AF",51.57489,-3.223704
"CF831AG",-3.228776,51.57552,342.9681,46088.47,"81B332F8-734E-33F1-E053-A03BA40A2BEA","162B2A46-61D6-475D-913D-08B86517F420","CF83","1AG",51.5763,-3.223974
"CF831AH",-3.228001,51.57514,298.2884,46088.47,"81B332F8-734E-33F1-E053-A03BA40A2BEA","BAC83A2B-3DBD-44CD-BE0E-B5CCE6759075","CF83","1AH",51.57489,-3.223704
"CF831AJ",-3.227344,51.57433,259.1875,46088.47,"81B332F8-734E-33F1-E053-A03BA40A2BEA","BAC83A2B-3DBD-44CD-BE0E-B5CCE6759075","CF83","1AJ",51.57489,-3.223704
"CF831AL",-3.225506,51.57682,120.7312,46088.47,"81B332F8-734E-33F1-E053-A03BA40A2BEA","162B2A46-61D6-475D-913D-08B86517F420","CF83","1AL",51.5763,-3.223974
"CF831AN",-3.228499,51.57597,314.904,46088.47,"81B332F8-734E-33F1-E053-A03BA40A2BEA","162B2A46-61D6-475D-913D-08B86517F420","CF83","1AN",51.5763,-3.223974
"CF831AP",-3.225244,51.57726,137.9411,46088.47,"81B332F8-734E-33F1-E053-A03BA40A2BEA","162B2A46-61D6-475D-913D-08B86517F420","CF83","1AP",51.5763,-3.223974
