"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
818,"CH12HX","E01018326","9E891046-EBC1-2C71-E053-A03BA40A7146","Public Park Or Garden",5203.79779999994,172.79468,12,144789,9.71146245059288,"Less than or equal to 300m",173.626334494071,10965.2233415022,10.8458498023715,141385.584980237,1151.53071083506,"CH1 2HX","CH1","2HX","CH12HX"
819,"CH12LB","E01018326","9E891046-EBC1-2C71-E053-A03BA40A7146","Public Park Or Garden",5203.79779999994,238.44705,11,151576,9.71146245059288,"Less than or equal to 300m",173.626334494071,10965.2233415022,10.8458498023715,141385.584980237,1151.53071083506,"CH1 2LB","CH1","2LB","CH12LB"
820,"CH13DZ","E01018326","9E8910C1-8281-2C71-E053-A03BA40A7146","Public Park Or Garden",970.130900000586,277.18945,12,142944,9.71146245059288,"Less than or equal to 300m",173.626334494071,10965.2233415022,10.8458498023715,141385.584980237,2348.53918286682,"CH1 3DZ","CH1","3DZ","CH13DZ"
821,"CH15HR","E01018309","9E8911C4-E206-2C71-E053-A03BA40A7146","Playing Field",9733.59324999942,341.78647,2,26857,59.037037037037,"300-600m",360.881840740741,9733.59324999942,3.74074074074074,52127.7777777778,3419.35157450077,"CH1 5HR","CH1","5HR","CH15HR"
822,"CH15LY","E01018316","9E8910B4-8B64-2C71-E053-A03BA40A7146","Public Park Or Garden",30083.9591500043,78.10249,7,137521,46.4838709677419,"Less than or equal to 300m",151.61737416129,18889.2446322592,6.67741935483871,139218.838709677,1308.56688804554,"CH1 5LY","CH1","5LY","CH15LY"
823,"CH19WX","E01018326","9E891046-EBC1-2C71-E053-A03BA40A7146","Public Park Or Garden",5203.79779999994,124.1934,11,143248,9.71146245059288,"Less than or equal to 300m",173.626334494071,10965.2233415022,10.8458498023715,141385.584980237,1151.53071083506,"CH1 9WX","CH1","9WX","CH19WX"
6806,"CH14AG","E01018328","9E891039-B335-2C71-E053-A03BA40A7146","Public Park Or Garden",1540.85014999992,445.04044,10,133076,82.8421052631579,"300-600m",402.470351578947,6733.4862342113,8.52631578947368,130408.789473684,2196.25691314933,"CH1 4AG","CH1","4AG","CH14AG"
6807,"CH15JD","E01018313","9E891048-712C-2C71-E053-A03BA40A7146","Public Park Or Garden",5714.89975000359,475.20312,7,94634,54.5833333333333,"300-600m",691.345202083333,6049.79087500324,3.41666666666667,40975.5833333333,4171.01470814133,"CH1 5JD","CH1","5JD","CH15JD"
6808,"CH15UY","E01018310","9E8910B4-8B66-2C71-E053-A03BA40A7146","Playing Field",58462.8588999981,141.79562,6,167914,57.3333333333333,"Less than or equal to 300m",110.559991666667,42593.9021629622,5.59259259259259,166337.962962963,1047.76470588235,"CH1 5UY","CH1","5UY","CH15UY"
6809,"CH19SD","E01018326","9E891046-EBC1-2C71-E053-A03BA40A7146","Public Park Or Garden",5203.79779999994,150.40279,11,143248,9.71146245059288,"Less than or equal to 300m",173.626334494071,10965.2233415022,10.8458498023715,141385.584980237,1151.53071083506,"CH1 9SD","CH1","9SD","CH19SD"
6810,"CH19WY","E01018326","9E891046-EBC1-2C71-E053-A03BA40A7146","Public Park Or Garden",5203.79779999994,124.1934,11,143248,9.71146245059288,"Less than or equal to 300m",173.626334494071,10965.2233415022,10.8458498023715,141385.584980237,1151.53071083506,"CH1 9WY","CH1","9WY","CH19WY"
11851,"CH15WA","E01018310","9E89103F-43C0-2C71-E053-A03BA40A7146","Playing Field",17124.1663500015,144.24979,6,167914,57.3333333333333,"Less than or equal to 300m",110.559991666667,42593.9021629622,5.59259259259259,166337.962962963,1733.41628264209,"CH1 5WA","CH1","5WA","CH15WA"
16202,"CH13JL","E01018326","9E891039-651A-2C71-E053-A03BA40A7146","Public Park Or Garden",2861.70145000105,227.24657,12,143890,9.71146245059288,"Less than or equal to 300m",173.626334494071,10965.2233415022,10.8458498023715,141385.584980237,1500.94307986699,"CH1 3JL","CH1","3JL","CH13JL"
16203,"CH14EG","E01018375","9E891039-B335-2C71-E053-A03BA40A7146","Public Park Or Garden",1540.85014999992,387.09302,6,153247,49.7297297297297,"300-600m",213.456250486486,14539.0632635139,5.64864864864865,140593.675675676,2196.25691314933,"CH1 4EG","CH1","4EG","CH14EG"
16204,"CH14QS","E01018330","9E8910C1-61BB-2C71-E053-A03BA40A7146","Playing Field",52620.6336000046,221.14474,5,105727,31.2941176470588,"Less than or equal to 300m",334.713234764706,39404.4358313745,5.64705882352941,129013.980392157,657.176470588235,"CH1 4QS","CH1","4QS","CH14QS"
