"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"CM31AA",0.46871,51.78564,2118.261,1851.162,"81B332FE-92DB-33F1-E053-A03BA40A2BEA","30F7111A-0623-4494-8E58-6BB6EF229427","CM3","1AA",51.76668,0.4716269
"CM31AB",0.465731,51.78872,2484,1851.162,"81B332FE-92DB-33F1-E053-A03BA40A2BEA","30F7111A-0623-4494-8E58-6BB6EF229427","CM3","1AB",51.76668,0.4716269
"CM31AD",0.461809,51.78514,2161.08,1851.162,"81B332FE-92DB-33F1-E053-A03BA40A2BEA","30F7111A-0623-4494-8E58-6BB6EF229427","CM3","1AD",51.76668,0.4716269
"CM31AE",0.465569,51.78975,2599.592,1851.162,"81B332FE-92DB-33F1-E053-A03BA40A2BEA","30F7111A-0623-4494-8E58-6BB6EF229427","CM3","1AE",51.76668,0.4716269
"CM31AF",0.464898,51.78993,2626.653,1851.162,"81B332FE-92DB-33F1-E053-A03BA40A2BEA","30F7111A-0623-4494-8E58-6BB6EF229427","CM3","1AF",51.76668,0.4716269
"CM31AG",0.4653,51.79012,2642.756,1851.162,"81B332FE-92DB-33F1-E053-A03BA40A2BEA","30F7111A-0623-4494-8E58-6BB6EF229427","CM3","1AG",51.76668,0.4716269
"CM31AH",0.46271,51.79582,3298.242,1851.162,"81B332FE-92DB-33F1-E053-A03BA40A2BEA","30F7111A-0623-4494-8E58-6BB6EF229427","CM3","1AH",51.76668,0.4716269
"CM31AJ",0.460024,51.79257,2987.589,1851.162,"81B332FE-92DB-33F1-E053-A03BA40A2BEA","30F7111A-0623-4494-8E58-6BB6EF229427","CM3","1AJ",51.76668,0.4716269
"CM31AL",0.460018,51.79352,3089.939,1851.162,"81B332FE-92DB-33F1-E053-A03BA40A2BEA","30F7111A-0623-4494-8E58-6BB6EF229427","CM3","1AL",51.76668,0.4716269
"CM31AN",0.458707,51.79262,3018.799,1851.162,"81B332FE-92DB-33F1-E053-A03BA40A2BEA","30F7111A-0623-4494-8E58-6BB6EF229427","CM3","1AN",51.76668,0.4716269
"CM31AP",0.459139,51.79363,3117.66,1851.162,"81B332FE-92DB-33F1-E053-A03BA40A2BEA","30F7111A-0623-4494-8E58-6BB6EF229427","CM3","1AP",51.76668,0.4716269
"CM31AQ",0.464197,51.79091,2742.234,1851.162,"81B332FE-92DB-33F1-E053-A03BA40A2BEA","30F7111A-0623-4494-8E58-6BB6EF229427","CM3","1AQ",51.76668,0.4716269
"CM31AR",0.456784,51.79432,3238.642,1851.162,"81B332FE-92DB-33F1-E053-A03BA40A2BEA","30F7111A-0623-4494-8E58-6BB6EF229427","CM3","1AR",51.76668,0.4716269
"CM31AS",0.457149,51.7949,3292.859,1851.162,"81B332FE-92DB-33F1-E053-A03BA40A2BEA","30F7111A-0623-4494-8E58-6BB6EF229427","CM3","1AS",51.76668,0.4716269
"CM31AT",0.457183,51.79526,3330.23,1851.162,"81B332FE-92DB-33F1-E053-A03BA40A2BEA","30F7111A-0623-4494-8E58-6BB6EF229427","CM3","1AT",51.76668,0.4716269
"CM31AU",0.457278,51.79543,3346.13,1851.162,"81B332FE-92DB-33F1-E053-A03BA40A2BEA","30F7111A-0623-4494-8E58-6BB6EF229427","CM3","1AU",51.76668,0.4716269
"CM31AW",0.46409,51.79134,2791.019,1851.162,"81B332FE-92DB-33F1-E053-A03BA40A2BEA","30F7111A-0623-4494-8E58-6BB6EF229427","CM3","1AW",51.76668,0.4716269
"CM31AX",0.448872,51.80034,4056.979,1851.162,"81B332FE-92DB-33F1-E053-A03BA40A2BEA","30F7111A-0623-4494-8E58-6BB6EF229427","CM3","1AX",51.76668,0.4716269
"CM31AY",0.446717,51.80046,4128.987,1851.162,"81B332FE-92DB-33F1-E053-A03BA40A2BEA","30F7111A-0623-4494-8E58-6BB6EF229427","CM3","1AY",51.76668,0.4716269
"CM31AZ",0.448309,51.80198,4240.189,1851.162,"81B332FE-92DB-33F1-E053-A03BA40A2BEA","30F7111A-0623-4494-8E58-6BB6EF229427","CM3","1AZ",51.76668,0.4716269
"CM31BA",0.460508,51.80358,4174.456,1851.162,"81B332FE-92DB-33F1-E053-A03BA40A2BEA","30F7111A-0623-4494-8E58-6BB6EF229427","CM3","1BA",51.76668,0.4716269
"CM31BB",0.461323,51.80336,4140.007,1851.162,"81B332FE-92DB-33F1-E053-A03BA40A2BEA","30F7111A-0623-4494-8E58-6BB6EF229427","CM3","1BB",51.76668,0.4716269
"CM31BD",0.525642,51.8353,2612.667,395937.6,"81B33365-DB1B-33F1-E053-A03BA40A2BEA","4F93C563-49D1-41B4-9691-9B91455A5A5B","CM3","1BD",51.85845,0.5191522
