"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
936,"CM71GP","E01021372","9E891045-ADCC-2C71-E053-A03BA40A7146","Public Park Or Garden",6294.95485000008,790.2316,3,34814,36.7096774193548,"600-900m",482.544634354839,12069.8828661287,2.51612903225806,124037.5,1687.72794824722,"CM7 1GP","CM7","1GP","CM71GP"
937,"CM77BN","E01021374","9E8910A9-1EC2-2C71-E053-A03BA40A7146","Playing Field",9395.82825000031,593.0599,3,144891,28.0909090909091,"300-600m",513.182346545455,13994.2567009084,2.87272727272727,142457.163636364,4358.35705600457,"CM7 7BN","CM7","7BN","CM77BN"
938,"CM77NF","E01021358","9E8910A9-1892-2C71-E053-A03BA40A7146","Playing Field",12381.8336499947,221.822,8,245146,20.9903846153846,"Less than or equal to 300m",259.608091221154,13058.6495230782,5.76923076923077,135461.490384615,2243.74384741076,"CM7 7NF","CM7","7NF","CM77NF"
939,"CM77XT","E01021365","9E8910B4-61E2-2C71-E053-A03BA40A7146","Public Park Or Garden",116372.370150004,350.00143,7,208981,17.5955882352941,"300-600m",286.384637757353,50138.2950801464,7.32352941176471,219241.963235294,6118.25786241123,"CM7 7XT","CM7","7XT","CM77XT"
6900,"CM71DB","E01021374","9E891038-6A6E-2C71-E053-A03BA40A7146","Playing Field",19123.2730499981,572.8979,3,144891,28.0909090909091,"300-600m",513.182346545455,13994.2567009084,2.87272727272727,142457.163636364,3077.75571609089,"CM7 1DB","CM7","1DB","CM71DB"
6901,"CM72SY","E01021358","9E891047-9AA7-2C71-E053-A03BA40A7146","Playing Field",6410.19525000129,211.22737,6,121147,20.9903846153846,"Less than or equal to 300m",259.608091221154,13058.6495230782,5.76923076923077,135461.490384615,531.507371794872,"CM7 2SY","CM7","2SY","CM72SY"
6902,"CM75ST","E01021356","9E89103D-CA28-2C71-E053-A03BA40A7146","Playing Field",10393.7431999994,356.82068,2,48328,28.82,"300-600m",872.920495853659,17539.2571560976,1.97560975609756,43430.756097561,4693.98566960816,"CM7 5ST","CM7","5ST","CM75ST"
6903,"CM76YW","E01021368","9E891045-ADCC-2C71-E053-A03BA40A7146","Public Park Or Garden",6294.95485000008,97.3242,3,79277,19.4444444444444,"Less than or equal to 300m",242.344087222222,18765.3173500014,3.83950617283951,87271.0987654321,1687.72794824722,"CM7 6YW","CM7","6YW","CM76YW"
6904,"CM77LL","E01021366","9E8910B4-61E2-2C71-E053-A03BA40A7146","Public Park Or Garden",116372.370150004,128.76335,3,133394,31.4807692307692,"Less than or equal to 300m",265.465624307692,87870.2303884656,4.78846153846154,159689.038461538,6118.25786241123,"CM7 7LL","CM7","7LL","CM77LL"
11927,"CM70SH","E01021357","9E8910B4-61C6-2C71-E053-A03BA40A7146","Public Park Or Garden",21398.1717999931,42.426407,7,237520,19.7375,"Less than or equal to 300m",128.88097035,21939.3220312455,6.5375,183359.25,1411.38161764706,"CM7 0SH","CM7","0SH","CM70SH"
