"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
6914,"CO124WG","E01022004","9E891047-DD3B-2C71-E053-A03BA40A7146","Public Park Or Garden",19288.6586499831,139.18692,4,49014,50.3142857142857,"Less than or equal to 300m",174.444147228571,18003.2880728466,5.94285714285714,108279.657142857,1614.88521303258,"CO12 4WG","CO12","4WG","CO124WG"
11948,"CO123LL","E01022001","9E8910ED-F9B8-2C71-E053-A03BA40A7146","Public Park Or Garden",79480.7763000156,253.6474,4,114234,29.7384615384615,"Less than or equal to 300m",262.599280923077,79480.7763000156,3.89230769230769,109858.107692308,3817.00239670337,"CO12 3LL","CO12","3LL","CO123LL"
11949,"CO124WF","E01022004","9E89103F-EB85-2C71-E053-A03BA40A7146","Playing Field",1629.28799999936,190.20515,4,49014,50.3142857142857,"Less than or equal to 300m",174.444147228571,18003.2880728466,5.94285714285714,108279.657142857,1997.71625141285,"CO12 4WF","CO12","4WF","CO124WF"
16284,"CO124JU","E01022007","9E8910CE-B4B4-2C71-E053-A03BA40A7146","Public Park Or Garden",39883.6793999998,272.23703,7,111373,54.3529411764706,"Less than or equal to 300m",243.869035588235,22027.5592911766,6.38235294117647,105110.411764706,1666.13209494324,"CO12 4JU","CO12","4JU","CO124JU"
32488,"CO124PJ","E01033051","9E8910CE-B4B4-2C71-E053-A03BA40A7146","Public Park Or Garden",39883.6793999998,222.64995,3,61453,41.719298245614,"Less than or equal to 300m",214.648466692982,23940.9942535038,4.78947368421053,90044.1228070175,1666.13209494324,"CO12 4PJ","CO12","4PJ","CO124PJ"
32489,"CO125EE","E01021992","9E8910CE-C23A-2C71-E053-A03BA40A7146","Playing Field",34347.0124499928,150.446,1,34347,36.6363636363636,"Less than or equal to 300m",414.153926060606,33198.4232272661,1,33198.3939393939,1945.85145573381,"CO12 5EE","CO12","5EE","CO125EE"
34099,"CO123NQ","E01022001","9E8910ED-F9B8-2C71-E053-A03BA40A7146","Public Park Or Garden",79480.7763000156,322.3678,4,104333,29.7384615384615,"300-600m",262.599280923077,79480.7763000156,3.89230769230769,109858.107692308,3817.00239670337,"CO12 3NQ","CO12","3NQ","CO123NQ"
36787,"CO124UA","E01033051","9E89103E-4447-2C71-E053-A03BA40A7146","Public Park Or Garden",7632.2958000001,144.20125,6,61654,41.719298245614,"Less than or equal to 300m",214.648466692982,23940.9942535038,4.78947368421053,90044.1228070175,835.71309155241,"CO12 4UA","CO12","4UA","CO124UA"
39664,"CO123BP","E01021998","9E8911BB-8447-2C71-E053-A03BA40A7146","Playing Field",12487.9314999995,208.25465,4,114234,31.3877551020408,"Less than or equal to 300m",158.051868938775,16534.4220051043,4,114234,1925.71949630916,"CO12 3BP","CO12","3BP","CO123BP"
40462,"CO123PY","E01022001","9E8910ED-F9B8-2C71-E053-A03BA40A7146","Public Park Or Garden",79480.7763000156,310.9373,3,101746,29.7384615384615,"300-600m",262.599280923077,79480.7763000156,3.89230769230769,109858.107692308,3817.00239670337,"CO12 3PY","CO12","3PY","CO123PY"
42345,"CO125JH","E01021992","9E8910CE-C23A-2C71-E053-A03BA40A7146","Playing Field",34347.0124499928,586.4887,1,34347,36.6363636363636,"300-600m",414.153926060606,33198.4232272661,1,33198.3939393939,1945.85145573381,"CO12 5JH","CO12","5JH","CO125JH"
45561,"CO125ED","E01021992","9E8910CE-C23A-2C71-E053-A03BA40A7146","Playing Field",34347.0124499928,68.42514,1,34347,36.6363636363636,"Less than or equal to 300m",414.153926060606,33198.4232272661,1,33198.3939393939,1945.85145573381,"CO12 5ED","CO12","5ED","CO125ED"
47278,"CO123AP","E01022001","9E8910ED-F9B8-2C71-E053-A03BA40A7146","Public Park Or Garden",79480.7763000156,92.64988,4,114234,29.7384615384615,"Less than or equal to 300m",262.599280923077,79480.7763000156,3.89230769230769,109858.107692308,3817.00239670337,"CO12 3AP","CO12","3AP","CO123AP"
47279,"CO123UJ","E01022004","9E891047-DD3B-2C71-E053-A03BA40A7146","Public Park Or Garden",19288.6586499831,202.47469,6,144810,50.3142857142857,"Less than or equal to 300m",174.444147228571,18003.2880728466,5.94285714285714,108279.657142857,1614.88521303258,"CO12 3UJ","CO12","3UJ","CO123UJ"
47280,"CO124EG","E01022005","9E8910CE-C0E3-2C71-E053-A03BA40A7146","Public Park Or Garden",2586.76650000006,396.0934,7,210967,46.8684210526316,"300-600m",215.525445078947,30148.9180749991,7.86842105263158,228022.894736842,330.397660818713,"CO12 4EG","CO12","4EG","CO124EG"
53130,"CO123TA","E01022005","9E891042-6CF7-2C71-E053-A03BA40A7146","Playing Field",82190.4800999968,130.60245,8,230256,46.8684210526316,"Less than or equal to 300m",215.525445078947,30148.9180749991,7.86842105263158,228022.894736842,612.735338345865,"CO12 3TA","CO12","3TA","CO123TA"
53131,"CO124FY","E01022006","9E8910CE-B5C4-2C71-E053-A03BA40A7146","Playing Field",10104.9324500012,152.06906,10,209756,45.025,"Less than or equal to 300m",149.34438195,15007.4300762454,9.225,201053.05,3017.5842621259,"CO12 4FY","CO12","4FY","CO124FY"
58037,"CO123TL","E01022005","9E891042-6CF7-2C71-E053-A03BA40A7146","Playing Field",82190.4800999968,275.78616,8,230256,46.8684210526316,"Less than or equal to 300m",215.525445078947,30148.9180749991,7.86842105263158,228022.894736842,612.735338345865,"CO12 3TL","CO12","3TL","CO123TL"
58038,"CO124EB","E01022005","9E8911C3-7BB8-2C71-E053-A03BA40A7146","Public Park Or Garden",2535.28464999957,224.24316,9,270139,46.8684210526316,"Less than or equal to 300m",215.525445078947,30148.9180749991,7.86842105263158,228022.894736842,878.755409356725,"CO12 4EB","CO12","4EB","CO124EB"
58039,"CO124HY","E01022006","9E8911C0-25C1-2C71-E053-A03BA40A7146","Public Park Or Garden",20464.0518999926,60.1415,9,197333,45.025,"Less than or equal to 300m",149.34438195,15007.4300762454,9.225,201053.05,1636.84516806723,"CO12 4HY","CO12","4HY","CO124HY"
58040,"CO124XJ","E01022004","9E8911C0-25C1-2C71-E053-A03BA40A7146","Public Park Or Garden",20464.0518999926,236.40009,8,149932,50.3142857142857,"Less than or equal to 300m",174.444147228571,18003.2880728466,5.94285714285714,108279.657142857,1636.84516806723,"CO12 4XJ","CO12","4XJ","CO124XJ"
62370,"CO123DS","E01021997","9E8911BB-8447-2C71-E053-A03BA40A7146","Playing Field",12487.9314999995,219.71346,4,114234,30.936170212766,"Less than or equal to 300m",271.780421702128,13759.1972723403,3.93617021276596,113147.553191489,1925.71949630916,"CO12 3DS","CO12","3DS","CO123DS"
66027,"CO123EB","E01021997","9E8911BB-8447-2C71-E053-A03BA40A7146","Playing Field",12487.9314999995,322.61588,4,114234,30.936170212766,"300-600m",271.780421702128,13759.1972723403,3.93617021276596,113147.553191489,1925.71949630916,"CO12 3EB","CO12","3EB","CO123EB"
66028,"CO123LH","E01021998","9E8910ED-F9B6-2C71-E053-A03BA40A7146","Public Park Or Garden",5244.57800000077,127.81628,4,114234,31.3877551020408,"Less than or equal to 300m",158.051868938775,16534.4220051043,4,114234,721.466782457664,"CO12 3LH","CO12","3LH","CO123LH"
