"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
990,"CR82HP","E01001073","9E891037-555D-2C71-E053-A03BA40A7146","Public Park Or Garden",1318.44430000009,519.7432,6,482428,72.9,"300-600m",453.865844,7738.8056724955,4.85,243155.8,2752.73933481514,"CR8 2HP","CR8","2HP","CR82HP"
991,"CR83ER","E01001092","9E8910C2-A510-2C71-E053-A03BA40A7146","Playing Field",16970.1517500013,585.0709,4,1240552,42.5813953488372,"300-600m",409.768392418605,512895.351894186,4.81395348837209,1318720.97674419,5934.39063511052,"CR8 3ER","CR8","3ER","CR83ER"
992,"CR84BY","E01001070","9E8910C2-9F2D-2C71-E053-A03BA40A7146","Playing Field",41893.8888499949,815.72546,3,802712,45.0975609756098,"600-900m",663.296001951219,155427.580941467,2.85365853658537,556912.780487805,2084.63117074588,"CR8 4BY","CR8","4BY","CR84BY"
6967,"CR82EQ","E01001069","9E891037-555D-2C71-E053-A03BA40A7146","Public Park Or Garden",1318.44430000009,124.7758,6,482428,54.4230769230769,"Less than or equal to 300m",210.298127807692,26750.1215000012,4.61538461538461,702867.923076923,2752.73933481514,"CR8 2EQ","CR8","2EQ","CR82EQ"
6968,"CR83LA","E01001094","9E8910C2-7E25-2C71-E053-A03BA40A7146","Public Park Or Garden",13782.8149999995,827.9251,3,844177,33.5434782608696,"600-900m",411.486527630435,206636.221708693,3.10869565217391,706028.347826087,2238.93889541716,"CR8 3LA","CR8","3LA","CR83LA"
6969,"CR84HJ","E01001067","9E8910C2-89F5-2C71-E053-A03BA40A7146","Playing Field",7217.34564999841,691.2308,4,95710,47.3142857142857,"600-900m",378.860859085714,24363.4079642881,4.77142857142857,284386.742857143,2055.21751152074,"CR8 4HJ","CR8","4HJ","CR84HJ"
12002,"CR81DS","E01001096","9E8910C2-A510-2C71-E053-A03BA40A7146","Playing Field",16970.1517500013,360.83514,6,1323970,46.2258064516129,"300-600m",423.365270322581,43547.6206451576,5.38709677419355,789803.64516129,5934.39063511052,"CR8 1DS","CR8","1DS","CR81DS"
12003,"CR85JU","E01001070","9E8910C2-B73D-2C71-E053-A03BA40A7146","Playing Field",15111.5034499944,563.008,4,1186922,45.0975609756098,"300-600m",663.296001951219,155427.580941467,2.85365853658537,556912.780487805,1581.62562750368,"CR8 5JU","CR8","5JU","CR85JU"
16326,"CR84EA","E01001074","9E8910C2-89F5-2C71-E053-A03BA40A7146","Playing Field",7217.34564999841,275.40878,3,55006,68.0645161290323,"Less than or equal to 300m",253.749567612903,9200.57584354488,4.19354838709677,105355.032258065,2055.21751152074,"CR8 4EA","CR8","4EA","CR84EA"
16327,"CR85JT","E01001070","9E89103A-C6B0-2C71-E053-A03BA40A7146","Public Park Or Garden",722122.183300005,503.57224,3,775930,45.0975609756098,"300-600m",663.296001951219,155427.580941467,2.85365853658537,556912.780487805,4587.5879446001,"CR8 5JT","CR8","5JT","CR85JT"
16328,"CR85NH","E01001075","9E8911BB-4AEF-2C71-E053-A03BA40A7146","Public Park Or Garden",410992.210150025,158.68523,4,466118,46.1351351351351,"Less than or equal to 300m",166.316200945946,131471.135516221,4.67567567567567,761808.972972973,4397.68822862322,"CR8 5NH","CR8","5NH","CR85NH"
20082,"CR83HR","E01001094","9E8910C2-78DA-2C71-E053-A03BA40A7146","Playing Field",21546.347049994,446.70013,2,35329,33.5434782608696,"300-600m",411.486527630435,206636.221708693,3.10869565217391,706028.347826087,2837.2812870497,"CR8 3HR","CR8","3HR","CR83HR"
23258,"CR82EF","E01001097","9E891037-555D-2C71-E053-A03BA40A7146","Public Park Or Garden",1318.44430000009,432.2268,7,499398,42.8,"300-600m",386.755210016667,14622.3956325011,4.41666666666667,985624.85,2752.73933481514,"CR8 2EF","CR8","2EF","CR82EF"
23259,"CR82ES","E01001069","9E891037-555D-2C71-E053-A03BA40A7146","Public Park Or Garden",1318.44430000009,171.26587,6,482428,54.4230769230769,"Less than or equal to 300m",210.298127807692,26750.1215000012,4.61538461538461,702867.923076923,2752.73933481514,"CR8 2ES","CR8","2ES","CR82ES"
23260,"CR82HG","E01001067","9E8910C2-B526-2C71-E053-A03BA40A7146","Playing Field",38696.5168500063,240.26027,6,482428,47.3142857142857,"Less than or equal to 300m",378.860859085714,24363.4079642881,4.77142857142857,284386.742857143,2901.35403056977,"CR8 2HG","CR8","2HG","CR82HG"
23261,"CR83HB","E01001094","9E8910C2-7E25-2C71-E053-A03BA40A7146","Public Park Or Garden",13782.8149999995,315.91928,3,75241,33.5434782608696,"300-600m",411.486527630435,206636.221708693,3.10869565217391,706028.347826087,2238.93889541716,"CR8 3HB","CR8","3HB","CR83HB"
26048,"CR82XT","E01001097","9E8910C2-A510-2C71-E053-A03BA40A7146","Playing Field",16970.1517500013,216.81558,4,1240552,42.8,"Less than or equal to 300m",386.755210016667,14622.3956325011,4.41666666666667,985624.85,5934.39063511052,"CR8 2XT","CR8","2XT","CR82XT"
26049,"CR83HF","E01001094","9E8910C2-7E25-2C71-E053-A03BA40A7146","Public Park Or Garden",13782.8149999995,44.102154,2,53695,33.5434782608696,"Less than or equal to 300m",411.486527630435,206636.221708693,3.10869565217391,706028.347826087,2238.93889541716,"CR8 3HF","CR8","3HF","CR83HF"
26050,"CR85FL","E01030860","9E8911BB-4AEF-2C71-E053-A03BA40A7146","Public Park Or Garden",410992.210150025,128.03516,5,1235391,39.551724137931,"Less than or equal to 300m",157.007399224138,158418.886864659,5.63793103448276,1264862.51724138,4397.68822862322,"CR8 5FL","CR8","5FL","CR85FL"
36804,"CR81BB","E01001098","9E891037-555D-2C71-E053-A03BA40A7146","Public Park Or Garden",1318.44430000009,383.9857,5,483088,51.5357142857143,"300-600m",553.312711071429,138589.193126794,4.35714285714286,551492.464285714,2752.73933481514,"CR8 1BB","CR8","1BB","CR81BB"
36805,"CR81BN","E01001098","9E891037-555D-2C71-E053-A03BA40A7146","Public Park Or Garden",1318.44430000009,635.8372,5,483088,51.5357142857143,"600-900m",553.312711071429,138589.193126794,4.35714285714286,551492.464285714,2752.73933481514,"CR8 1BN","CR8","1BN","CR81BN"
40467,"CR82DN","E01001075","9E8911BB-4AEF-2C71-E053-A03BA40A7146","Public Park Or Garden",410992.210150025,182.98907,4,466118,46.1351351351351,"Less than or equal to 300m",166.316200945946,131471.135516221,4.67567567567567,761808.972972973,4397.68822862322,"CR8 2DN","CR8","2DN","CR82DN"
42871,"CR85NS","E01001069","9E8910C2-B73D-2C71-E053-A03BA40A7146","Playing Field",15111.5034499944,191.65073,4,466118,54.4230769230769,"Less than or equal to 300m",210.298127807692,26750.1215000012,4.61538461538461,702867.923076923,1581.62562750368,"CR8 5NS","CR8","5NS","CR85NS"
43320,"CR85JR","E01001072","9E89103A-C6B0-2C71-E053-A03BA40A7146","Public Park Or Garden",722122.183300005,566.3709,3,775930,34.1818181818182,"300-600m",319.953289340909,707275.273693185,1.93181818181818,844866.159090909,4587.5879446001,"CR8 5JR","CR8","5JR","CR85JR"
44832,"CR83DJ","E01001028","9E8911C0-D5F9-2C71-E053-A03BA40A7146","Playing Field",39912.8348000061,308.59845,2,53695,34.9333333333333,"300-600m",343.557368,22084.6774277792,2.55555555555556,59894.0888888889,3198.88885405444,"CR8 3DJ","CR8","3DJ","CR83DJ"
47323,"CR81DU","E01001096","9E8910C2-A510-2C71-E053-A03BA40A7146","Playing Field",16970.1517500013,301.2806,5,1312449,46.2258064516129,"300-600m",423.365270322581,43547.6206451576,5.38709677419355,789803.64516129,5934.39063511052,"CR8 1DU","CR8","1DU","CR81DU"
47324,"CR85DY","E01001069","9E8910C2-B73D-2C71-E053-A03BA40A7146","Playing Field",15111.5034499944,264.37283,5,1188240,54.4230769230769,"Less than or equal to 300m",210.298127807692,26750.1215000012,4.61538461538461,702867.923076923,1581.62562750368,"CR8 5DY","CR8","5DY","CR85DY"
53179,"CR84DY","E01001074","9E8910C2-893A-2C71-E053-A03BA40A7146","Playing Field",9092.40594999419,155.30937,4,56324,68.0645161290323,"Less than or equal to 300m",253.749567612903,9200.57584354488,4.19354838709677,105355.032258065,3755.92414995641,"CR8 4DY","CR8","4DY","CR84DY"
58089,"CR82AN","E01001099","9E891037-555D-2C71-E053-A03BA40A7146","Public Park Or Garden",1318.44430000009,203.04926,6,482428,50.1290322580645,"Less than or equal to 300m",246.668965064516,80610.140916134,5.38709677419355,478536.967741935,2752.73933481514,"CR8 2AN","CR8","2AN","CR82AN"
58090,"CR82AQ","E01001095","9E8910C2-A510-2C71-E053-A03BA40A7146","Playing Field",16970.1517500013,73.92564,4,1240552,56.0714285714286,"Less than or equal to 300m",330.136533214286,29214.701280356,7.5,1297860.75,5934.39063511052,"CR8 2AQ","CR8","2AQ","CR82AQ"
58091,"CR84LG","E01001030","9E8910C2-7E25-2C71-E053-A03BA40A7146","Public Park Or Garden",13782.8149999995,472.82343,4,70005,63.5,"300-600m",491.096931363636,20178.1085068176,3.90909090909091,67752.1363636364,2238.93889541716,"CR8 4LG","CR8","4LG","CR84LG"
66060,"CR84DW","E01001074","9E8910C2-893A-2C71-E053-A03BA40A7146","Playing Field",9092.40594999419,152.97058,4,56324,68.0645161290323,"Less than or equal to 300m",253.749567612903,9200.57584354488,4.19354838709677,105355.032258065,3755.92414995641,"CR8 4DW","CR8","4DW","CR84DW"
