"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
23279,"CT33DS","E01024192","9E891090-A92C-2C71-E053-A03BA40A7146","Playing Field",19936.0806999947,350.89172,2,27136,40.5555555555556,"300-600m",179.049999422222,12577.6744644438,2.11111111111111,29141.4444444444,2309.65660776917,"CT3 3DS","CT3","3DS","CT33DS"
35523,"CT31DL","E01024206","9E891090-AA25-2C71-E053-A03BA40A7146","Playing Field",19216.591699998,358.1564,1,19216,20.1458333333333,"300-600m",539.532834895833,23281.4841062479,1,23280.875,846.125,"CT3 1DL","CT3","1DL","CT31DL"
36812,"CT32BN","E01024207","9E8910EA-DD0D-2C71-E053-A03BA40A7146","Playing Field",51735.7309499974,595.021,1,51735,21.1904761904762,"300-600m",639.330105,51735.7309499974,1,51735,1621.6481092437,"CT3 2BN","CT3","2BN","CT32BN"
38811,"CT31FG","E01024206","9E891090-AA25-2C71-E053-A03BA40A7146","Playing Field",19216.591699998,564.5751,1,19216,20.1458333333333,"300-600m",539.532834895833,23281.4841062479,1,23280.875,846.125,"CT3 1FG","CT3","1FG","CT31FG"
40474,"CT33BD","E01024191","9E891044-9B43-2C71-E053-A03BA40A7146","Public Park Or Garden",7200.37760000271,708.55414,1,7200,34.1159420289855,"600-900m",465.453527144928,12922.2152246368,1.92753623188406,25691.3623188406,2463.36876006441,"CT3 3BD","CT3","3BD","CT33BD"
44499,"CT33EE","E01024192","9E891044-9B43-2C71-E053-A03BA40A7146","Public Park Or Garden",7200.37760000271,88.23831,2,27136,40.5555555555556,"Less than or equal to 300m",179.049999422222,12577.6744644438,2.11111111111111,29141.4444444444,2463.36876006441,"CT3 3EE","CT3","3EE","CT33EE"
58119,"CT32JH","E01024208","9E8910EA-DD0D-2C71-E053-A03BA40A7146","Playing Field",51735.7309499974,237.13498,1,51735,24.0294117647059,"Less than or equal to 300m",200.311397194445,51735.7309499974,1,51735,1621.6481092437,"CT3 2JH","CT3","2JH","CT32JH"
58120,"CT33AS","E01024191","9E891044-9B43-2C71-E053-A03BA40A7146","Public Park Or Garden",7200.37760000271,440.4543,2,27136,34.1159420289855,"300-600m",465.453527144928,12922.2152246368,1.92753623188406,25691.3623188406,2463.36876006441,"CT3 3AS","CT3","3AS","CT33AS"
62430,"CT31AB","E01024209","9E891090-A8C4-2C71-E053-A03BA40A7146","Playing Field",28309.9975499934,392.86893,1,28309,23.7820512820513,"300-600m",500.064067632653,28309.9975499934,1,28309,1184.58078679312,"CT3 1AB","CT3","1AB","CT31AB"
83777,"CT31AJ","E01024209","9E891090-A8C4-2C71-E053-A03BA40A7146","Playing Field",28309.9975499934,180.41342,1,28309,23.7820512820513,"Less than or equal to 300m",500.064067632653,28309.9975499934,1,28309,1184.58078679312,"CT3 1AJ","CT3","1AJ","CT31AJ"
84789,"CT34HJ","E01024086","9E8910EA-70F0-2C71-E053-A03BA40A7146","Playing Field",40646.2795500099,580.90704,1,40646,43.0754716981132,"300-600m",238.657170310345,40646.2795500099,1,40646,1688.18867924528,"CT3 4HJ","CT3","4HJ","CT34HJ"
88953,"CT33BG","E01024192","9E891044-9B43-2C71-E053-A03BA40A7146","Public Park Or Garden",7200.37760000271,239.1694,3,45185,40.5555555555556,"Less than or equal to 300m",179.049999422222,12577.6744644438,2.11111111111111,29141.4444444444,2463.36876006441,"CT3 3BG","CT3","3BG","CT33BG"
90227,"CT33FY","E01024191","9E891090-A92C-2C71-E053-A03BA40A7146","Playing Field",19936.0806999947,670.6325,2,27136,34.1159420289855,"600-900m",465.453527144928,12922.2152246368,1.92753623188406,25691.3623188406,2309.65660776917,"CT3 3FY","CT3","3FY","CT33FY"
90573,"CT34GF","E01024086","9E8910EA-70F0-2C71-E053-A03BA40A7146","Playing Field",40646.2795500099,112.21854,1,40646,43.0754716981132,"Less than or equal to 300m",238.657170310345,40646.2795500099,1,40646,1688.18867924528,"CT3 4GF","CT3","4GF","CT34GF"
104647,"CT31UH","E01024084","9E8911BB-3C2E-2C71-E053-A03BA40A7146","Public Park Or Garden",3742.18399999793,55.027267,2,24819,29.5853658536585,"Less than or equal to 300m",467.488209268293,34882.9853658497,1.70731707317073,38243.8780487805,29.5853658536585,"CT3 1UH","CT3","1UH","CT31UH"
104648,"CT33AB","E01024192","9E891044-9B43-2C71-E053-A03BA40A7146","Public Park Or Garden",7200.37760000271,216.08563,3,45185,40.5555555555556,"Less than or equal to 300m",179.049999422222,12577.6744644438,2.11111111111111,29141.4444444444,2463.36876006441,"CT3 3AB","CT3","3AB","CT33AB"
121122,"CT31UJ","E01024084","9E891090-A89D-2C71-E053-A03BA40A7146","Playing Field",21077.0303999992,350.9259,3,25868,29.5853658536585,"300-600m",467.488209268293,34882.9853658497,1.70731707317073,38243.8780487805,1203.27546628407,"CT3 1UJ","CT3","1UJ","CT31UJ"
121123,"CT33HG","E01024191","9E891044-9B43-2C71-E053-A03BA40A7146","Public Park Or Garden",7200.37760000271,465.89377,2,27136,34.1159420289855,"300-600m",465.453527144928,12922.2152246368,1.92753623188406,25691.3623188406,2463.36876006441,"CT3 3HG","CT3","3HG","CT33HG"
123135,"CT31DU","E01024206","9E891090-AA25-2C71-E053-A03BA40A7146","Playing Field",19216.591699998,95.2103,1,19216,20.1458333333333,"Less than or equal to 300m",539.532834895833,23281.4841062479,1,23280.875,846.125,"CT3 1DU","CT3","1DU","CT31DU"
126655,"CT31FT","E01024084","9E891090-A89D-2C71-E053-A03BA40A7146","Playing Field",21077.0303999992,452.76926,2,24819,29.5853658536585,"300-600m",467.488209268293,34882.9853658497,1.70731707317073,38243.8780487805,1203.27546628407,"CT3 1FT","CT3","1FT","CT31FT"
128056,"CT33BQ","E01024192","9E891044-9B43-2C71-E053-A03BA40A7146","Public Park Or Garden",7200.37760000271,116.43024,2,27136,40.5555555555556,"Less than or equal to 300m",179.049999422222,12577.6744644438,2.11111111111111,29141.4444444444,2463.36876006441,"CT3 3BQ","CT3","3BQ","CT33BQ"
128057,"CT33BZ","E01024191","9E891090-A92C-2C71-E053-A03BA40A7146","Playing Field",19936.0806999947,21.931713,2,27136,34.1159420289855,"Less than or equal to 300m",465.453527144928,12922.2152246368,1.92753623188406,25691.3623188406,2309.65660776917,"CT3 3BZ","CT3","3BZ","CT33BZ"
130428,"CT32HP","E01024207","9E8910EA-DD0D-2C71-E053-A03BA40A7146","Playing Field",51735.7309499974,824.83936,1,51735,21.1904761904762,"600-900m",639.330105,51735.7309499974,1,51735,1621.6481092437,"CT3 2HP","CT3","2HP","CT32HP"
133833,"CT31SS","E01024085","9E891090-A89D-2C71-E053-A03BA40A7146","Playing Field",21077.0303999992,128.15616,2,24819,20.2235294117647,"Less than or equal to 300m",270.99621475,21077.0303999992,2,24819,1203.27546628407,"CT3 1SS","CT3","1SS","CT31SS"
134985,"CT31EW","E01024209","9E891090-A8C4-2C71-E053-A03BA40A7146","Playing Field",28309.9975499934,425.30225,1,28309,23.7820512820513,"300-600m",500.064067632653,28309.9975499934,1,28309,1184.58078679312,"CT3 1EW","CT3","1EW","CT31EW"
136393,"CT33EQ","E01024192","9E891090-A92C-2C71-E053-A03BA40A7146","Playing Field",19936.0806999947,377.0252,2,27136,40.5555555555556,"300-600m",179.049999422222,12577.6744644438,2.11111111111111,29141.4444444444,2309.65660776917,"CT3 3EQ","CT3","3EQ","CT33EQ"
137383,"CT31FH","E01024206","9E891090-AA25-2C71-E053-A03BA40A7146","Playing Field",19216.591699998,589.7839,1,19216,20.1458333333333,"300-600m",539.532834895833,23281.4841062479,1,23280.875,846.125,"CT3 1FH","CT3","1FH","CT31FH"
138199,"CT32AD","E01024207","9E8910EA-DD0D-2C71-E053-A03BA40A7146","Playing Field",51735.7309499974,202.47469,1,51735,21.1904761904762,"Less than or equal to 300m",639.330105,51735.7309499974,1,51735,1621.6481092437,"CT3 2AD","CT3","2AD","CT32AD"
