"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"CT65AA",1.120951,51.36216,149.5453,15246.15,"81B332F8-4C83-33F1-E053-A03BA40A2BEA","2A7EE687-C866-4895-A0DF-CFF5A94C578A","CT6","5AA",51.36083,1.120593
"CT65AB",1.133321,51.37035,264.1244,87220.28,"81B332FC-B24E-33F1-E053-A03BA40A2BEA","EAD1E0E4-0429-4AF4-A715-5D1C66A9E984","CT6","5AB",51.37259,1.134595
"CT65AD",1.133168,51.37147,158.981,87220.28,"81B332FC-B24E-33F1-E053-A03BA40A2BEA","EAD1E0E4-0429-4AF4-A715-5D1C66A9E984","CT6","5AD",51.37259,1.134595
"CT65AE",1.132422,51.3715,193.4582,87220.28,"81B332FC-B24E-33F1-E053-A03BA40A2BEA","EAD1E0E4-0429-4AF4-A715-5D1C66A9E984","CT6","5AE",51.37259,1.134595
"CT65AF",1.131289,51.37153,257.9609,87220.28,"81B332FC-B24E-33F1-E053-A03BA40A2BEA","EAD1E0E4-0429-4AF4-A715-5D1C66A9E984","CT6","5AF",51.37259,1.134595
"CT65AG",1.128993,51.37074,281.0729,72749.52,"81B3334D-E1CF-33F1-E053-A03BA40A2BEA","E2601476-DF37-4C76-A4C3-B866978C7030","CT6","5AG",51.36937,1.125592
"CT65AH",1.129133,51.3711,298.1102,1827.421,"81B333A7-88D6-33F1-E053-A03BA40A2BEA","E58C90B7-95FC-471F-AF1A-B9B3BAD08EBD","CT6","5AH",51.37304,1.126178
"CT65AJ",1.129863,51.37127,323.1836,1827.421,"81B333A7-88D6-33F1-E053-A03BA40A2BEA","E58C90B7-95FC-471F-AF1A-B9B3BAD08EBD","CT6","5AJ",51.37304,1.126178
"CT65AL",1.129545,51.37125,307.3063,1827.421,"81B333A7-88D6-33F1-E053-A03BA40A2BEA","E58C90B7-95FC-471F-AF1A-B9B3BAD08EBD","CT6","5AL",51.37304,1.126178
"CT65AN",1.129714,51.37098,335.7634,1827.421,"81B333A7-88D6-33F1-E053-A03BA40A2BEA","E58C90B7-95FC-471F-AF1A-B9B3BAD08EBD","CT6","5AN",51.37304,1.126178
