"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"CV11AA",-1.510776,52.41222,154.3133,10599.96,"81B3335C-36D6-33F1-E053-A03BA40A2BEA","7A4EE01E-C419-429B-B714-D50DD1F12FE6","CV1","1AA",52.4123,-1.508505
"CV11AB",-1.513361,52.4098,358.7897,10599.96,"81B3335C-36D6-33F1-E053-A03BA40A2BEA","62F476F7-7D5D-4438-87AF-93B7C80D151F","CV1","1AB",52.41084,-1.508353
"CV11AD",-1.510731,52.40698,348.9944,12339.86,"81B33479-4607-33F1-E053-A03BA40A2BEA","0D092CFD-B0E4-4789-81A5-B692213C1337","CV1","1AD",52.40467,-1.514213
"CV11AE",-1.511871,52.41159,230.6878,10599.96,"81B3335C-36D6-33F1-E053-A03BA40A2BEA","F89FB416-A224-4295-AA3C-02B839E746E9","CV1","1AE",52.41147,-1.508476
"CV11AF",-1.510776,52.41222,154.3133,10599.96,"81B3335C-36D6-33F1-E053-A03BA40A2BEA","7A4EE01E-C419-429B-B714-D50DD1F12FE6","CV1","1AF",52.4123,-1.508505
"CV11AH",-1.509392,52.4103,92.9392,10599.96,"81B3335C-36D6-33F1-E053-A03BA40A2BEA","62F476F7-7D5D-4438-87AF-93B7C80D151F","CV1","1AH",52.41084,-1.508353
"CV11AJ",-1.510812,52.41215,157.336,10599.96,"81B3335C-36D6-33F1-E053-A03BA40A2BEA","7A4EE01E-C419-429B-B714-D50DD1F12FE6","CV1","1AJ",52.4123,-1.508505
"CV11BA",-1.510431,52.40889,258.6096,10599.96,"81B3335C-36D6-33F1-E053-A03BA40A2BEA","62F476F7-7D5D-4438-87AF-93B7C80D151F","CV1","1BA",52.41084,-1.508353
"CV11BB",-1.510431,52.40889,258.6096,10599.96,"81B3335C-36D6-33F1-E053-A03BA40A2BEA","62F476F7-7D5D-4438-87AF-93B7C80D151F","CV1","1BB",52.41084,-1.508353
"CV11BD",-1.511821,52.41609,411.1433,45596.1,"81B3335C-2BD4-33F1-E053-A03BA40A2BEA","0659A127-63EF-4821-B83B-5043B6123606","CV1","1BD",52.41845,-1.516481
