"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
1090,"CV311EN","E01031336","9E8910B4-8E1A-2C71-E053-A03BA40A7146","Public Park Or Garden",17553.337000004,113.08846,9,1375551,45.76,"Less than or equal to 300m",200.79074754,27820.6753550017,8.12,1053426.28,2890.46686372279,"CV31 1EN","CV31","1EN","CV311EN"
1091,"CV311UD","E01031302","9E89105C-5F7F-2C71-E053-A03BA40A7146","Playing Field",20436.447299996,209.20087,4,1190994,54.6666666666667,"Less than or equal to 300m",130.630692111111,20436.447299996,3.11111111111111,887321.555555556,1231.88120740019,"CV31 1UD","CV31","1UD","CV311UD"
1092,"CV313EY","E01031261","9E89103A-643B-2C71-E053-A03BA40A7146","Public Park Or Garden",7658.69474999882,244.9204,7,196393,38.4038461538461,"Less than or equal to 300m",372.418899711538,16133.7319192308,6.21153846153846,201304.288461538,2875.58041593732,"CV31 3EY","CV31","3EY","CV313EY"
1093,"CV313RP","E01031262","9E89103A-643B-2C71-E053-A03BA40A7146","Public Park Or Garden",7658.69474999882,319.75772,5,115952,42.7352941176471,"300-600m",209.870617235294,7658.69474999883,4.91176470588235,118593.852941176,2875.58041593732,"CV31 3RP","CV31","3RP","CV313RP"
1094,"CV319SS","E01031293","9E89105C-283D-2C71-E053-A03BA40A7146","Public Park Or Garden",85685.28684999,187.52333,9,262700,31.8909090909091,"Less than or equal to 300m",281.029002727273,58133.2759381767,6.4,198728.963636364,3305.05069549187,"CV31 9SS","CV31","9SS","CV319SS"
7044,"CV312PS","E01031264","9E89105C-5D67-2C71-E053-A03BA40A7146","Playing Field",26137.3724999991,155.39627,5,98627,53.258064516129,"Less than or equal to 300m",215.290965193548,26554.2901451602,4.80645161290323,98567.5806451613,4096.39046841891,"CV31 2PS","CV31","2PS","CV312PS"
7045,"CV313EW","E01031262","9E89103A-643B-2C71-E053-A03BA40A7146","Public Park Or Garden",7658.69474999882,269.774,5,122623,42.7352941176471,"Less than or equal to 300m",209.870617235294,7658.69474999883,4.91176470588235,118593.852941176,2875.58041593732,"CV31 3EW","CV31","3EW","CV313EW"
7046,"CV313QJ","E01031291","9E89105C-283D-2C71-E053-A03BA40A7146","Public Park Or Garden",85685.28684999,44.294468,8,250168,28.5666666666667,"Less than or equal to 300m",173.025674283333,57473.0734299944,8.55,262751.833333333,3305.05069549187,"CV31 3QJ","CV31","3QJ","CV313QJ"
12063,"CV311YX","E01031334","9E89105C-5D67-2C71-E053-A03BA40A7146","Playing Field",26137.3724999991,400.7156,5,1296109,34.6153846153846,"300-600m",516.246014871795,344489.820276922,4.33333333333333,1196523.05128205,4096.39046841891,"CV31 1YX","CV31","1YX","CV311YX"
12064,"CV313JJ","E01031265","9E89105C-28F4-2C71-E053-A03BA40A7146","Playing Field",24302.9886500027,95.02105,6,223172,57.2758620689655,"Less than or equal to 300m",234.592897862069,24302.9886500027,6.93103448275862,239991.344827586,3074.62545787546,"CV31 3JJ","CV31","3JJ","CV313JJ"
12065,"CV313JZ","E01031265","9E89105C-28F4-2C71-E053-A03BA40A7146","Playing Field",24302.9886500027,94.15413,6,223172,57.2758620689655,"Less than or equal to 300m",234.592897862069,24302.9886500027,6.93103448275862,239991.344827586,3074.62545787546,"CV31 3JZ","CV31","3JZ","CV313JZ"
16385,"CV312ES","E01031266","9E89105C-5654-2C71-E053-A03BA40A7146","Playing Field",32417.9974499977,235.30618,8,276109,53.8139534883721,"Less than or equal to 300m",301.006268372093,35315.9128255794,6.97674418604651,237305.279069767,6251.23087347215,"CV31 2ES","CV31","2ES","CV312ES"
20121,"CV312AJ","E01031263","9E89105C-5654-2C71-E053-A03BA40A7146","Playing Field",32417.9974499977,73.57309,7,198227,52.6388888888889,"Less than or equal to 300m",152.817391194444,28979.2054083312,5.75,154590.888888889,6251.23087347215,"CV31 2AJ","CV31","2AJ","CV312AJ"
20122,"CV313AZ","E01031261","9E89103A-643B-2C71-E053-A03BA40A7146","Public Park Or Garden",7658.69474999882,265,8,222530,38.4038461538461,"Less than or equal to 300m",372.418899711538,16133.7319192308,6.21153846153846,201304.288461538,2875.58041593732,"CV31 3AZ","CV31","3AZ","CV313AZ"
23308,"CV311QT","E01031332","9E89105C-5654-2C71-E053-A03BA40A7146","Playing Field",32417.9974499977,542.6841,4,1264002,39.6875,"300-600m",449.4342396875,159714.522346873,4.3125,1160186.6875,6251.23087347215,"CV31 1QT","CV31","1QT","CV311QT"
