"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"DA11AA",0.20962,51.4447,614.4891,125604.1,"81B3331E-29C3-33F1-E053-A03BA40A2BEA","D6F269BB-D215-426A-AEB6-9C97F05A1FCC","DA1","1AA",51.44166,0.2170219
"DA11AB",0.216739,51.44521,233.3634,125604.1,"81B3331E-29C3-33F1-E053-A03BA40A2BEA","2166CDD3-E906-43F2-938A-4A07CDB83C1C","DA1","1AB",51.44339,0.2184185
"DA11AE",0.226003,51.44273,475.7427,44211.18,"81B332FC-0F1E-33F1-E053-A03BA40A2BEA","76017C11-65C5-400C-9207-B71C3D549BAC","DA1","1AE",51.44178,0.2326947
"DA11AF",0.209755,51.4445,594.588,125604.1,"81B3331E-29C3-33F1-E053-A03BA40A2BEA","D6F269BB-D215-426A-AEB6-9C97F05A1FCC","DA1","1AF",51.44166,0.2170219
"DA11AG",0.219235,51.44116,162.922,125604.1,"81B3331E-29C3-33F1-E053-A03BA40A2BEA","D6F269BB-D215-426A-AEB6-9C97F05A1FCC","DA1","1AG",51.44166,0.2170219
"DA11AH",0.221286,51.44489,246.5675,125604.1,"81B3331E-29C3-33F1-E053-A03BA40A2BEA","706D0C0F-49CD-41A1-AE5B-D6C323487B6B","DA1","1AH",51.44332,0.2187717
"DA11AJ",0.222849,51.43885,103.877,125604.1,"81B3331E-29C3-33F1-E053-A03BA40A2BEA","FBE08623-59EB-4564-BC1B-C9D70AB5B814","DA1","1AJ",51.43792,0.2226868
"DA11AL",0.228027,51.4329,670.0936,125604.1,"81B3331E-29C3-33F1-E053-A03BA40A2BEA","FBE08623-59EB-4564-BC1B-C9D70AB5B814","DA1","1AL",51.43792,0.2226868
"DA11AN",0.227439,51.43441,510.7516,125604.1,"81B3331E-29C3-33F1-E053-A03BA40A2BEA","FBE08623-59EB-4564-BC1B-C9D70AB5B814","DA1","1AN",51.43792,0.2226868
"DA11AP",0.228608,51.4327,710.3816,125604.1,"81B3331E-29C3-33F1-E053-A03BA40A2BEA","FBE08623-59EB-4564-BC1B-C9D70AB5B814","DA1","1AP",51.43792,0.2226868
"DA11AQ",0.221314,51.44489,248.021,125604.1,"81B3331E-29C3-33F1-E053-A03BA40A2BEA","706D0C0F-49CD-41A1-AE5B-D6C323487B6B","DA1","1AQ",51.44332,0.2187717
"DA11AS",0.216818,51.44653,366.2405,125604.1,"81B3331E-29C3-33F1-E053-A03BA40A2BEA","2166CDD3-E906-43F2-938A-4A07CDB83C1C","DA1","1AS",51.44339,0.2184185
"DA11AU",0.22027,51.43078,811.6654,125604.1,"81B3331E-29C3-33F1-E053-A03BA40A2BEA","FBE08623-59EB-4564-BC1B-C9D70AB5B814","DA1","1AU",51.43792,0.2226868
"DA11BA",0.217488,51.4449,180.4846,125604.1,"81B3331E-29C3-33F1-E053-A03BA40A2BEA","2166CDD3-E906-43F2-938A-4A07CDB83C1C","DA1","1BA",51.44339,0.2184185
"DA11BB",0.220301,51.44418,142.7396,125604.1,"81B3331E-29C3-33F1-E053-A03BA40A2BEA","706D0C0F-49CD-41A1-AE5B-D6C323487B6B","DA1","1BB",51.44332,0.2187717
"DA11BD",0.216371,51.44503,231.5036,125604.1,"81B3331E-29C3-33F1-E053-A03BA40A2BEA","2166CDD3-E906-43F2-938A-4A07CDB83C1C","DA1","1BD",51.44339,0.2184185
"DA11BE",0.216827,51.44496,206.9703,125604.1,"81B3331E-29C3-33F1-E053-A03BA40A2BEA","2166CDD3-E906-43F2-938A-4A07CDB83C1C","DA1","1BE",51.44339,0.2184185
"DA11BG",0.216739,51.44611,323.9696,125604.1,"81B3331E-29C3-33F1-E053-A03BA40A2BEA","2166CDD3-E906-43F2-938A-4A07CDB83C1C","DA1","1BG",51.44339,0.2184185
"DA11BH",0.21605,51.44493,237.4493,125604.1,"81B3331E-29C3-33F1-E053-A03BA40A2BEA","2166CDD3-E906-43F2-938A-4A07CDB83C1C","DA1","1BH",51.44339,0.2184185
"DA11BJ",0.21605,51.44493,237.4493,125604.1,"81B3331E-29C3-33F1-E053-A03BA40A2BEA","2166CDD3-E906-43F2-938A-4A07CDB83C1C","DA1","1BJ",51.44339,0.2184185
"DA11BL",0.21605,51.44493,237.4493,125604.1,"81B3331E-29C3-33F1-E053-A03BA40A2BEA","2166CDD3-E906-43F2-938A-4A07CDB83C1C","DA1","1BL",51.44339,0.2184185
"DA11BN",0.217779,51.44912,639.4617,125604.1,"81B3331E-29C3-33F1-E053-A03BA40A2BEA","2166CDD3-E906-43F2-938A-4A07CDB83C1C","DA1","1BN",51.44339,0.2184185
"DA11BP",0.217965,51.44762,471.6241,125604.1,"81B3331E-29C3-33F1-E053-A03BA40A2BEA","2166CDD3-E906-43F2-938A-4A07CDB83C1C","DA1","1BP",51.44339,0.2184185
"DA11BQ",0.21837,51.44944,673.7372,125604.1,"81B3331E-29C3-33F1-E053-A03BA40A2BEA","2166CDD3-E906-43F2-938A-4A07CDB83C1C","DA1","1BQ",51.44339,0.2184185
"DA11BS",0.215788,51.45289,1072.731,125604.1,"81B3331E-29C3-33F1-E053-A03BA40A2BEA","2166CDD3-E906-43F2-938A-4A07CDB83C1C","DA1","1BS",51.44339,0.2184185
