"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
1185,"DD111HG","S01007189","9E8910C4-B653-2C71-E053-A03BA40A7146","Public Park Or Garden",10368.3902999959,162.45923,3,300379,32,"Less than or equal to 300m",96.6865008181818,128975.160174998,2.95454545454545,293645.954545454,3427.8977370977,"DD11 1HG","DD11","1HG","DD111HG"
1186,"DD111PG","S01007185","9E891041-00F7-2C71-E053-A03BA40A7146","Public Park Or Garden",25445.5664499937,271.11804,8,439154,25.7878787878788,"Less than or equal to 300m",214.946409,27532.1134969628,7.57575757575758,458018.484848485,938.393115942029,"DD11 1PG","DD11","1PG","DD111PG"
1187,"DD113EF","S01007182","9E8910C4-B64E-2C71-E053-A03BA40A7146","Playing Field",23548.1119999986,224.75098,7,190728,29.1176470588235,"Less than or equal to 300m",180.694945617647,23630.9246705877,7.05882352941176,268788,2631.64807963514,"DD11 3EF","DD11","3EF","DD113EF"
7122,"DD111JG","S01007187","9E8910C4-B653-2C71-E053-A03BA40A7146","Public Park Or Garden",10368.3902999959,380.13943,4,306943,17.5106382978723,"300-600m",212.179469195652,206327.401397826,5.43478260869565,360448.913043478,3427.8977370977,"DD11 1JG","DD11","1JG","DD111JG"
7123,"DD111NN","S01007186","9E891041-00F7-2C71-E053-A03BA40A7146","Public Park Or Garden",25445.5664499937,385.65918,8,439154,25.875,"300-600m",317.902502083333,155025.111883331,7.33333333333333,418597.958333333,938.393115942029,"DD11 1NN","DD11","1NN","DD111NN"
7124,"DD112DD","S01007180","9E89103E-4433-2C71-E053-A03BA40A7146","Public Park Or Garden",28695.9216500082,333.78137,8,299347,33.1363636363636,"300-600m",398.602094545455,21456.257243184,8.09090909090909,301469.227272727,675,"DD11 2DD","DD11","2DD","DD112DD"
7125,"DD114JB","S01007174","9E891077-D6FF-2C71-E053-A03BA40A7146","Playing Field",24252.0197000065,702.4137,1,24252,30.6,"600-900m",721.009343333333,24225.9490444507,1.33333333333333,29725.2222222222,4080.23727104497,"DD11 4JB","DD11","4JB","DD114JB"
7126,"DD115BP","S01007190","9E8910C4-B65A-2C71-E053-A03BA40A7146","Public Park Or Garden",247581.930050001,152.50246,3,300379,28.6896551724138,"Less than or equal to 300m",221.101016307692,211087.539319231,3,300379,3370.10189267069,"DD11 5BP","DD11","5BP","DD115BP"
16439,"DD115HJ","S01007194","9E891077-D604-2C71-E053-A03BA40A7146","Playing Field",42429.2821999982,273.60007,3,300379,29.55,"Less than or equal to 300m",322.872265,73202.1793774986,3,300379,4215.44943009119,"DD11 5HJ","DD11","5HJ","DD115HJ"
20170,"DD112HW","S01007176","9E891077-D6FF-2C71-E053-A03BA40A7146","Playing Field",24252.0197000065,263.8219,3,58517,38.5625,"Less than or equal to 300m",158.5716275625,22560.1763812551,3.3125,67484.5,4080.23727104497,"DD11 2HW","DD11","2HW","DD112HW"
20171,"DD112LT","S01007179","9E891077-C82E-2C71-E053-A03BA40A7146","Playing Field",10717.2731499954,518.6135,4,180530,53.6470588235294,"300-600m",484.319682142857,52675.3271928567,4.14285714285714,176571.642857143,3296.37015745692,"DD11 2LT","DD11","2LT","DD112LT"
20172,"DD115AD","S01007193","9E8910C4-B653-2C71-E053-A03BA40A7146","Public Park Or Garden",10368.3902999959,336.72836,3,300379,43.1875,"300-600m",301.6922025,18383.6132749965,3,300379,3427.8977370977,"DD11 5AD","DD11","5AD","DD115AD"
23344,"DD111PU","S01007185","9E891041-00F7-2C71-E053-A03BA40A7146","Public Park Or Garden",25445.5664499937,30,7,428786,25.7878787878788,"Less than or equal to 300m",214.946409,27532.1134969628,7.57575757575758,458018.484848485,938.393115942029,"DD11 1PU","DD11","1PU","DD111PU"
23345,"DD113HA","S01007175","9E891077-C82E-2C71-E053-A03BA40A7146","Playing Field",10717.2731499954,248.55785,3,58517,35.2222222222222,"Less than or equal to 300m",137.813240055556,13724.9946055534,2.55555555555556,48051.2222222222,3296.37015745692,"DD11 3HA","DD11","3HA","DD113HA"
28591,"DD113SR","S01007182","9E891077-D6FF-2C71-E053-A03BA40A7146","Playing Field",24252.0197000065,95.80188,3,58517,29.1176470588235,"Less than or equal to 300m",180.694945617647,23630.9246705877,7.05882352941176,268788,4080.23727104497,"DD11 3SR","DD11","3SR","DD113SR"
28592,"DD115AZ","S01007189","9E8910C4-B653-2C71-E053-A03BA40A7146","Public Park Or Garden",10368.3902999959,127.66362,3,300379,32,"Less than or equal to 300m",96.6865008181818,128975.160174998,2.95454545454545,293645.954545454,3427.8977370977,"DD11 5AZ","DD11","5AZ","DD115AZ"
30727,"DD111BU","S01007188","9E8910C4-B65A-2C71-E053-A03BA40A7146","Public Park Or Garden",247581.930050001,146.53668,5,354413,26.6666666666667,"Less than or equal to 300m",125.982703142857,247581.930050001,4.66666666666667,340867.952380952,3370.10189267069,"DD11 1BU","DD11","1BU","DD111BU"
30728,"DD113JY","S01007178","9E891077-C82E-2C71-E053-A03BA40A7146","Playing Field",10717.2731499954,177.61194,4,87213,31.0322580645161,"Less than or equal to 300m",225.775748967742,10717.2731499954,3.83870967741935,109301.451612903,3296.37015745692,"DD11 3JY","DD11","3JY","DD113JY"
32561,"DD115FG","S01007196","9E8910C4-B65A-2C71-E053-A03BA40A7146","Public Park Or Garden",247581.930050001,431.70013,3,300379,66.7333333333333,"300-600m",385.615345333333,151844.02772,2.93333333333333,299687.8,3370.10189267069,"DD11 5FG","DD11","5FG","DD115FG"
