"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"DD40AA",-2.931606,56.48535,61.03996,239534.4,"81B332FD-AB2B-33F1-E053-A03BA40A2BEA","5E6E74A1-0393-4F61-917F-B7CC682F0181","DD4","0AA",56.48495,-2.932292
"DD40AB",-2.9304,56.48516,118.4417,239534.4,"81B332FD-AB2B-33F1-E053-A03BA40A2BEA","5E6E74A1-0393-4F61-917F-B7CC682F0181","DD4","0AB",56.48495,-2.932292
"DD40AD",-2.925654,56.493,207.8954,17545.21,"81B33479-8F62-33F1-E053-A03BA40A2BEA","A4563590-75F4-43B2-B5EE-CAE367DA1885","DD4","0AD",56.49122,-2.926683
"DD40AE",-2.912458,56.48707,812.8329,17545.21,"81B33479-8F62-33F1-E053-A03BA40A2BEA","C4A91898-AAD1-4D5A-A461-E36AAC490E36","DD4","0AE",56.49041,-2.924241
"DD40AF",-2.926159,56.48438,381.8108,239534.4,"81B332FD-AB2B-33F1-E053-A03BA40A2BEA","5E6E74A1-0393-4F61-917F-B7CC682F0181","DD4","0AF",56.48495,-2.932292
"DD40AG",-2.927545,56.48797,226.4643,17545.21,"81B33479-8F62-33F1-E053-A03BA40A2BEA","7EF2DE11-E7D1-4AA1-8E1B-B9B4D74FC4E2","DD4","0AG",56.48982,-2.926005
"DD40AH",-2.926686,56.48735,277.2379,17545.21,"81B33479-8F62-33F1-E053-A03BA40A2BEA","7EF2DE11-E7D1-4AA1-8E1B-B9B4D74FC4E2","DD4","0AH",56.48982,-2.926005
"DD40AJ",-2.925387,56.48737,274.5956,17545.21,"81B33479-8F62-33F1-E053-A03BA40A2BEA","7EF2DE11-E7D1-4AA1-8E1B-B9B4D74FC4E2","DD4","0AJ",56.48982,-2.926005
"DD40AL",-2.925439,56.48816,187.3693,17545.21,"81B33479-8F62-33F1-E053-A03BA40A2BEA","7EF2DE11-E7D1-4AA1-8E1B-B9B4D74FC4E2","DD4","0AL",56.48982,-2.926005
"DD40AN",-2.923996,56.4876,275.9379,17545.21,"81B33479-8F62-33F1-E053-A03BA40A2BEA","7EF2DE11-E7D1-4AA1-8E1B-B9B4D74FC4E2","DD4","0AN",56.48982,-2.926005
