"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
1247,"DE43RX","E01019621","9E8910EC-26B9-2C71-E053-A03BA40A7146","Playing Field",4948.4668999986,267.80777,4,57482,38.3428571428571,"Less than or equal to 300m",371.767685771429,5046.67559142737,3.82857142857143,67849.8571428571,2524.82144574403,"DE4 3RX","DE4","3RX","DE43RX"
1248,"DE44LU","E01019634","9E8910CC-B7FF-2C71-E053-A03BA40A7146","Public Park Or Garden",1013.16049999898,70.21396,5,25114,35.6739130434783,"Less than or equal to 300m",379.811965304348,15984.9820945656,3.80434782608696,34788.5217391304,642.130434782609,"DE4 4LU","DE4","4LU","DE44LU"
7187,"DE42TR","E01019610","9E8910EB-C86E-2C71-E053-A03BA40A7146","Playing Field",21480.4229499988,226.82372,6,119870,36.6341463414634,"Less than or equal to 300m",256.400316097561,70135.8305646322,4.82926829268293,144422.804878049,1426.72329688814,"DE4 2TR","DE4","2TR","DE42TR"
7188,"DE43RL","E01019619","9E891045-785B-2C71-E053-A03BA40A7146","Playing Field",9832.35050000041,507.37955,2,13541,40.6571428571429,"300-600m",366.205726685714,7462.43097142848,2.77142857142857,54293.8571428571,243.942857142857,"DE4 3RL","DE4","3RL","DE43RL"
12182,"DE44GQ","E01019634","9E8910CC-B821-2C71-E053-A03BA40A7146","Playing Field",8554.76699999994,299.54132,4,37571,35.6739130434783,"Less than or equal to 300m",379.811965304348,15984.9820945656,3.80434782608696,34788.5217391304,428.086956521739,"DE4 4GQ","DE4","4GQ","DE44GQ"
12183,"DE44GY","E01019636","9E8911C3-743A-2C71-E053-A03BA40A7146","Playing Field",6325.72199999949,76.48529,6,58442,36.1333333333333,"Less than or equal to 300m",208.960317311111,5845.7076655543,5.08888888888889,44057,510.847058823529,"DE4 4GY","DE4","4GY","DE44GY"
16488,"DE41PG","E01019606","9E8910EB-A8AC-2C71-E053-A03BA40A7146","Playing Field",18707.4019999974,389.5356,2,33886,14.1739130434783,"300-600m",613.543313641975,18342.4643672816,1.02469135802469,18716.8395061728,1139.70158102767,"DE4 1PG","DE4","1PG","DE41PG"
16489,"DE43GB","E01019621","9E8910EC-26B9-2C71-E053-A03BA40A7146","Playing Field",4948.4668999986,422.6074,3,20017,38.3428571428571,"300-600m",371.767685771429,5046.67559142737,3.82857142857143,67849.8571428571,2524.82144574403,"DE4 3GB","DE4","3GB","DE43GB"
20211,"DE42QZ","E01019608","9E89103E-63CE-2C71-E053-A03BA40A7146","Playing Field",2095.58805000004,67.89698,6,119870,58.4137931034483,"Less than or equal to 300m",180.574740413793,11022.7997103439,5.75862068965517,115162.517241379,584.137931034483,"DE4 2QZ","DE4","2QZ","DE42QZ"
20212,"DE43DZ","E01019625","9E891045-BD04-2C71-E053-A03BA40A7146","Playing Field",11854.4931000005,71.561165,6,266196,88.5263157894737,"Less than or equal to 300m",144.309203052632,30294.772934211,5.78947368421053,252689.368421053,1376.86577734659,"DE4 3DZ","DE4","3DZ","DE43DZ"
