"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"DE562TX",-1.490364,53.0329,342.3074,1848.115,"81B33392-2713-33F1-E053-A03BA40A2BEA","1DFD4066-554C-4821-BFB3-8B1259B4AFBD","DE56","2TX",53.03031,-1.487578
"DE562TY",-1.490178,53.03347,391.6945,1848.115,"81B33392-2713-33F1-E053-A03BA40A2BEA","1DFD4066-554C-4821-BFB3-8B1259B4AFBD","DE56","2TY",53.03031,-1.487578
"DE562TZ",-1.489352,53.0327,290.986,1848.115,"81B33392-2713-33F1-E053-A03BA40A2BEA","1DFD4066-554C-4821-BFB3-8B1259B4AFBD","DE56","2TZ",53.03031,-1.487578
"DE562UA",-1.487178,53.02997,17.62714,1848.115,"81B33392-2713-33F1-E053-A03BA40A2BEA","B83F0A0A-4AA9-4AE1-AEFE-EB4AD9EED274","DE56","2UA",53.02997,-1.487442
"DE562UB",-1.485803,53.0315,177.5432,1848.115,"81B33392-2713-33F1-E053-A03BA40A2BEA","1DFD4066-554C-4821-BFB3-8B1259B4AFBD","DE56","2UB",53.03031,-1.487578
"DE562UD",-1.485842,53.03199,219.2257,1848.115,"81B33392-2713-33F1-E053-A03BA40A2BEA","1DFD4066-554C-4821-BFB3-8B1259B4AFBD","DE56","2UD",53.03031,-1.487578
"DE562UE",-1.486119,53.0325,261.9692,1848.115,"81B33392-2713-33F1-E053-A03BA40A2BEA","1DFD4066-554C-4821-BFB3-8B1259B4AFBD","DE56","2UE",53.03031,-1.487578
"DE562UG",-1.486945,53.03196,187.3688,1848.115,"81B33392-2713-33F1-E053-A03BA40A2BEA","1DFD4066-554C-4821-BFB3-8B1259B4AFBD","DE56","2UG",53.03031,-1.487578
"DE562UH",-1.490667,53.03505,565.2194,1848.115,"81B33392-2713-33F1-E053-A03BA40A2BEA","1DFD4066-554C-4821-BFB3-8B1259B4AFBD","DE56","2UH",53.03031,-1.487578
"DE562UJ",-1.493976,53.03645,805.6627,1848.115,"81B33392-2713-33F1-E053-A03BA40A2BEA","1DFD4066-554C-4821-BFB3-8B1259B4AFBD","DE56","2UJ",53.03031,-1.487578
"DE562UL",-1.493647,53.02504,688.3337,1848.115,"81B33392-2713-33F1-E053-A03BA40A2BEA","B83F0A0A-4AA9-4AE1-AEFE-EB4AD9EED274","DE56","2UL",53.02997,-1.487442
"DE562UN",-1.49315,53.01785,925.2911,172543.3,"81B33392-271A-33F1-E053-A03BA40A2BEA","2D4ED48C-9F63-444E-934F-9B8F4A36C8E1","DE56","2UN",53.01987,-1.479732
"DE562UP",-1.501039,53.01881,1430.113,172543.3,"81B33392-271A-33F1-E053-A03BA40A2BEA","2D4ED48C-9F63-444E-934F-9B8F4A36C8E1","DE56","2UP",53.01987,-1.479732
"DE562UQ",-1.488626,53.03362,373.852,1848.115,"81B33392-2713-33F1-E053-A03BA40A2BEA","1DFD4066-554C-4821-BFB3-8B1259B4AFBD","DE56","2UQ",53.03031,-1.487578
"DE562UR",-1.499081,53.01924,1296.143,172543.3,"81B33392-271A-33F1-E053-A03BA40A2BEA","2D4ED48C-9F63-444E-934F-9B8F4A36C8E1","DE56","2UR",53.01987,-1.479732
"DE562US",-1.485987,53.00969,963.5424,172543.3,"81B33392-271A-33F1-E053-A03BA40A2BEA","BEBD4A0A-07B0-4BF3-83EF-347D74ADC4BE","DE56","2US",53.01694,-1.478096
"DE562UT",-1.446644,53.04327,1547.409,2554.916,"81B3347C-B0EA-33F1-E053-A03BA40A2BEA","08330FE7-BE63-4471-BFFB-E7DB481CC6CC","DE56","2UT",53.03227,-1.460814
"DE562UW",-1.497212,53.02216,1087.495,1848.115,"81B33392-2713-33F1-E053-A03BA40A2BEA","B83F0A0A-4AA9-4AE1-AEFE-EB4AD9EED274","DE56","2UW",53.02997,-1.487442
"DE562UY",-1.448067,53.04509,1660.472,2554.916,"81B3347C-B0EA-33F1-E053-A03BA40A2BEA","08330FE7-BE63-4471-BFFB-E7DB481CC6CC","DE56","2UY",53.03227,-1.460814
"DE562WA",-1.485404,53.01733,473.1133,172543.3,"81B33392-271A-33F1-E053-A03BA40A2BEA","2D4ED48C-9F63-444E-934F-9B8F4A36C8E1","DE56","2WA",53.01987,-1.479732
"DE562WB",-1.497331,53.02239,1071.703,1848.115,"81B33392-2713-33F1-E053-A03BA40A2BEA","B83F0A0A-4AA9-4AE1-AEFE-EB4AD9EED274","DE56","2WB",53.02997,-1.487442
"DE562WD",-1.497331,53.02239,1071.703,1848.115,"81B33392-2713-33F1-E053-A03BA40A2BEA","B83F0A0A-4AA9-4AE1-AEFE-EB4AD9EED274","DE56","2WD",53.02997,-1.487442
"DE562WL",-1.485404,53.01733,473.1133,172543.3,"81B33392-271A-33F1-E053-A03BA40A2BEA","2D4ED48C-9F63-444E-934F-9B8F4A36C8E1","DE56","2WL",53.01987,-1.479732
