"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
1363,"DL78FJ","E01027605","9E89109F-84BD-2C71-E053-A03BA40A7146","Playing Field",30390.0031500033,430.9768,5,73541,36.3777777777778,"300-600m",438.728828666667,28192.2092222253,4.57777777777778,74013.7111111111,3469.62421500907,"DL7 8FJ","DL7","8FJ","DL78FJ"
7267,"DL78FE","E01027615","9E89103E-2369-2C71-E053-A03BA40A7146","Playing Field",5796.40089999875,180.85353,5,111153,43.3333333333333,"Less than or equal to 300m",184.263041037037,14347.2516185138,5.33333333333333,109931.888888889,173.333333333333,"DL7 8FE","DL7","8FE","DL78FE"
7268,"DL78GT","E01027616","9E89109F-84BD-2C71-E053-A03BA40A7146","Playing Field",30390.0031500033,154.53802,6,112681,36.390243902439,"Less than or equal to 300m",227.871788,13349.4926768297,5.39024390243903,104114.951219512,3469.62421500907,"DL7 8GT","DL7","8GT","DL78GT"
7269,"DL78RZ","E01027606","9E89109F-84BD-2C71-E053-A03BA40A7146","Playing Field",30390.0031500033,236.90715,4,57901,26.7894736842105,"Less than or equal to 300m",342.523706596491,29231.05257281,4.40350877192982,71230.3333333333,3469.62421500907,"DL7 8RZ","DL7","8RZ","DL78RZ"
12275,"DL78DQ","E01027616","9E89109F-84C2-2C71-E053-A03BA40A7146","Playing Field",15119.5396499944,269.53665,6,112681,36.390243902439,"Less than or equal to 300m",227.871788,13349.4926768297,5.39024390243903,104114.951219512,1283.39278455285,"DL7 8DQ","DL7","8DQ","DL78DQ"
23429,"DL77TP","E01027611","9E891043-F039-2C71-E053-A03BA40A7146","Playing Field",28481.7922500059,568.82074,3,54986,15.9710144927536,"300-600m",532.251438057971,18285.2401000029,2.30434782608696,36590.2536231884,1179.90519323671,"DL7 7TP","DL7","7TP","DL77TP"
32612,"DL78BE","E01027616","9E89109F-84C2-2C71-E053-A03BA40A7146","Playing Field",15119.5396499944,148.40822,6,112681,36.390243902439,"Less than or equal to 300m",227.871788,13349.4926768297,5.39024390243903,104114.951219512,1283.39278455285,"DL7 8BE","DL7","8BE","DL78BE"
34211,"DL78WJ","E01027611","9E8911BC-B093-2C71-E053-A03BA40A7146","Public Park Or Garden",2271.53510000015,88.362885,2,3799,15.9710144927536,"Less than or equal to 300m",532.251438057971,18285.2401000029,2.30434782608696,36590.2536231884,691.201838105338,"DL7 8WJ","DL7","8WJ","DL78WJ"
38874,"DL79RN","E01027604","9E89109F-8019-2C71-E053-A03BA40A7146","Playing Field",6532.77320000257,622.0651,1,6532,12.421768707483,"600-900m",421.268393133333,6532.77320000257,1,6532,528.795918367347,"DL7 9RN","DL7","9RN","DL79RN"
43350,"DL79QY","E01027604","9E89109F-8019-2C71-E053-A03BA40A7146","Playing Field",6532.77320000257,250.79872,1,6532,12.421768707483,"Less than or equal to 300m",421.268393133333,6532.77320000257,1,6532,528.795918367347,"DL7 9QY","DL7","9QY","DL79QY"
