"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"DL81AA",-1.594133,54.29026,2595.926,235956.9,"81B333A4-A23A-33F1-E053-A03BA40A2BEA","A089B471-ECF0-4C0A-8A5E-3A2D2818AD31","DL8","1AA",54.26733,-1.60171
"DL81AB",-1.593655,54.28963,2534.054,235956.9,"81B333A4-A23A-33F1-E053-A03BA40A2BEA","A089B471-ECF0-4C0A-8A5E-3A2D2818AD31","DL8","1AB",54.26733,-1.60171
"DL81AD",-1.593458,54.28936,2507.387,235956.9,"81B333A4-A23A-33F1-E053-A03BA40A2BEA","A089B471-ECF0-4C0A-8A5E-3A2D2818AD31","DL8","1AD",54.26733,-1.60171
"DL81AE",-1.595935,54.29055,2516.69,15925.87,"81B33481-378E-33F1-E053-A03BA40A2BEA","CB105A26-6773-49DF-AA94-31C7016F983F","DL8","1AE",54.30469,-1.626214
"DL81AF",-1.593143,54.29013,2595.507,235956.9,"81B333A4-A23A-33F1-E053-A03BA40A2BEA","A089B471-ECF0-4C0A-8A5E-3A2D2818AD31","DL8","1AF",54.26733,-1.60171
"DL81AG",-1.595935,54.29055,2516.69,15925.87,"81B33481-378E-33F1-E053-A03BA40A2BEA","CB105A26-6773-49DF-AA94-31C7016F983F","DL8","1AG",54.30469,-1.626214
"DL81AH",-1.591564,54.28975,2574.383,235956.9,"81B333A4-A23A-33F1-E053-A03BA40A2BEA","D73CEE78-CE34-4F5C-ACE4-37C1F7C9C426","DL8","1AH",54.26701,-1.599024
"DL81AJ",-1.646711,54.32429,2442.936,15925.87,"81B33481-378E-33F1-E053-A03BA40A2BEA","0F1F2695-3A58-4786-9767-D9A370522D36","DL8","1AJ",54.30549,-1.627234
"DL81AL",-1.591412,54.28958,2557.49,235956.9,"81B333A4-A23A-33F1-E053-A03BA40A2BEA","D73CEE78-CE34-4F5C-ACE4-37C1F7C9C426","DL8","1AL",54.26701,-1.599024
"DL81AN",-1.589429,54.28978,2607.041,235956.9,"81B333A4-A23A-33F1-E053-A03BA40A2BEA","D73CEE78-CE34-4F5C-ACE4-37C1F7C9C426","DL8","1AN",54.26701,-1.599024
"DL81AP",-1.595935,54.29055,2516.69,15925.87,"81B33481-378E-33F1-E053-A03BA40A2BEA","CB105A26-6773-49DF-AA94-31C7016F983F","DL8","1AP",54.30469,-1.626214
"DL81AQ",-1.59281,54.28964,2546.59,235956.9,"81B333A4-A23A-33F1-E053-A03BA40A2BEA","A089B471-ECF0-4C0A-8A5E-3A2D2818AD31","DL8","1AQ",54.26733,-1.60171
"DL81AR",-1.587931,54.2905,2709.386,235956.9,"81B333A4-A23A-33F1-E053-A03BA40A2BEA","D73CEE78-CE34-4F5C-ACE4-37C1F7C9C426","DL8","1AR",54.26701,-1.599024
"DL81AS",-1.587766,54.2901,2668.914,235956.9,"81B333A4-A23A-33F1-E053-A03BA40A2BEA","D73CEE78-CE34-4F5C-ACE4-37C1F7C9C426","DL8","1AS",54.26701,-1.599024
"DL81AT",-1.588935,54.29074,2718.687,235956.9,"81B333A4-A23A-33F1-E053-A03BA40A2BEA","D73CEE78-CE34-4F5C-ACE4-37C1F7C9C426","DL8","1AT",54.26701,-1.599024
"DL81AU",-1.58832,54.29154,2814.155,235956.9,"81B333A4-A23A-33F1-E053-A03BA40A2BEA","D73CEE78-CE34-4F5C-ACE4-37C1F7C9C426","DL8","1AU",54.26701,-1.599024
"DL81AW",-1.585565,54.28825,2517.983,235956.9,"81B333A4-A23A-33F1-E053-A03BA40A2BEA","D73CEE78-CE34-4F5C-ACE4-37C1F7C9C426","DL8","1AW",54.26701,-1.599024
"DL81AX",-1.587595,54.29111,2779.93,235956.9,"81B333A4-A23A-33F1-E053-A03BA40A2BEA","D73CEE78-CE34-4F5C-ACE4-37C1F7C9C426","DL8","1AX",54.26701,-1.599024
