"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
1365,"DN19SF","E01007645","9E8911C4-3552-2C71-E053-A03BA40A7146","Playing Field",5007.63514999521,329.24762,3,102781,17.4905660377358,"300-600m",335.297707396227,23559.8626053429,3.08176100628931,105333.125786164,4800.16877453783,"DN1 9SF","DN1","9SF","DN19SF"
7274,"DN12AY","E01007645","9E8910EE-0EEA-2C71-E053-A03BA40A7146","Public Park Or Garden",94466.531399999,237.00844,3,102781,17.4905660377358,"Less than or equal to 300m",335.297707396227,23559.8626053429,3.08176100628931,105333.125786164,6286.0884049469,"DN1 2AY","DN1","2AY","DN12AY"
7275,"DN12RE","E01007655","9E8910C9-D0B6-2C71-E053-A03BA40A7146","Public Park Or Garden",3307.66649999798,788.0013,1,3307,26.7011494252874,"600-900m",699.007393103448,5309.97963275664,2.04597701149425,67403.4712643678,6548.7641606724,"DN1 2RE","DN1","2RE","DN12RE"
16554,"DN12LL","E01007655","9E8910C9-D0B6-2C71-E053-A03BA40A7146","Public Park Or Garden",3307.66649999798,662.9057,2,97774,26.7011494252874,"600-900m",699.007393103448,5309.97963275664,2.04597701149425,67403.4712643678,6548.7641606724,"DN1 2LL","DN1","2LL","DN12LL"
20282,"DN12LP","E01007655","9E8910C9-D0B6-2C71-E053-A03BA40A7146","Public Park Or Garden",3307.66649999798,686.45465,2,97774,26.7011494252874,"600-900m",699.007393103448,5309.97963275664,2.04597701149425,67403.4712643678,6548.7641606724,"DN1 2LP","DN1","2LP","DN12LP"
47686,"DN13SE","E01007532","9E8911C4-3552-2C71-E053-A03BA40A7146","Playing Field",5007.63514999521,177.53873,5,154811,36.8518518518518,"Less than or equal to 300m",216.235947648148,7341.74453055125,4.64814814814815,148549.037037037,4800.16877453783,"DN1 3SE","DN1","3SE","DN13SE"
53478,"DN12DA","E01007645","9E8910EE-0EEA-2C71-E053-A03BA40A7146","Public Park Or Garden",94466.531399999,205.50668,3,102781,17.4905660377358,"Less than or equal to 300m",335.297707396227,23559.8626053429,3.08176100628931,105333.125786164,6286.0884049469,"DN1 2DA","DN1","2DA","DN12DA"
58350,"DN12QT","E01007655","9E8910C9-D0B6-2C71-E053-A03BA40A7146","Public Park Or Garden",3307.66649999798,642.636,2,97774,26.7011494252874,"600-900m",699.007393103448,5309.97963275664,2.04597701149425,67403.4712643678,6548.7641606724,"DN1 2QT","DN1","2QT","DN12QT"
62632,"DN11TX","E01007645","9E8911C4-3552-2C71-E053-A03BA40A7146","Playing Field",5007.63514999521,509.82547,3,102781,17.4905660377358,"300-600m",335.297707396227,23559.8626053429,3.08176100628931,105333.125786164,4800.16877453783,"DN1 1TX","DN1","1TX","DN11TX"
62633,"DN12NP","E01007646","9E8910C9-D0B6-2C71-E053-A03BA40A7146","Public Park Or Garden",3307.66649999798,813.34985,2,97774,45.9705882352941,"600-900m",817.314439411765,14958.1562382336,1.79411764705882,59690,6548.7641606724,"DN1 2NP","DN1","2NP","DN12NP"
