"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"DN211AA",-0.773515,53.38963,12745.75,2854.458,"81B332F9-4426-33F1-E053-A03BA40A2BEA","6C3C0BFB-CA4F-45DD-AE08-2A510A3F84BB","DN21","1AA",53.366,-0.9615376
"DN211AB",-0.77176,53.38895,12844.48,2854.458,"81B332F9-4426-33F1-E053-A03BA40A2BEA","6C3C0BFB-CA4F-45DD-AE08-2A510A3F84BB","DN21","1AB",53.366,-0.9615376
"DN211AD",-0.772409,53.38887,12800.46,2854.458,"81B332F9-4426-33F1-E053-A03BA40A2BEA","6C3C0BFB-CA4F-45DD-AE08-2A510A3F84BB","DN21","1AD",53.366,-0.9615376
"DN211AE",-0.773011,53.38883,12760.47,2854.458,"81B332F9-4426-33F1-E053-A03BA40A2BEA","6C3C0BFB-CA4F-45DD-AE08-2A510A3F84BB","DN21","1AE",53.366,-0.9615376
"DN211AF",-0.770413,53.38717,12894.62,2854.458,"81B332F9-4426-33F1-E053-A03BA40A2BEA","6C3C0BFB-CA4F-45DD-AE08-2A510A3F84BB","DN21","1AF",53.366,-0.9615376
"DN211AG",-0.773011,53.38883,12760.47,2854.458,"81B332F9-4426-33F1-E053-A03BA40A2BEA","6C3C0BFB-CA4F-45DD-AE08-2A510A3F84BB","DN21","1AG",53.366,-0.9615376
"DN211AH",-0.773591,53.38593,12662.83,2854.458,"81B332F9-4426-33F1-E053-A03BA40A2BEA","6C3C0BFB-CA4F-45DD-AE08-2A510A3F84BB","DN21","1AH",53.366,-0.9615376
"DN211AJ",-0.769441,53.38549,12925.66,2854.458,"81B332F9-4426-33F1-E053-A03BA40A2BEA","6C3C0BFB-CA4F-45DD-AE08-2A510A3F84BB","DN21","1AJ",53.366,-0.9615376
"DN211AL",-0.768662,53.38487,12965.38,2854.458,"81B332F9-4426-33F1-E053-A03BA40A2BEA","6C3C0BFB-CA4F-45DD-AE08-2A510A3F84BB","DN21","1AL",53.366,-0.9615376
"DN211AN",-0.767468,53.38346,13019.47,2854.458,"81B332F9-4426-33F1-E053-A03BA40A2BEA","6C3C0BFB-CA4F-45DD-AE08-2A510A3F84BB","DN21","1AN",53.366,-0.9615376
"DN211AP",-0.765691,53.38096,13098.24,2854.458,"81B332F9-4426-33F1-E053-A03BA40A2BEA","6C3C0BFB-CA4F-45DD-AE08-2A510A3F84BB","DN21","1AP",53.366,-0.9615376
"DN211AQ",-0.76581,53.38049,13083.87,2854.458,"81B332F9-4426-33F1-E053-A03BA40A2BEA","6C3C0BFB-CA4F-45DD-AE08-2A510A3F84BB","DN21","1AQ",53.366,-0.9615376
"DN211AR",-0.764317,53.38012,13177.31,2854.458,"81B332F9-4426-33F1-E053-A03BA40A2BEA","6C3C0BFB-CA4F-45DD-AE08-2A510A3F84BB","DN21","1AR",53.366,-0.9615376
