"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
1406,"DT11EJ","E01032645","9E89103E-41B8-2C71-E053-A03BA40A7146","Public Park Or Garden",1918.59020000015,305.43903,4,49463,21.6944444444444,"300-600m",303.177410861111,14274.0106562469,4.5,64439.875,3004.62644510271,"DT1 1EJ","DT1","1EJ","DT11EJ"
1407,"DT12HP","E01020526","9E891051-8E55-2C71-E053-A03BA40A7146","Public Park Or Garden",20301.9540999952,363.40198,7,150160,43.7666666666667,"300-600m",324.429475,20705.3134566657,7.7,195673.266666667,4095.24245068057,"DT1 2HP","DT1","2HP","DT12HP"
1408,"DT13SQ","E01032641","9E891046-8088-2C71-E053-A03BA40A7146","Playing Field",72561.3703000004,635.8569,3,118817,19.7218045112782,"600-900m",311.882470721805,56510.5222135343,5.15037593984962,160135.947368421,3177.67919799498,"DT1 3SQ","DT1","3SQ","DT13SQ"
7320,"DT12EJ","E01020520","9E891051-91BD-2C71-E053-A03BA40A7146","Playing Field",20146.3102999972,712.3405,2,22064,37.2820512820513,"600-900m",610.552195897436,19211.5554230743,1.94871794871795,23379.7948717949,2589.75020944694,"DT1 2EJ","DT1","2EJ","DT12EJ"
7321,"DT12JW","E01020528","9E891046-8088-2C71-E053-A03BA40A7146","Playing Field",72561.3703000004,89.87213,6,169234,27.6547619047619,"Less than or equal to 300m",213.354733083333,47687.1155797644,6.75,178453.273809524,3177.67919799498,"DT1 2JW","DT1","2JW","DT12JW"
12319,"DT12JX","E01020527","9E891051-8E55-2C71-E053-A03BA40A7146","Public Park Or Garden",20301.9540999952,220.85742,8,222721,44.8235294117647,"Less than or equal to 300m",358.578815294118,15146.8308397028,8.32352941176471,218218.205882353,4095.24245068057,"DT1 2JX","DT1","2JX","DT12JX"
12320,"DT12NN","E01020527","9E891051-83A6-2C71-E053-A03BA40A7146","Playing Field",4367.93675000038,330.2378,9,224124,44.8235294117647,"300-600m",358.578815294118,15146.8308397028,8.32352941176471,218218.205882353,1131.28263305322,"DT1 2NN","DT1","2NN","DT12NN"
12321,"DT13SD","E01020528","9E891046-8088-2C71-E053-A03BA40A7146","Playing Field",72561.3703000004,250.5035,6,169234,27.6547619047619,"Less than or equal to 300m",213.354733083333,47687.1155797644,6.75,178453.273809524,3177.67919799498,"DT1 3SD","DT1","3SD","DT13SD"
12322,"DT13WS","E01020528","9E89103D-E8D2-2C71-E053-A03BA40A7146","Public Park Or Garden",44853.6379500052,111.8034,7,176840,27.6547619047619,"Less than or equal to 300m",213.354733083333,47687.1155797644,6.75,178453.273809524,1095.97857142857,"DT1 3WS","DT1","3WS","DT13WS"
16607,"DT11LE","E01020518","9E89103E-41B8-2C71-E053-A03BA40A7146","Public Park Or Garden",1918.59020000015,213.50644,4,49463,40.1463414634146,"Less than or equal to 300m",210.875265243902,13477.6322146324,3.02439024390244,36741.7804878049,3004.62644510271,"DT1 1LE","DT1","1LE","DT11LE"
