"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
1422,"DY130AD","E01032423","9E8911C3-07A3-2C71-E053-A03BA40A7146","Public Park Or Garden",10820.7590499968,165.68042,12,331686,47.0588235294118,"Less than or equal to 300m",249.670483823529,16986.1951220585,8.47058823529412,219231.647058824,423.529411764706,"DY13 0AD","DY13","0AD","DY130AD"
1423,"DY130AH","E01032423","9E8911C5-3F79-2C71-E053-A03BA40A7146","Playing Field",40810.6806499971,314.72687,9,219448,47.0588235294118,"300-600m",249.670483823529,16986.1951220585,8.47058823529412,219231.647058824,332.907138777841,"DY13 0AH","DY13","0AH","DY130AH"
1424,"DY130AR","E01032425","9E89103E-3A72-2C71-E053-A03BA40A7146","Public Park Or Garden",3267.55400000254,389.1041,8,186911,40.8235294117647,"300-600m",233.354347588235,16498.7363735305,3.61764705882353,75173.5588235294,872.588235294118,"DY13 0AR","DY13","0AR","DY130AR"
1425,"DY130DQ","E01032424","9E891090-A1B6-2C71-E053-A03BA40A7146","Playing Field",20701.8665000004,485.31433,6,137574,41.2,"300-600m",446.943778857143,23203.5527542864,6.2,141557.314285714,3850.3294117647,"DY13 0DQ","DY13","0DQ","DY130DQ"
1426,"DY133SR","E01032463","9E891042-E5B7-2C71-E053-A03BA40A7146","Public Park Or Garden",69572.8796999994,45.35416,11,331252,20.2911392405063,"Less than or equal to 300m",145.984960772152,85692.4666898786,8.11392405063291,284179.050632911,838.703952171996,"DY13 3SR","DY13","3SR","DY133SR"
1427,"DY138HD","E01032461","9E8911C1-A13A-2C71-E053-A03BA40A7146","Public Park Or Garden",983.209000000455,162.88953,12,402817,20.7572815533981,"Less than or equal to 300m",187.670290912621,20496.0361009722,9.99029126213592,324456.611650485,997.163780780451,"DY13 8HD","DY13","8HD","DY138HD"
1428,"DY138HY","E01032463","9E891090-A1A5-2C71-E053-A03BA40A7146","Public Park Or Garden",110002.94070001,109.201645,10,298715,20.2911392405063,"Less than or equal to 300m",145.984960772152,85692.4666898786,8.11392405063291,284179.050632911,2488.16453165655,"DY13 8HY","DY13","8HY","DY138HY"
1429,"DY138RA","E01032463","9E891090-A1A5-2C71-E053-A03BA40A7146","Public Park Or Garden",110002.94070001,196.8248,10,298715,20.2911392405063,"Less than or equal to 300m",145.984960772152,85692.4666898786,8.11392405063291,284179.050632911,2488.16453165655,"DY13 8RA","DY13","8RA","DY138RA"
1430,"DY139LU","E01032462","9E891090-A1F1-2C71-E053-A03BA40A7146","Public Park Or Garden",94661.2503000048,164.65723,4,119590,39.4736842105263,"Less than or equal to 300m",313.79220222807,63522.8309105302,4.71929824561404,127510.298245614,2809.14576434637,"DY13 9LU","DY13","9LU","DY139LU"
7342,"DY130DT","E01032424","9E891090-A1B6-2C71-E053-A03BA40A7146","Playing Field",20701.8665000004,374.40085,4,90615,41.2,"300-600m",446.943778857143,23203.5527542864,6.2,141557.314285714,3850.3294117647,"DY13 0DT","DY13","0DT","DY130DT"
12341,"DY138RF","E01032463","9E891090-A1A5-2C71-E053-A03BA40A7146","Public Park Or Garden",110002.94070001,21.931713,6,216167,20.2911392405063,"Less than or equal to 300m",145.984960772152,85692.4666898786,8.11392405063291,284179.050632911,2488.16453165655,"DY13 8RF","DY13","8RF","DY138RF"
16629,"DY138AG","E01032459","9E891090-A1A5-2C71-E053-A03BA40A7146","Public Park Or Garden",110002.94070001,283.73404,7,309447,43.9393939393939,"Less than or equal to 300m",532.397753272727,76109.9325197034,4.96969696969697,206297.484848485,2488.16453165655,"DY13 8AG","DY13","8AG","DY138AG"
