"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"EC1N2AB",-0.109514,51.51816,373.6899,3004.518,"81B3337A-2022-33F1-E053-A03BA40A2BEA","EF0AC3DA-55B5-49BE-87B2-D7433509D398","EC1N","2AB",51.51587,-0.1134609
"EC1N2AD",-0.10852,51.51807,419.2378,1517.428,"81B33371-CC9C-33F1-E053-A03BA40A2BEA","7FFD11CE-5F06-4184-957C-FC601F221E91","EC1N","2AD",51.52078,-0.1043141
"EC1N2AE",-0.10954,51.51816,372.2248,3004.518,"81B3337A-2022-33F1-E053-A03BA40A2BEA","EF0AC3DA-55B5-49BE-87B2-D7433509D398","EC1N","2AE",51.51587,-0.1134609
"EC1N2DY",-0.108535,51.51807,419.7969,3004.518,"81B3337A-2022-33F1-E053-A03BA40A2BEA","EF0AC3DA-55B5-49BE-87B2-D7433509D398","EC1N","2DY",51.51587,-0.1134609
"EC1N2HA",-0.107537,51.51709,430.7994,3004.518,"81B3337A-2022-33F1-E053-A03BA40A2BEA","2F7BE1AA-89C6-452D-8FD3-4263335895B4","EC1N","2HA",51.51561,-0.1132886
"EC1N2HB",-0.10735,51.5171,443.0301,3004.518,"81B3337A-2022-33F1-E053-A03BA40A2BEA","2F7BE1AA-89C6-452D-8FD3-4263335895B4","EC1N","2HB",51.51561,-0.1132886
"EC1N2HD",-0.106196,51.51712,427.2965,1517.428,"81B33371-CC9C-33F1-E053-A03BA40A2BEA","7FFD11CE-5F06-4184-957C-FC601F221E91","EC1N","2HD",51.52078,-0.1043141
"EC1N2HE",-0.107636,51.51715,426.8917,3004.518,"81B3337A-2022-33F1-E053-A03BA40A2BEA","2F7BE1AA-89C6-452D-8FD3-4263335895B4","EC1N","2HE",51.51561,-0.1132886
"EC1N2HG",-0.110329,51.51825,342.5562,3004.518,"81B3337A-2022-33F1-E053-A03BA40A2BEA","EF0AC3DA-55B5-49BE-87B2-D7433509D398","EC1N","2HG",51.51587,-0.1134609
"EC1N2HH",-0.109765,51.51759,319.3344,3004.518,"81B3337A-2022-33F1-E053-A03BA40A2BEA","EF0AC3DA-55B5-49BE-87B2-D7433509D398","EC1N","2HH",51.51587,-0.1134609
"EC1N2HJ",-0.107636,51.51715,426.8917,3004.518,"81B3337A-2022-33F1-E053-A03BA40A2BEA","2F7BE1AA-89C6-452D-8FD3-4263335895B4","EC1N","2HJ",51.51561,-0.1132886
"EC1N2HL",-0.107748,51.51722,423.041,3004.518,"81B3337A-2022-33F1-E053-A03BA40A2BEA","EF0AC3DA-55B5-49BE-87B2-D7433509D398","EC1N","2HL",51.51587,-0.1134609
"EC1N2HN",-0.109076,51.51717,336.2747,3004.518,"81B3337A-2022-33F1-E053-A03BA40A2BEA","EF0AC3DA-55B5-49BE-87B2-D7433509D398","EC1N","2HN",51.51587,-0.1134609
"EC1N2HP",-0.107629,51.51733,435.0075,3004.518,"81B3337A-2022-33F1-E053-A03BA40A2BEA","EF0AC3DA-55B5-49BE-87B2-D7433509D398","EC1N","2HP",51.51587,-0.1134609
"EC1N2HQ",-0.109188,51.51447,310.5549,3004.518,"81B3337A-2022-33F1-E053-A03BA40A2BEA","2F7BE1AA-89C6-452D-8FD3-4263335895B4","EC1N","2HQ",51.51561,-0.1132886
"EC1N2HR",-0.10914,51.51771,362.5931,3004.518,"81B3337A-2022-33F1-E053-A03BA40A2BEA","EF0AC3DA-55B5-49BE-87B2-D7433509D398","EC1N","2HR",51.51587,-0.1134609
"EC1N2HS",-0.109717,51.51779,335.6144,3004.518,"81B3337A-2022-33F1-E053-A03BA40A2BEA","EF0AC3DA-55B5-49BE-87B2-D7433509D398","EC1N","2HS",51.51587,-0.1134609
"EC1N2HT",-0.108297,51.51754,402.6814,3004.518,"81B3337A-2022-33F1-E053-A03BA40A2BEA","EF0AC3DA-55B5-49BE-87B2-D7433509D398","EC1N","2HT",51.51587,-0.1134609
"EC1N2HU",-0.108297,51.51754,402.6814,3004.518,"81B3337A-2022-33F1-E053-A03BA40A2BEA","EF0AC3DA-55B5-49BE-87B2-D7433509D398","EC1N","2HU",51.51587,-0.1134609
"EC1N2HX",-0.107636,51.51715,426.8917,3004.518,"81B3337A-2022-33F1-E053-A03BA40A2BEA","2F7BE1AA-89C6-452D-8FD3-4263335895B4","EC1N","2HX",51.51561,-0.1132886
"EC1N2HY",-0.110517,51.51719,251.5875,3004.518,"81B3337A-2022-33F1-E053-A03BA40A2BEA","EF0AC3DA-55B5-49BE-87B2-D7433509D398","EC1N","2HY",51.51587,-0.1134609
"EC1N2JA",-0.109782,51.51754,315.4132,3004.518,"81B3337A-2022-33F1-E053-A03BA40A2BEA","EF0AC3DA-55B5-49BE-87B2-D7433509D398","EC1N","2JA",51.51587,-0.1134609
"EC1N2JB",-0.110517,51.51719,251.5875,3004.518,"81B3337A-2022-33F1-E053-A03BA40A2BEA","EF0AC3DA-55B5-49BE-87B2-D7433509D398","EC1N","2JB",51.51587,-0.1134609
"EC1N2JD",-0.109814,51.51779,331.108,3004.518,"81B3337A-2022-33F1-E053-A03BA40A2BEA","EF0AC3DA-55B5-49BE-87B2-D7433509D398","EC1N","2JD",51.51587,-0.1134609
"EC1N2JE",-0.110517,51.51719,251.5875,3004.518,"81B3337A-2022-33F1-E053-A03BA40A2BEA","EF0AC3DA-55B5-49BE-87B2-D7433509D398","EC1N","2JE",51.51587,-0.1134609
"EC1N2JH",-0.109076,51.51717,336.2747,3004.518,"81B3337A-2022-33F1-E053-A03BA40A2BEA","EF0AC3DA-55B5-49BE-87B2-D7433509D398","EC1N","2JH",51.51587,-0.1134609
"EC1N2JJ",-0.109076,51.51717,336.2747,3004.518,"81B3337A-2022-33F1-E053-A03BA40A2BEA","EF0AC3DA-55B5-49BE-87B2-D7433509D398","EC1N","2JJ",51.51587,-0.1134609
"EC1N2JL",-0.109076,51.51717,336.2747,3004.518,"81B3337A-2022-33F1-E053-A03BA40A2BEA","EF0AC3DA-55B5-49BE-87B2-D7433509D398","EC1N","2JL",51.51587,-0.1134609
"EC1N2JN",-0.110517,51.51719,251.5875,3004.518,"81B3337A-2022-33F1-E053-A03BA40A2BEA","EF0AC3DA-55B5-49BE-87B2-D7433509D398","EC1N","2JN",51.51587,-0.1134609
"EC1N2JP",-0.110517,51.51719,251.5875,3004.518,"81B3337A-2022-33F1-E053-A03BA40A2BEA","EF0AC3DA-55B5-49BE-87B2-D7433509D398","EC1N","2JP",51.51587,-0.1134609
"EC1N2JQ",-0.110517,51.51719,251.5875,3004.518,"81B3337A-2022-33F1-E053-A03BA40A2BEA","EF0AC3DA-55B5-49BE-87B2-D7433509D398","EC1N","2JQ",51.51587,-0.1134609
"EC1N2JR",-0.110517,51.51719,251.5875,3004.518,"81B3337A-2022-33F1-E053-A03BA40A2BEA","EF0AC3DA-55B5-49BE-87B2-D7433509D398","EC1N","2JR",51.51587,-0.1134609
