"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"EC2M2AD",-0.084362,51.51878,402.6917,443.0325,"81B3337A-8B16-33F1-E053-A03BA40A2BEA","F2399A9A-BA6C-44F3-8944-8B5CFF261CD6","EC2M","2AD",51.51636,-0.08003102
"EC2M2AE",-0.083496,51.5195,422.9076,443.0325,"81B3337A-8B16-33F1-E053-A03BA40A2BEA","F2399A9A-BA6C-44F3-8944-8B5CFF261CD6","EC2M","2AE",51.51636,-0.08003102
"EC2M2AF",-0.086499,51.51903,537.0071,443.0325,"81B3337A-8B16-33F1-E053-A03BA40A2BEA","F2399A9A-BA6C-44F3-8944-8B5CFF261CD6","EC2M","2AF",51.51636,-0.08003102
"EC2M2AG",-0.082753,51.51866,316.9968,443.0325,"81B3337A-8B16-33F1-E053-A03BA40A2BEA","F2399A9A-BA6C-44F3-8944-8B5CFF261CD6","EC2M","2AG",51.51636,-0.08003102
"EC2M2AH",-0.083496,51.5195,422.9076,443.0325,"81B3337A-8B16-33F1-E053-A03BA40A2BEA","F2399A9A-BA6C-44F3-8944-8B5CFF261CD6","EC2M","2AH",51.51636,-0.08003102
"EC2M2AJ",-0.082679,51.51869,317.1501,443.0325,"81B3337A-8B16-33F1-E053-A03BA40A2BEA","F2399A9A-BA6C-44F3-8944-8B5CFF261CD6","EC2M","2AJ",51.51636,-0.08003102
"EC2M2AL",-0.112088,51.5245,230.1644,7813.58,"81B3346A-7042-33F1-E053-A03BA40A2BEA","60FC3980-200C-459D-BD07-E6C32601EFB7","EC2M","2AL",51.52519,-0.1089488
"EC2M2AN",-0.084986,51.51936,477.9751,443.0325,"81B3337A-8B16-33F1-E053-A03BA40A2BEA","F2399A9A-BA6C-44F3-8944-8B5CFF261CD6","EC2M","2AN",51.51636,-0.08003102
"EC2M2AP",-0.084362,51.51878,402.6917,443.0325,"81B3337A-8B16-33F1-E053-A03BA40A2BEA","F2399A9A-BA6C-44F3-8944-8B5CFF261CD6","EC2M","2AP",51.51636,-0.08003102
"EC2M2AQ",-0.086912,51.51887,551.7291,443.0325,"81B3337A-8B16-33F1-E053-A03BA40A2BEA","F2399A9A-BA6C-44F3-8944-8B5CFF261CD6","EC2M","2AQ",51.51636,-0.08003102
"EC2M2AR",-0.082999,51.51932,387.391,443.0325,"81B3337A-8B16-33F1-E053-A03BA40A2BEA","F2399A9A-BA6C-44F3-8944-8B5CFF261CD6","EC2M","2AR",51.51636,-0.08003102
"EC2M2BA",-0.112088,51.5245,230.1644,7813.58,"81B3346A-7042-33F1-E053-A03BA40A2BEA","60FC3980-200C-459D-BD07-E6C32601EFB7","EC2M","2BA",51.52519,-0.1089488
"EC2M2BB",-0.084162,51.51978,475.2032,443.0325,"81B3337A-8B16-33F1-E053-A03BA40A2BEA","F2399A9A-BA6C-44F3-8944-8B5CFF261CD6","EC2M","2BB",51.51636,-0.08003102
"EC2M2BD",-0.083496,51.5195,422.9076,443.0325,"81B3337A-8B16-33F1-E053-A03BA40A2BEA","F2399A9A-BA6C-44F3-8944-8B5CFF261CD6","EC2M","2BD",51.51636,-0.08003102
"EC2M2BE",-0.082908,51.51908,361.9966,443.0325,"81B3337A-8B16-33F1-E053-A03BA40A2BEA","F2399A9A-BA6C-44F3-8944-8B5CFF261CD6","EC2M","2BE",51.51636,-0.08003102
"EC2M2BG",-0.083496,51.5195,422.9076,443.0325,"81B3337A-8B16-33F1-E053-A03BA40A2BEA","F2399A9A-BA6C-44F3-8944-8B5CFF261CD6","EC2M","2BG",51.51636,-0.08003102
"EC2M2BJ",-0.084362,51.51878,402.6917,443.0325,"81B3337A-8B16-33F1-E053-A03BA40A2BEA","F2399A9A-BA6C-44F3-8944-8B5CFF261CD6","EC2M","2BJ",51.51636,-0.08003102
"EC2M2BL",-0.083676,51.51899,385.5928,443.0325,"81B3337A-8B16-33F1-E053-A03BA40A2BEA","F2399A9A-BA6C-44F3-8944-8B5CFF261CD6","EC2M","2BL",51.51636,-0.08003102
"EC2M2BN",-0.083578,51.51891,375.0176,443.0325,"81B3337A-8B16-33F1-E053-A03BA40A2BEA","F2399A9A-BA6C-44F3-8944-8B5CFF261CD6","EC2M","2BN",51.51636,-0.08003102
"EC2M2BP",-0.082908,51.51908,361.9966,443.0325,"81B3337A-8B16-33F1-E053-A03BA40A2BEA","F2399A9A-BA6C-44F3-8944-8B5CFF261CD6","EC2M","2BP",51.51636,-0.08003102
"EC2M2BQ",-0.082908,51.51908,361.9966,443.0325,"81B3337A-8B16-33F1-E053-A03BA40A2BEA","F2399A9A-BA6C-44F3-8944-8B5CFF261CD6","EC2M","2BQ",51.51636,-0.08003102
