"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
12471,"EH394PL","S01008273","9E891037-983C-2C71-E053-A03BA40A7146","Public Park Or Garden",88416.3551499948,95.131485,3,165194,24.3636363636364,"Less than or equal to 300m",214.663378733333,80746.2114549955,2.96666666666667,164803.5,2781.43867285892,"EH39 4PL","EH39","4PL","EH394PL"
23547,"EH394QA","S01008275","9E891037-983C-2C71-E053-A03BA40A7146","Public Park Or Garden",88416.3551499948,81.88406,2,153479,21.1666666666667,"Less than or equal to 300m",171.531299875,75280.3858562514,1.9375,147953,2781.43867285892,"EH39 4QA","EH39","4QA","EH394QA"
28730,"EH394EN","S01008274","9E891036-75EB-2C71-E053-A03BA40A7146","Playing Field",65063.5208500066,115.62439,2,153479,47.1333333333333,"Less than or equal to 300m",235.623219285714,75071.8784071444,2.78571428571429,162683.642857143,1408.7315920398,"EH39 4EN","EH39","4EN","EH394EN"
30875,"EH395GY","S01008276","9E891036-75EB-2C71-E053-A03BA40A7146","Playing Field",65063.5208500066,106.30146,2,153479,34.25,"Less than or equal to 300m",256.063468,65063.5208500066,1.86666666666667,141690.2,1408.7315920398,"EH39 5GY","EH39","5GY","EH395GY"
32681,"EH395NN","S01008277","9E891036-75EB-2C71-E053-A03BA40A7146","Playing Field",65063.5208500066,868.2304,1,65063,16.9,"600-900m",1752.67388666667,3212858.69984,1.06666666666667,3218752.4,1408.7315920398,"EH39 5NN","EH39","5NN","EH395NN"
36914,"EH394PJ","S01008273","9E891037-983C-2C71-E053-A03BA40A7146","Public Park Or Garden",88416.3551499948,107.935165,3,165194,24.3636363636364,"Less than or equal to 300m",214.663378733333,80746.2114549955,2.96666666666667,164803.5,2781.43867285892,"EH39 4PJ","EH39","4PJ","EH394PJ"
39774,"EH394QS","S01008273","9E891037-983C-2C71-E053-A03BA40A7146","Public Park Or Garden",88416.3551499948,321.69705,3,165194,24.3636363636364,"300-600m",214.663378733333,80746.2114549955,2.96666666666667,164803.5,2781.43867285892,"EH39 4QS","EH39","4QS","EH394QS"
62792,"EH394HR","S01008271","9E891037-983C-2C71-E053-A03BA40A7146","Public Park Or Garden",88416.3551499948,127.20063,2,153479,15.2682926829268,"Less than or equal to 300m",168.046596515152,88416.3551499947,2.45454545454545,157187.393939394,2781.43867285892,"EH39 4HR","EH39","4HR","EH394HR"
66423,"EH394JR","S01008271","9E891037-983C-2C71-E053-A03BA40A7146","Public Park Or Garden",88416.3551499948,164.40195,2,153479,15.2682926829268,"Less than or equal to 300m",168.046596515152,88416.3551499947,2.45454545454545,157187.393939394,2781.43867285892,"EH39 4JR","EH39","4JR","EH394JR"
74589,"EH394LS","S01008268","9E891037-983C-2C71-E053-A03BA40A7146","Public Park Or Garden",88416.3551499948,687.17535,2,100131,25.0277777777778,"600-900m",1093.10708516129,36112.3420758065,1.16129032258065,38001.1290322581,2781.43867285892,"EH39 4LS","EH39","4LS","EH394LS"
76748,"EH394PN","S01008273","9E891037-983C-2C71-E053-A03BA40A7146","Public Park Or Garden",88416.3551499948,34,3,165194,24.3636363636364,"Less than or equal to 300m",214.663378733333,80746.2114549955,2.96666666666667,164803.5,2781.43867285892,"EH39 4PN","EH39","4PN","EH394PN"
83882,"EH394HY","S01008271","9E891037-983C-2C71-E053-A03BA40A7146","Public Park Or Garden",88416.3551499948,190.64627,2,153479,15.2682926829268,"Less than or equal to 300m",168.046596515152,88416.3551499947,2.45454545454545,157187.393939394,2781.43867285892,"EH39 4HY","EH39","4HY","EH394HY"
89878,"EH394HT","S01008271","9E891037-983C-2C71-E053-A03BA40A7146","Public Park Or Garden",88416.3551499948,184.45866,2,153479,15.2682926829268,"Less than or equal to 300m",168.046596515152,88416.3551499947,2.45454545454545,157187.393939394,2781.43867285892,"EH39 4HT","EH39","4HT","EH394HT"
113012,"EH394HS","S01008271","9E891037-983C-2C71-E053-A03BA40A7146","Public Park Or Garden",88416.3551499948,173.81888,2,153479,15.2682926829268,"Less than or equal to 300m",168.046596515152,88416.3551499947,2.45454545454545,157187.393939394,2781.43867285892,"EH39 4HS","EH39","4HS","EH394HS"
116172,"EH394AQ","S01008270","9E891037-983C-2C71-E053-A03BA40A7146","Public Park Or Garden",88416.3551499948,485.60272,2,100131,21.5,"300-600m",496.495513333333,73502.1868541629,2.16666666666667,110974.833333333,2781.43867285892,"EH39 4AQ","EH39","4AQ","EH394AQ"
123309,"EH395NH","S01008276","9E891036-75EB-2C71-E053-A03BA40A7146","Playing Field",65063.5208500066,567.8662,2,153479,34.25,"300-600m",256.063468,65063.5208500066,1.86666666666667,141690.2,1408.7315920398,"EH39 5NH","EH39","5NH","EH395NH"
133887,"EH394AY","S01008269","9E891037-983C-2C71-E053-A03BA40A7146","Public Park Or Garden",88416.3551499948,765.2777,2,100131,32.7857142857143,"600-900m",813.051112727273,36119.9208659092,1.45454545454545,51903.5454545455,2781.43867285892,"EH39 4AY","EH39","4AY","EH394AY"
136764,"EH395EY","S01008267","9E89103D-78CA-2C71-E053-A03BA40A7146","Public Park Or Garden",9168.54379999942,216.83405,1,9168,15.9491525423729,"Less than or equal to 300m",760.002901578947,10421.0066078936,1.03508771929825,10780.9473684211,819.183405008854,"EH39 5EY","EH39","5EY","EH395EY"
137414,"EH395DR","S01008267","9E89103D-78CA-2C71-E053-A03BA40A7146","Public Park Or Garden",9168.54379999942,497.9257,1,9168,15.9491525423729,"300-600m",760.002901578947,10421.0066078936,1.03508771929825,10780.9473684211,819.183405008854,"EH39 5DR","EH39","5DR","EH395DR"
151397,"EH394EL","S01008274","9E891036-75EB-2C71-E053-A03BA40A7146","Playing Field",65063.5208500066,165.01212,3,165194,47.1333333333333,"Less than or equal to 300m",235.623219285714,75071.8784071444,2.78571428571429,162683.642857143,1408.7315920398,"EH39 4EL","EH39","4EL","EH394EL"
