"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"EH64AA",-3.181215,55.97717,260.511,6245.322,"81B33386-27BE-33F1-E053-A03BA40A2BEA","5A1E9745-6FB1-4EE4-B5EA-0558213528DD","EH6","4AA",55.97546,-3.17835
"EH64AB",-3.182406,55.9768,274.4408,4971.388,"81B33307-1572-33F1-E053-A03BA40A2BEA","AFC081BB-3FF7-4268-9F51-F3738C3B9EBA","EH6","4AB",55.97455,-3.180581
"EH64AD",-3.179887,55.97513,77.76491,4971.388,"81B33307-1572-33F1-E053-A03BA40A2BEA","AFC081BB-3FF7-4268-9F51-F3738C3B9EBA","EH6","4AD",55.97455,-3.180581
"EH64AE",-3.180789,55.97528,81.74319,4971.388,"81B33307-1572-33F1-E053-A03BA40A2BEA","AFC081BB-3FF7-4268-9F51-F3738C3B9EBA","EH6","4AE",55.97455,-3.180581
"EH64AF",-3.180525,55.97502,52.13351,4971.388,"81B33307-1572-33F1-E053-A03BA40A2BEA","AFC081BB-3FF7-4268-9F51-F3738C3B9EBA","EH6","4AF",55.97455,-3.180581
"EH64AG",-3.180102,55.97483,42.58455,4971.388,"81B33307-1572-33F1-E053-A03BA40A2BEA","AFC081BB-3FF7-4268-9F51-F3738C3B9EBA","EH6","4AG",55.97455,-3.180581
"EH64AH",-3.182641,55.97505,139.7763,4971.388,"81B33307-1572-33F1-E053-A03BA40A2BEA","AFC081BB-3FF7-4268-9F51-F3738C3B9EBA","EH6","4AH",55.97455,-3.180581
"EH64AJ",-3.182141,55.97549,142.4835,4971.388,"81B33307-1572-33F1-E053-A03BA40A2BEA","AFC081BB-3FF7-4268-9F51-F3738C3B9EBA","EH6","4AJ",55.97455,-3.180581
"EH64AL",-3.181829,55.97577,156.2103,4971.388,"81B33307-1572-33F1-E053-A03BA40A2BEA","AFC081BB-3FF7-4268-9F51-F3738C3B9EBA","EH6","4AL",55.97455,-3.180581
"EH64AN",-3.183231,55.9755,195.5341,4971.388,"81B33307-1572-33F1-E053-A03BA40A2BEA","AFC081BB-3FF7-4268-9F51-F3738C3B9EBA","EH6","4AN",55.97455,-3.180581
"EH64AP",-3.181718,55.97631,207.9836,4971.388,"81B33307-1572-33F1-E053-A03BA40A2BEA","AFC081BB-3FF7-4268-9F51-F3738C3B9EBA","EH6","4AP",55.97455,-3.180581
"EH64AQ",-3.18215,55.97472,99.35911,4971.388,"81B33307-1572-33F1-E053-A03BA40A2BEA","AFC081BB-3FF7-4268-9F51-F3738C3B9EBA","EH6","4AQ",55.97455,-3.180581
"EH64AR",-3.180592,55.97671,196.6465,6245.322,"81B33386-27BE-33F1-E053-A03BA40A2BEA","5A1E9745-6FB1-4EE4-B5EA-0558213528DD","EH6","4AR",55.97546,-3.17835
"EH64AS",-3.180539,55.97708,225.4297,6245.322,"81B33386-27BE-33F1-E053-A03BA40A2BEA","5A1E9745-6FB1-4EE4-B5EA-0558213528DD","EH6","4AS",55.97546,-3.17835
"EH64AT",-3.18187,55.97659,240.1698,4971.388,"81B33307-1572-33F1-E053-A03BA40A2BEA","AFC081BB-3FF7-4268-9F51-F3738C3B9EBA","EH6","4AT",55.97455,-3.180581
"EH64AU",-3.182766,55.97653,259.0393,4971.388,"81B33307-1572-33F1-E053-A03BA40A2BEA","AFC081BB-3FF7-4268-9F51-F3738C3B9EBA","EH6","4AU",55.97455,-3.180581
"EH64AW",-3.183574,55.9757,225.7879,4971.388,"81B33307-1572-33F1-E053-A03BA40A2BEA","AFC081BB-3FF7-4268-9F51-F3738C3B9EBA","EH6","4AW",55.97455,-3.180581
"EH64AX",-3.183406,55.97646,275.515,4971.388,"81B33307-1572-33F1-E053-A03BA40A2BEA","AFC081BB-3FF7-4268-9F51-F3738C3B9EBA","EH6","4AX",55.97455,-3.180581
"EH64AY",-3.183968,55.976,265.353,4971.388,"81B33307-1572-33F1-E053-A03BA40A2BEA","AFC081BB-3FF7-4268-9F51-F3738C3B9EBA","EH6","4AY",55.97455,-3.180581
"EH64AZ",-3.182776,55.97687,291.3973,4971.388,"81B33307-1572-33F1-E053-A03BA40A2BEA","AFC081BB-3FF7-4268-9F51-F3738C3B9EBA","EH6","4AZ",55.97455,-3.180581
"EH64BA",-3.183503,55.97705,331.8788,4971.388,"81B33307-1572-33F1-E053-A03BA40A2BEA","AFC081BB-3FF7-4268-9F51-F3738C3B9EBA","EH6","4BA",55.97455,-3.180581
"EH64BB",-3.182243,55.97724,312.7628,6245.322,"81B33386-27BE-33F1-E053-A03BA40A2BEA","5A1E9745-6FB1-4EE4-B5EA-0558213528DD","EH6","4BB",55.97546,-3.17835
"EH64BD",-3.176699,55.96038,89.59829,12260.91,"81B332FB-EE60-33F1-E053-A03BA40A2BEA","4B7AE8BB-D3B2-4C87-A331-45F26A17333C","EH6","4BD",55.9596,-3.176335
"EH64BE",-3.182341,55.97782,361.4804,6245.322,"81B33386-27BE-33F1-E053-A03BA40A2BEA","5A1E9745-6FB1-4EE4-B5EA-0558213528DD","EH6","4BE",55.97546,-3.17835
"EH64BF",-3.182613,55.97783,373.7775,6245.322,"81B33386-27BE-33F1-E053-A03BA40A2BEA","5A1E9745-6FB1-4EE4-B5EA-0558213528DD","EH6","4BF",55.97546,-3.17835
"EH64BG",-3.182918,55.97783,387.247,6245.322,"81B33386-27BE-33F1-E053-A03BA40A2BEA","5A1E9745-6FB1-4EE4-B5EA-0558213528DD","EH6","4BG",55.97546,-3.17835
"EH64BH",-3.191062,55.97272,104.8908,61943.54,"81B33386-27A6-33F1-E053-A03BA40A2BEA","9CF44A99-7EFE-4DEC-A5AA-D7E0AF087A4B","EH6","4BH",55.97356,-3.191809
"EH64BJ",-3.190415,55.97199,194.7015,61943.54,"81B33386-27A6-33F1-E053-A03BA40A2BEA","9CF44A99-7EFE-4DEC-A5AA-D7E0AF087A4B","EH6","4BJ",55.97356,-3.191809
"EH64BL",-3.190498,55.97262,132.4675,61943.54,"81B33386-27A6-33F1-E053-A03BA40A2BEA","9CF44A99-7EFE-4DEC-A5AA-D7E0AF087A4B","EH6","4BL",55.97356,-3.191809
"EH64BN",-3.189334,55.97228,209.597,61943.54,"81B33386-27A6-33F1-E053-A03BA40A2BEA","9CF44A99-7EFE-4DEC-A5AA-D7E0AF087A4B","EH6","4BN",55.97356,-3.191809
"EH64BP",-3.188949,55.9733,180.2635,61943.54,"81B33386-27A6-33F1-E053-A03BA40A2BEA","9CF44A99-7EFE-4DEC-A5AA-D7E0AF087A4B","EH6","4BP",55.97356,-3.191809
"EH64BQ",-3.188681,55.97344,192.8258,61943.54,"81B33386-27A6-33F1-E053-A03BA40A2BEA","056E4AC2-D527-4311-8768-70D7D91188A0","EH6","4BQ",55.97489,-3.190377
"EH64BR",-3.188412,55.97355,192.8646,61943.54,"81B33386-27A6-33F1-E053-A03BA40A2BEA","056E4AC2-D527-4311-8768-70D7D91188A0","EH6","4BR",55.97489,-3.190377
"EH64BS",-3.187635,55.97278,274.0148,61943.54,"81B33386-27A6-33F1-E053-A03BA40A2BEA","9CF44A99-7EFE-4DEC-A5AA-D7E0AF087A4B","EH6","4BS",55.97356,-3.191809
"EH64BT",-3.188242,55.97273,240.2706,61943.54,"81B33386-27A6-33F1-E053-A03BA40A2BEA","9CF44A99-7EFE-4DEC-A5AA-D7E0AF087A4B","EH6","4BT",55.97356,-3.191809
"EH64BU",-3.187336,55.97295,286.5094,61943.54,"81B33386-27A6-33F1-E053-A03BA40A2BEA","9CF44A99-7EFE-4DEC-A5AA-D7E0AF087A4B","EH6","4BU",55.97356,-3.191809
"EH64BW",-3.189152,55.97261,196.3496,61943.54,"81B33386-27A6-33F1-E053-A03BA40A2BEA","9CF44A99-7EFE-4DEC-A5AA-D7E0AF087A4B","EH6","4BW",55.97356,-3.191809
"EH64BX",-3.187793,55.97323,244.6556,61943.54,"81B33386-27A6-33F1-E053-A03BA40A2BEA","056E4AC2-D527-4311-8768-70D7D91188A0","EH6","4BX",55.97489,-3.190377
"EH64BY",-3.187042,55.97329,273.1513,61943.54,"81B33386-27A6-33F1-E053-A03BA40A2BEA","056E4AC2-D527-4311-8768-70D7D91188A0","EH6","4BY",55.97489,-3.190377
