"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"EN40AA",-0.149417,51.65009,207.8481,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","BDE82C62-B85D-4DA5-A31E-9113DE4C913E","EN4","0AA",51.65196,-0.1496103
"EN40AB",-0.168108,51.66766,1423.669,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","4E1B702F-44FB-4DE3-AD26-5DEDA206FCE1","EN4","0AB",51.6632,-0.1487566
"EN40AD",-0.171145,51.64324,719.5641,316781.4,"81B33341-5458-33F1-E053-A03BA40A2BEA","5887D67D-159E-4D7B-8925-55538FB06009","EN4","0AD",51.64051,-0.1616933
"EN40AE",-0.148349,51.64863,380.4074,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","BDE82C62-B85D-4DA5-A31E-9113DE4C913E","EN4","0AE",51.65196,-0.1496103
"EN40AF",-0.156935,51.65756,509.12,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","F2A8CB94-89E1-45B0-8C94-A67DCADE02FF","EN4","0AF",51.6561,-0.1499387
"EN40AG",-0.149166,51.64915,313.3349,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","BDE82C62-B85D-4DA5-A31E-9113DE4C913E","EN4","0AG",51.65196,-0.1496103
"EN40AH",-0.150127,51.6497,253.6367,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","BDE82C62-B85D-4DA5-A31E-9113DE4C913E","EN4","0AH",51.65196,-0.1496103
"EN40AJ",-0.181543,51.6644,1210.208,132954.5,"81B3331E-34E9-33F1-E053-A03BA40A2BEA","61D52485-A65E-4B8F-96DC-F801F62D771C","EN4","0AJ",51.65539,-0.1913952
"EN40AN",-0.156935,51.65756,509.12,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","F2A8CB94-89E1-45B0-8C94-A67DCADE02FF","EN4","0AN",51.6561,-0.1499387
"EN40AP",-0.144934,51.64766,576.9344,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","BDE82C62-B85D-4DA5-A31E-9113DE4C913E","EN4","0AP",51.65196,-0.1496103
"EN40AQ",-0.170404,51.66954,1572.984,1166674,"81B33392-3DE4-33F1-E053-A03BA40A2BEA","32F72C6B-640D-4EC9-B98C-5099BF8323E2","EN4","0AQ",51.67651,-0.1902504
"EN40AR",-0.14509,51.64879,470.2606,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","BDE82C62-B85D-4DA5-A31E-9113DE4C913E","EN4","0AR",51.65196,-0.1496103
"EN40AS",-0.147703,51.65037,219.8029,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","BDE82C62-B85D-4DA5-A31E-9113DE4C913E","EN4","0AS",51.65196,-0.1496103
"EN40AT",-0.146515,51.65001,304.1246,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","BDE82C62-B85D-4DA5-A31E-9113DE4C913E","EN4","0AT",51.65196,-0.1496103
"EN40AU",-0.145707,51.64962,374.2588,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","BDE82C62-B85D-4DA5-A31E-9113DE4C913E","EN4","0AU",51.65196,-0.1496103
"EN40AW",-0.155066,51.66201,454.967,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","4E1B702F-44FB-4DE3-AD26-5DEDA206FCE1","EN4","0AW",51.6632,-0.1487566
"EN40AX",-0.138175,51.64786,910.8335,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","BDE82C62-B85D-4DA5-A31E-9113DE4C913E","EN4","0AX",51.65196,-0.1496103
"EN40AY",-0.140445,51.64785,780.2891,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","BDE82C62-B85D-4DA5-A31E-9113DE4C913E","EN4","0AY",51.65196,-0.1496103
"EN40AZ",-0.142698,51.6472,669.0162,316781.4,"81B33341-5458-33F1-E053-A03BA40A2BEA","DE2501D4-1B68-44E6-8584-FCCC184908AD","EN4","0AZ",51.64246,-0.148673
"EN40BA",-0.142323,51.6486,625.9491,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","BDE82C62-B85D-4DA5-A31E-9113DE4C913E","EN4","0BA",51.65196,-0.1496103
"EN40BB",-0.144201,51.64899,498.5132,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","BDE82C62-B85D-4DA5-A31E-9113DE4C913E","EN4","0BB",51.65196,-0.1496103
"EN40BD",-0.13629,51.6473,883.7928,260205.5,"81B3331E-3519-33F1-E053-A03BA40A2BEA","9A468BBC-4D1D-4B2D-BBDA-B1A332806744","EN4","0BD",51.64155,-0.1274464
"EN40BE",-0.171145,51.64324,719.5641,316781.4,"81B33341-5458-33F1-E053-A03BA40A2BEA","5887D67D-159E-4D7B-8925-55538FB06009","EN4","0BE",51.64051,-0.1616933
"EN40BF",-0.171145,51.64324,719.5641,316781.4,"81B33341-5458-33F1-E053-A03BA40A2BEA","5887D67D-159E-4D7B-8925-55538FB06009","EN4","0BF",51.64051,-0.1616933
"EN40BG",-0.144711,51.64605,484.0507,316781.4,"81B33341-5458-33F1-E053-A03BA40A2BEA","DE2501D4-1B68-44E6-8584-FCCC184908AD","EN4","0BG",51.64246,-0.148673
"EN40BH",-0.14224,51.64603,595.6004,316781.4,"81B33341-5458-33F1-E053-A03BA40A2BEA","DE2501D4-1B68-44E6-8584-FCCC184908AD","EN4","0BH",51.64246,-0.148673
"EN40BJ",-0.138437,51.64713,876.7305,316781.4,"81B33341-5458-33F1-E053-A03BA40A2BEA","DE2501D4-1B68-44E6-8584-FCCC184908AD","EN4","0BJ",51.64246,-0.148673
"EN40BL",-0.140786,51.64694,738.035,316781.4,"81B33341-5458-33F1-E053-A03BA40A2BEA","DE2501D4-1B68-44E6-8584-FCCC184908AD","EN4","0BL",51.64246,-0.148673
"EN40BN",-0.135719,51.64785,903.427,260205.5,"81B3331E-3519-33F1-E053-A03BA40A2BEA","9A468BBC-4D1D-4B2D-BBDA-B1A332806744","EN4","0BN",51.64155,-0.1274464
"EN40BP",-0.171145,51.64324,719.5641,316781.4,"81B33341-5458-33F1-E053-A03BA40A2BEA","5887D67D-159E-4D7B-8925-55538FB06009","EN4","0BP",51.64051,-0.1616933
"EN40BQ",-0.138597,51.64674,842.4361,316781.4,"81B33341-5458-33F1-E053-A03BA40A2BEA","DE2501D4-1B68-44E6-8584-FCCC184908AD","EN4","0BQ",51.64246,-0.148673
"EN40BS",-0.135677,51.6478,896.8573,260205.5,"81B3331E-3519-33F1-E053-A03BA40A2BEA","9A468BBC-4D1D-4B2D-BBDA-B1A332806744","EN4","0BS",51.64155,-0.1274464
"EN40BU",-0.150484,51.65158,73.18956,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","BDE82C62-B85D-4DA5-A31E-9113DE4C913E","EN4","0BU",51.65196,-0.1496103
"EN40BX",-0.149891,51.65087,122.1215,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","BDE82C62-B85D-4DA5-A31E-9113DE4C913E","EN4","0BX",51.65196,-0.1496103
"EN40BY",-0.149811,51.65001,217.2018,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","BDE82C62-B85D-4DA5-A31E-9113DE4C913E","EN4","0BY",51.65196,-0.1496103
"EN40DA",-0.148349,51.64863,380.4074,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","BDE82C62-B85D-4DA5-A31E-9113DE4C913E","EN4","0DA",51.65196,-0.1496103
"EN40DB",-0.147539,51.64731,536.6957,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","BDE82C62-B85D-4DA5-A31E-9113DE4C913E","EN4","0DB",51.65196,-0.1496103
"EN40DD",-0.156935,51.65756,509.12,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","F2A8CB94-89E1-45B0-8C94-A67DCADE02FF","EN4","0DD",51.6561,-0.1499387
"EN40DE",-0.147748,51.64786,473.6986,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","BDE82C62-B85D-4DA5-A31E-9113DE4C913E","EN4","0DE",51.65196,-0.1496103
"EN40DF",-0.147361,51.64707,520.3685,316781.4,"81B33341-5458-33F1-E053-A03BA40A2BEA","DE2501D4-1B68-44E6-8584-FCCC184908AD","EN4","0DF",51.64246,-0.148673
"EN40DG",-0.147291,51.64658,467.7708,316781.4,"81B33341-5458-33F1-E053-A03BA40A2BEA","DE2501D4-1B68-44E6-8584-FCCC184908AD","EN4","0DG",51.64246,-0.148673
"EN40DH",-0.146741,51.64767,516.5098,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","BDE82C62-B85D-4DA5-A31E-9113DE4C913E","EN4","0DH",51.65196,-0.1496103
"EN40DJ",-0.147844,51.64932,317.4707,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","BDE82C62-B85D-4DA5-A31E-9113DE4C913E","EN4","0DJ",51.65196,-0.1496103
"EN40DL",-0.147629,51.64893,363.2206,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","BDE82C62-B85D-4DA5-A31E-9113DE4C913E","EN4","0DL",51.65196,-0.1496103
"EN40DN",-0.147167,51.64856,413.2679,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","BDE82C62-B85D-4DA5-A31E-9113DE4C913E","EN4","0DN",51.65196,-0.1496103
"EN40DP",-0.147834,51.64956,293.0928,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","BDE82C62-B85D-4DA5-A31E-9113DE4C913E","EN4","0DP",51.65196,-0.1496103
"EN40DQ",-0.146335,51.64627,453.0609,316781.4,"81B33341-5458-33F1-E053-A03BA40A2BEA","DE2501D4-1B68-44E6-8584-FCCC184908AD","EN4","0DQ",51.64246,-0.148673
"EN40DR",-0.148247,51.65079,160.0298,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","BDE82C62-B85D-4DA5-A31E-9113DE4C913E","EN4","0DR",51.65196,-0.1496103
"EN40DS",-0.156935,51.65755,508.8022,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","F2A8CB94-89E1-45B0-8C94-A67DCADE02FF","EN4","0DS",51.6561,-0.1499387
"EN40DT",-0.156935,51.65755,508.8022,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","F2A8CB94-89E1-45B0-8C94-A67DCADE02FF","EN4","0DT",51.6561,-0.1499387
"EN40DU",-0.146569,51.64691,515.6133,316781.4,"81B33341-5458-33F1-E053-A03BA40A2BEA","DE2501D4-1B68-44E6-8584-FCCC184908AD","EN4","0DU",51.64246,-0.148673
"EN40DW",-0.147108,51.64822,449.9071,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","BDE82C62-B85D-4DA5-A31E-9113DE4C913E","EN4","0DW",51.65196,-0.1496103
"EN40DX",-0.146758,51.64759,524.399,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","BDE82C62-B85D-4DA5-A31E-9113DE4C913E","EN4","0DX",51.65196,-0.1496103
"EN40DY",-0.148247,51.65079,160.0298,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","BDE82C62-B85D-4DA5-A31E-9113DE4C913E","EN4","0DY",51.65196,-0.1496103
"EN40DZ",-0.149442,51.6516,41.07968,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","BDE82C62-B85D-4DA5-A31E-9113DE4C913E","EN4","0DZ",51.65196,-0.1496103
"EN40ED",-0.175119,51.66807,1365.685,1166674,"81B33392-3DE4-33F1-E053-A03BA40A2BEA","A53DE573-57C2-4290-A404-580F2DF78827","EN4","0ED",51.67257,-0.1935481
"EN40EE",-0.173647,51.66837,1449.828,1166674,"81B33392-3DE4-33F1-E053-A03BA40A2BEA","A53DE573-57C2-4290-A404-580F2DF78827","EN4","0EE",51.67257,-0.1935481
"EN40EF",-0.176574,51.66751,1298.663,1166674,"81B33392-3DE4-33F1-E053-A03BA40A2BEA","A53DE573-57C2-4290-A404-580F2DF78827","EN4","0EF",51.67257,-0.1935481
"EN40EG",-0.179623,51.66648,1175.051,1166674,"81B33392-3DE4-33F1-E053-A03BA40A2BEA","A53DE573-57C2-4290-A404-580F2DF78827","EN4","0EG",51.67257,-0.1935481
"EN40EH",-0.177348,51.66875,1195.313,1166674,"81B33392-3DE4-33F1-E053-A03BA40A2BEA","A53DE573-57C2-4290-A404-580F2DF78827","EN4","0EH",51.67257,-0.1935481
"EN40EJ",-0.17724,51.66831,1220.352,1166674,"81B33392-3DE4-33F1-E053-A03BA40A2BEA","A53DE573-57C2-4290-A404-580F2DF78827","EN4","0EJ",51.67257,-0.1935481
"EN40EL",-0.175547,51.66857,1318.458,1166674,"81B33392-3DE4-33F1-E053-A03BA40A2BEA","A53DE573-57C2-4290-A404-580F2DF78827","EN4","0EL",51.67257,-0.1935481
"EN40EN",-0.172823,51.66764,1530.639,1166674,"81B33392-3DE4-33F1-E053-A03BA40A2BEA","A53DE573-57C2-4290-A404-580F2DF78827","EN4","0EN",51.67257,-0.1935481
"EN40EP",-0.171224,51.66893,1559.475,1166674,"81B33392-3DE4-33F1-E053-A03BA40A2BEA","32F72C6B-640D-4EC9-B98C-5099BF8323E2","EN4","0EP",51.67651,-0.1902504
"EN40EQ",-0.178467,51.66716,1201.24,1166674,"81B33392-3DE4-33F1-E053-A03BA40A2BEA","A53DE573-57C2-4290-A404-580F2DF78827","EN4","0EQ",51.67257,-0.1935481
"EN40ER",-0.166442,51.66881,1369.91,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","4E1B702F-44FB-4DE3-AD26-5DEDA206FCE1","EN4","0ER",51.6632,-0.1487566
"EN40ES",-0.161886,51.66881,1099.547,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","4E1B702F-44FB-4DE3-AD26-5DEDA206FCE1","EN4","0ES",51.6632,-0.1487566
"EN40ET",-0.165375,51.66836,1281.762,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","4E1B702F-44FB-4DE3-AD26-5DEDA206FCE1","EN4","0ET",51.6632,-0.1487566
"EN40EU",-0.161207,51.66846,1038.796,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","4E1B702F-44FB-4DE3-AD26-5DEDA206FCE1","EN4","0EU",51.6632,-0.1487566
"EN40EW",-0.173647,51.66837,1449.828,1166674,"81B33392-3DE4-33F1-E053-A03BA40A2BEA","A53DE573-57C2-4290-A404-580F2DF78827","EN4","0EW",51.67257,-0.1935481
"EN40EX",-0.16983,51.66835,1562.124,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","4E1B702F-44FB-4DE3-AD26-5DEDA206FCE1","EN4","0EX",51.6632,-0.1487566
"EN40EY",-0.171583,51.66792,1600.56,1166674,"81B33392-3DE4-33F1-E053-A03BA40A2BEA","A53DE573-57C2-4290-A404-580F2DF78827","EN4","0EY",51.67257,-0.1935481
"EN40HA",-0.172093,51.67104,1392.123,1166674,"81B33392-3DE4-33F1-E053-A03BA40A2BEA","32F72C6B-640D-4EC9-B98C-5099BF8323E2","EN4","0HA",51.67651,-0.1902504
"EN40HB",-0.161917,51.67092,1248.848,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","4E1B702F-44FB-4DE3-AD26-5DEDA206FCE1","EN4","0HB",51.6632,-0.1487566
"EN40HD",-0.164744,51.66763,1207.458,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","4E1B702F-44FB-4DE3-AD26-5DEDA206FCE1","EN4","0HD",51.6632,-0.1487566
"EN40HE",-0.162616,51.6708,1275.806,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","4E1B702F-44FB-4DE3-AD26-5DEDA206FCE1","EN4","0HE",51.6632,-0.1487566
"EN40HF",-0.156935,51.65756,509.12,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","F2A8CB94-89E1-45B0-8C94-A67DCADE02FF","EN4","0HF",51.6561,-0.1499387
"EN40HG",-0.172093,51.67104,1392.123,1166674,"81B33392-3DE4-33F1-E053-A03BA40A2BEA","32F72C6B-640D-4EC9-B98C-5099BF8323E2","EN4","0HG",51.67651,-0.1902504
"EN40HH",-0.158613,51.66832,886.7972,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","4E1B702F-44FB-4DE3-AD26-5DEDA206FCE1","EN4","0HH",51.6632,-0.1487566
"EN40HJ",-0.160511,51.67063,1157.589,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","4E1B702F-44FB-4DE3-AD26-5DEDA206FCE1","EN4","0HJ",51.6632,-0.1487566
"EN40HL",-0.1645,51.6715,1424.826,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","4E1B702F-44FB-4DE3-AD26-5DEDA206FCE1","EN4","0HL",51.6632,-0.1487566
"EN40HN",-0.16752,51.67112,1565.188,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","4E1B702F-44FB-4DE3-AD26-5DEDA206FCE1","EN4","0HN",51.6632,-0.1487566
"EN40HP",-0.171145,51.67123,1442.328,1166674,"81B33392-3DE4-33F1-E053-A03BA40A2BEA","32F72C6B-640D-4EC9-B98C-5099BF8323E2","EN4","0HP",51.67651,-0.1902504
"EN40HQ",-0.164903,51.67003,1347.611,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","4E1B702F-44FB-4DE3-AD26-5DEDA206FCE1","EN4","0HQ",51.6632,-0.1487566
"EN40HR",-0.171115,51.67092,1458.859,1166674,"81B33392-3DE4-33F1-E053-A03BA40A2BEA","32F72C6B-640D-4EC9-B98C-5099BF8323E2","EN4","0HR",51.67651,-0.1902504
"EN40HS",-0.170715,51.67043,1507.12,1166674,"81B33392-3DE4-33F1-E053-A03BA40A2BEA","32F72C6B-640D-4EC9-B98C-5099BF8323E2","EN4","0HS",51.67651,-0.1902504
"EN40HT",-0.170876,51.67003,1517.964,1166674,"81B33392-3DE4-33F1-E053-A03BA40A2BEA","32F72C6B-640D-4EC9-B98C-5099BF8323E2","EN4","0HT",51.67651,-0.1902504
"EN40HU",-0.168342,51.67046,1573.392,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","4E1B702F-44FB-4DE3-AD26-5DEDA206FCE1","EN4","0HU",51.6632,-0.1487566
"EN40HW",-0.169203,51.67099,1575.713,1166674,"81B33392-3DE4-33F1-E053-A03BA40A2BEA","32F72C6B-640D-4EC9-B98C-5099BF8323E2","EN4","0HW",51.67651,-0.1902504
"EN40HX",-0.169271,51.66966,1586.401,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","4E1B702F-44FB-4DE3-AD26-5DEDA206FCE1","EN4","0HX",51.6632,-0.1487566
"EN40HY",-0.164798,51.67013,1348.335,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","4E1B702F-44FB-4DE3-AD26-5DEDA206FCE1","EN4","0HY",51.6632,-0.1487566
"EN40HZ",-0.164757,51.66971,1319.65,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","4E1B702F-44FB-4DE3-AD26-5DEDA206FCE1","EN4","0HZ",51.6632,-0.1487566
"EN40JA",-0.166396,51.67066,1472.455,1885059,"81B3331E-34E2-33F1-E053-A03BA40A2BEA","4E1B702F-44FB-4DE3-AD26-5DEDA206FCE1","EN4","0JA",51.6632,-0.1487566
