"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"EX135AA",-2.997452,50.78185,1108.739,69084.61,"81B33397-901B-33F1-E053-A03BA40A2BEA","26F204D1-8441-4C60-AA99-57895BC880D5","EX13","5AA",50.78086,-2.98176
"EX135AB",-2.998105,50.78222,1159.113,69084.61,"81B33397-901B-33F1-E053-A03BA40A2BEA","26F204D1-8441-4C60-AA99-57895BC880D5","EX13","5AB",50.78086,-2.98176
"EX135AD",-2.997717,50.78133,1123.105,69084.61,"81B33397-901B-33F1-E053-A03BA40A2BEA","26F204D1-8441-4C60-AA99-57895BC880D5","EX13","5AD",50.78086,-2.98176
"EX135AE",-2.998375,50.78021,1170.392,69084.61,"81B33397-901B-33F1-E053-A03BA40A2BEA","26F204D1-8441-4C60-AA99-57895BC880D5","EX13","5AE",50.78086,-2.98176
"EX135AF",-2.998761,50.78073,1195.404,69084.61,"81B33397-901B-33F1-E053-A03BA40A2BEA","26F204D1-8441-4C60-AA99-57895BC880D5","EX13","5AF",50.78086,-2.98176
"EX135AG",-2.999226,50.7809,1228.016,69084.61,"81B33397-901B-33F1-E053-A03BA40A2BEA","26F204D1-8441-4C60-AA99-57895BC880D5","EX13","5AG",50.78086,-2.98176
"EX135AH",-2.998493,50.78113,1176.856,69084.61,"81B33397-901B-33F1-E053-A03BA40A2BEA","26F204D1-8441-4C60-AA99-57895BC880D5","EX13","5AH",50.78086,-2.98176
"EX135AJ",-2.998777,50.78178,1200.842,69084.61,"81B33397-901B-33F1-E053-A03BA40A2BEA","26F204D1-8441-4C60-AA99-57895BC880D5","EX13","5AJ",50.78086,-2.98176
"EX135AL",-2.998695,50.78195,1196.78,69084.61,"81B33397-901B-33F1-E053-A03BA40A2BEA","26F204D1-8441-4C60-AA99-57895BC880D5","EX13","5AL",50.78086,-2.98176
"EX135AN",-2.998493,50.78211,1184.626,69084.61,"81B33397-901B-33F1-E053-A03BA40A2BEA","26F204D1-8441-4C60-AA99-57895BC880D5","EX13","5AN",50.78086,-2.98176
"EX135AP",-2.998452,50.7822,1182.994,69084.61,"81B33397-901B-33F1-E053-A03BA40A2BEA","26F204D1-8441-4C60-AA99-57895BC880D5","EX13","5AP",50.78086,-2.98176
"EX135AQ",-2.999304,50.78121,1234.116,69084.61,"81B33397-901B-33F1-E053-A03BA40A2BEA","26F204D1-8441-4C60-AA99-57895BC880D5","EX13","5AQ",50.78086,-2.98176
"EX135AR",-2.998105,50.78222,1159.113,69084.61,"81B33397-901B-33F1-E053-A03BA40A2BEA","26F204D1-8441-4C60-AA99-57895BC880D5","EX13","5AR",50.78086,-2.98176
"EX135AS",-2.997445,50.78121,1103.478,69084.61,"81B33397-901B-33F1-E053-A03BA40A2BEA","26F204D1-8441-4C60-AA99-57895BC880D5","EX13","5AS",50.78086,-2.98176
"EX135AT",-2.997577,50.78207,1120.22,69084.61,"81B33397-901B-33F1-E053-A03BA40A2BEA","26F204D1-8441-4C60-AA99-57895BC880D5","EX13","5AT",50.78086,-2.98176
"EX135AU",-2.99674,50.78208,1061.925,69084.61,"81B33397-901B-33F1-E053-A03BA40A2BEA","26F204D1-8441-4C60-AA99-57895BC880D5","EX13","5AU",50.78086,-2.98176
"EX135AW",-2.99874,50.78205,1201.086,69084.61,"81B33397-901B-33F1-E053-A03BA40A2BEA","26F204D1-8441-4C60-AA99-57895BC880D5","EX13","5AW",50.78086,-2.98176
"EX135AX",-2.996596,50.7813,1044.242,69084.61,"81B33397-901B-33F1-E053-A03BA40A2BEA","26F204D1-8441-4C60-AA99-57895BC880D5","EX13","5AX",50.78086,-2.98176
"EX135AY",-2.99775,50.78088,1124.236,69084.61,"81B33397-901B-33F1-E053-A03BA40A2BEA","26F204D1-8441-4C60-AA99-57895BC880D5","EX13","5AY",50.78086,-2.98176
"EX135AZ",-2.99519,50.78155,947.3804,69084.61,"81B33397-901B-33F1-E053-A03BA40A2BEA","26F204D1-8441-4C60-AA99-57895BC880D5","EX13","5AZ",50.78086,-2.98176
"EX135BA",-2.994452,50.77987,899.1365,69084.61,"81B33397-901B-33F1-E053-A03BA40A2BEA","26F204D1-8441-4C60-AA99-57895BC880D5","EX13","5BA",50.78086,-2.98176
"EX135BB",-2.993826,50.78075,848.4311,69084.61,"81B33397-901B-33F1-E053-A03BA40A2BEA","26F204D1-8441-4C60-AA99-57895BC880D5","EX13","5BB",50.78086,-2.98176
"EX135BD",-2.993115,50.78033,800.5302,69084.61,"81B33397-901B-33F1-E053-A03BA40A2BEA","26F204D1-8441-4C60-AA99-57895BC880D5","EX13","5BD",50.78086,-2.98176
"EX135BE",-2.992085,50.78062,726.4413,69084.61,"81B33397-901B-33F1-E053-A03BA40A2BEA","26F204D1-8441-4C60-AA99-57895BC880D5","EX13","5BE",50.78086,-2.98176
"EX135BG",-2.990381,50.77985,616.4449,69084.61,"81B33397-901B-33F1-E053-A03BA40A2BEA","26F204D1-8441-4C60-AA99-57895BC880D5","EX13","5BG",50.78086,-2.98176
"EX135BH",-2.988586,50.77882,530.7155,69084.61,"81B33397-901B-33F1-E053-A03BA40A2BEA","26F204D1-8441-4C60-AA99-57895BC880D5","EX13","5BH",50.78086,-2.98176
"EX135BJ",-2.986217,50.77778,401.362,69084.61,"81B33397-901B-33F1-E053-A03BA40A2BEA","2A657111-8B6C-4F33-9C3D-D2A2655B3F9D","EX13","5BJ",50.77897,-2.980827
"EX135BL",-2.985254,50.77749,351.873,69084.61,"81B33397-901B-33F1-E053-A03BA40A2BEA","2A657111-8B6C-4F33-9C3D-D2A2655B3F9D","EX13","5BL",50.77897,-2.980827
"EX135BN",-2.985235,50.77929,300.1755,69084.61,"81B33397-901B-33F1-E053-A03BA40A2BEA","26F204D1-8441-4C60-AA99-57895BC880D5","EX13","5BN",50.78086,-2.98176
"EX135BP",-2.988191,50.78023,457.5837,69084.61,"81B33397-901B-33F1-E053-A03BA40A2BEA","26F204D1-8441-4C60-AA99-57895BC880D5","EX13","5BP",50.78086,-2.98176
"EX135BQ",-2.988728,50.77948,513.4673,69084.61,"81B33397-901B-33F1-E053-A03BA40A2BEA","26F204D1-8441-4C60-AA99-57895BC880D5","EX13","5BQ",50.78086,-2.98176
"EX135BR",-2.987214,50.77968,405.3108,69084.61,"81B33397-901B-33F1-E053-A03BA40A2BEA","26F204D1-8441-4C60-AA99-57895BC880D5","EX13","5BR",50.78086,-2.98176
"EX135BS",-2.991618,50.78065,693.5063,69084.61,"81B33397-901B-33F1-E053-A03BA40A2BEA","26F204D1-8441-4C60-AA99-57895BC880D5","EX13","5BS",50.78086,-2.98176
"EX135BT",-2.991238,50.78081,666.4137,69084.61,"81B33397-901B-33F1-E053-A03BA40A2BEA","26F204D1-8441-4C60-AA99-57895BC880D5","EX13","5BT",50.78086,-2.98176
"EX135BU",-2.992823,50.78198,787.7107,69084.61,"81B33397-901B-33F1-E053-A03BA40A2BEA","26F204D1-8441-4C60-AA99-57895BC880D5","EX13","5BU",50.78086,-2.98176
"EX135BW",-2.986296,50.77918,369.907,69084.61,"81B33397-901B-33F1-E053-A03BA40A2BEA","26F204D1-8441-4C60-AA99-57895BC880D5","EX13","5BW",50.78086,-2.98176
"EX135BX",-2.991217,50.78181,673.3018,69084.61,"81B33397-901B-33F1-E053-A03BA40A2BEA","26F204D1-8441-4C60-AA99-57895BC880D5","EX13","5BX",50.78086,-2.98176
"EX135BY",-2.998584,50.78238,1194.834,69084.61,"81B33397-901B-33F1-E053-A03BA40A2BEA","26F204D1-8441-4C60-AA99-57895BC880D5","EX13","5BY",50.78086,-2.98176
"EX135BZ",-2.992575,50.78166,765.5481,69084.61,"81B33397-901B-33F1-E053-A03BA40A2BEA","26F204D1-8441-4C60-AA99-57895BC880D5","EX13","5BZ",50.78086,-2.98176
"EX135DA",-2.984984,50.77884,292.6453,69084.61,"81B33397-901B-33F1-E053-A03BA40A2BEA","2A657111-8B6C-4F33-9C3D-D2A2655B3F9D","EX13","5DA",50.77897,-2.980827
"EX135DB",-2.997431,50.78187,1107.481,69084.61,"81B33397-901B-33F1-E053-A03BA40A2BEA","26F204D1-8441-4C60-AA99-57895BC880D5","EX13","5DB",50.78086,-2.98176
"EX135DD",-2.998555,50.78269,1198.308,69084.61,"81B33397-901B-33F1-E053-A03BA40A2BEA","26F204D1-8441-4C60-AA99-57895BC880D5","EX13","5DD",50.78086,-2.98176
"EX135DE",-2.992436,50.78109,751.0638,69084.61,"81B33397-901B-33F1-E053-A03BA40A2BEA","26F204D1-8441-4C60-AA99-57895BC880D5","EX13","5DE",50.78086,-2.98176
