"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
1747,"EX151HY","E01020055","9E8910D5-CBBE-2C71-E053-A03BA40A7146","Playing Field",8107.7746499988,172.72232,4,192905,27.6268656716418,"Less than or equal to 300m",206.255624865672,108211.11826119,4.22388059701493,180963.074626866,2130.45131828779,"EX15 1HY","EX15","1HY","EX151HY"
1748,"EX151RT","E01020058","9E891036-8AE8-2C71-E053-A03BA40A7146","Playing Field",4381.17870000045,407.98285,5,197286,45.2222222222222,"300-600m",336.004720933333,29856.8859599964,4.55555555555555,184838.666666667,1115.42786069652,"EX15 1RT","EX15","1RT","EX151RT"
7581,"EX151FA","E01020057","9E8910D5-CBBE-2C71-E053-A03BA40A7146","Playing Field",8107.7746499988,212.04716,5,197286,44.1481481481481,"Less than or equal to 300m",280.057580925926,42284.5786888858,4.33333333333333,185704.555555556,2130.45131828779,"EX15 1FA","EX15","1FA","EX151FA"
12537,"EX151DW","E01020055","9E89103D-A4F5-2C71-E053-A03BA40A7146","Playing Field",135075.389699996,160.52725,5,197286,27.6268656716418,"Less than or equal to 300m",206.255624865672,108211.11826119,4.22388059701493,180963.074626866,3974.53789025885,"EX15 1DW","EX15","1DW","EX151DW"
12538,"EX151PB","E01020058","9E891036-8AE8-2C71-E053-A03BA40A7146","Playing Field",4381.17870000045,425.95892,5,197286,45.2222222222222,"300-600m",336.004720933333,29856.8859599964,4.55555555555555,184838.666666667,1115.42786069652,"EX15 1PB","EX15","1PB","EX151PB"
12539,"EX153PA","E01020074","9E8910D5-C229-2C71-E053-A03BA40A7146","Playing Field",13659.5972000008,358.06842,2,50022,16.8208955223881,"300-600m",562.024171170213,10411.1942510639,1.40425531914894,23696.9361702128,745.800995024876,"EX15 3PA","EX15","3PA","EX153PA"
16807,"EX151HF","E01020057","9E8910D5-CBBE-2C71-E053-A03BA40A7146","Playing Field",8107.7746499988,234.86592,5,197286,44.1481481481481,"Less than or equal to 300m",280.057580925926,42284.5786888858,4.33333333333333,185704.555555556,2130.45131828779,"EX15 1HF","EX15","1HF","EX151HF"
16808,"EX151JB","E01020058","9E8910D5-CB21-2C71-E053-A03BA40A7146","Playing Field",40301.3783999923,256.82678,4,187865,45.2222222222222,"Less than or equal to 300m",336.004720933333,29856.8859599964,4.55555555555555,184838.666666667,1547.35474283738,"EX15 1JB","EX15","1JB","EX151JB"
20477,"EX153TD","E01020075","9E891037-0D8E-2C71-E053-A03BA40A7146","Playing Field",36363.2635999994,223.91293,2,50022,23.8333333333333,"Less than or equal to 300m",317.692510151515,22603.4657818185,1.87878787878788,45614.3636363636,326.654228855721,"EX15 3TD","EX15","3TD","EX153TD"
23589,"EX151ER","E01020057","9E8910D5-CBBE-2C71-E053-A03BA40A7146","Playing Field",8107.7746499988,340.64792,5,197286,44.1481481481481,"300-600m",280.057580925926,42284.5786888858,4.33333333333333,185704.555555556,2130.45131828779,"EX15 1ER","EX15","1ER","EX151ER"
23590,"EX152BG","E01020056","9E891060-F332-2C71-E053-A03BA40A7146","Playing Field",14403.5919499997,578.30444,2,26754,16.5906040268456,"300-600m",553.687097710526,18079.7910881572,1.89473684210526,31264.0263157895,348.402684563758,"EX15 2BG","EX15","2BG","EX152BG"
28755,"EX151AX","E01020054","9E89103D-A4F5-2C71-E053-A03BA40A7146","Playing Field",135075.389699996,749.3711,2,143183,35.4782608695652,"600-900m",640.196894304348,105193.235430431,1.98550724637681,139243.449275362,3974.53789025885,"EX15 1AX","EX15","1AX","EX151AX"
32702,"EX152QA","E01020064","9E8910D5-C6A1-2C71-E053-A03BA40A7146","Playing Field",14665.611150003,343.6859,3,26189,34,"300-600m",285.879779358491,10731.7107141536,2.94339622641509,25903.6226415094,1350.66666666667,"EX15 2QA","EX15","2QA","EX152QA"
34287,"EX151GA","E01020057","9E8910D5-CBBE-2C71-E053-A03BA40A7146","Playing Field",8107.7746499988,259.1872,5,197286,44.1481481481481,"Less than or equal to 300m",280.057580925926,42284.5786888858,4.33333333333333,185704.555555556,2130.45131828779,"EX15 1GA","EX15","1GA","EX151GA"
35671,"EX151UR","E01020058","9E8910D5-CB21-2C71-E053-A03BA40A7146","Playing Field",40301.3783999923,196.74348,4,187865,45.2222222222222,"Less than or equal to 300m",336.004720933333,29856.8859599964,4.55555555555555,184838.666666667,1547.35474283738,"EX15 1UR","EX15","1UR","EX151UR"
38015,"EX151FE","E01020054","9E8910D5-CBBE-2C71-E053-A03BA40A7146","Playing Field",8107.7746499988,750.5864,2,143183,35.4782608695652,"600-900m",640.196894304348,105193.235430431,1.98550724637681,139243.449275362,2130.45131828779,"EX15 1FE","EX15","1FE","EX151FE"
38016,"EX153AL","E01020063","9E891060-F30F-2C71-E053-A03BA40A7146","Playing Field",27754.4339000028,381.04724,3,46806,32.3766233766234,"300-600m",340.360208416667,10740.5656781255,3,46806,420.896103896104,"EX15 3AL","EX15","3AL","EX153AL"
48050,"EX151UG","E01020058","9E8910D5-CB21-2C71-E053-A03BA40A7146","Playing Field",40301.3783999923,178.40404,4,187865,45.2222222222222,"Less than or equal to 300m",336.004720933333,29856.8859599964,4.55555555555555,184838.666666667,1547.35474283738,"EX15 1UG","EX15","1UG","EX151UG"
53816,"EX151HU","E01020055","9E8910D5-CBBE-2C71-E053-A03BA40A7146","Playing Field",8107.7746499988,85.3815,4,192905,27.6268656716418,"Less than or equal to 300m",206.255624865672,108211.11826119,4.22388059701493,180963.074626866,2130.45131828779,"EX15 1HU","EX15","1HU","EX151HU"
58608,"EX151NW","E01020054","9E89103D-A4F5-2C71-E053-A03BA40A7146","Playing Field",135075.389699996,914.7595,1,135075,35.4782608695652,"900-1800m",640.196894304348,105193.235430431,1.98550724637681,139243.449275362,3974.53789025885,"EX15 1NW","EX15","1NW","EX151NW"
58609,"EX151QE","E01020058","9E8910D5-CB21-2C71-E053-A03BA40A7146","Playing Field",40301.3783999923,242.85387,4,187865,45.2222222222222,"Less than or equal to 300m",336.004720933333,29856.8859599964,4.55555555555555,184838.666666667,1547.35474283738,"EX15 1QE","EX15","1QE","EX151QE"
62863,"EX153XB","E01020075","9E891037-0D8E-2C71-E053-A03BA40A7146","Playing Field",36363.2635999994,155.02902,2,50022,23.8333333333333,"Less than or equal to 300m",317.692510151515,22603.4657818185,1.87878787878788,45614.3636363636,326.654228855721,"EX15 3XB","EX15","3XB","EX153XB"
66465,"EX152AR","E01020056","9E891041-5D6A-2C71-E053-A03BA40A7146","Playing Field",12350.5083500003,945.1545,1,12350,16.5906040268456,"900-1800m",553.687097710526,18079.7910881572,1.89473684210526,31264.0263157895,116.134228187919,"EX15 2AR","EX15","2AR","EX152AR"
69578,"EX152BU","E01020056","9E891060-F309-2C71-E053-A03BA40A7146","Public Park Or Garden",28933.0319000001,639.60614,1,28933,16.5906040268456,"600-900m",553.687097710526,18079.7910881572,1.89473684210526,31264.0263157895,99.5436241610738,"EX15 2BU","EX15","2BU","EX152BU"
72310,"EX151AH","E01020055","9E89103D-A4F5-2C71-E053-A03BA40A7146","Playing Field",135075.389699996,245.1061,3,152603,27.6268656716418,"Less than or equal to 300m",206.255624865672,108211.11826119,4.22388059701493,180963.074626866,3974.53789025885,"EX15 1AH","EX15","1AH","EX151AH"
74617,"EX152RU","E01020064","9E8910D5-C6A1-2C71-E053-A03BA40A7146","Playing Field",14665.611150003,145.11375,3,26189,34,"Less than or equal to 300m",285.879779358491,10731.7107141536,2.94339622641509,25903.6226415094,1350.66666666667,"EX15 2RU","EX15","2RU","EX152RU"
76773,"EX151EX","E01020055","9E891036-8AE8-2C71-E053-A03BA40A7146","Playing Field",4381.17870000045,113.86395,5,197286,27.6268656716418,"Less than or equal to 300m",206.255624865672,108211.11826119,4.22388059701493,180963.074626866,1115.42786069652,"EX15 1EX","EX15","1EX","EX151EX"
85787,"EX153JW","E01020074","9E8910D5-9691-2C71-E053-A03BA40A7146","Playing Field",7813.64369999961,350.89172,1,7813,16.8208955223881,"300-600m",562.024171170213,10411.1942510639,1.40425531914894,23696.9361702128,504.626865671642,"EX15 3JW","EX15","3JW","EX153JW"
86546,"EX151AF","E01020055","9E89103D-A4F5-2C71-E053-A03BA40A7146","Playing Field",135075.389699996,239.50783,3,152603,27.6268656716418,"Less than or equal to 300m",206.255624865672,108211.11826119,4.22388059701493,180963.074626866,3974.53789025885,"EX15 1AF","EX15","1AF","EX151AF"
87278,"EX153QL","E01020075","9E8910D5-C229-2C71-E053-A03BA40A7146","Playing Field",13659.5972000008,52.392746,2,50022,23.8333333333333,"Less than or equal to 300m",317.692510151515,22603.4657818185,1.87878787878788,45614.3636363636,745.800995024876,"EX15 3QL","EX15","3QL","EX153QL"
88459,"EX153TY","E01020075","9E891037-0D8E-2C71-E053-A03BA40A7146","Playing Field",36363.2635999994,261.8473,2,50022,23.8333333333333,"Less than or equal to 300m",317.692510151515,22603.4657818185,1.87878787878788,45614.3636363636,326.654228855721,"EX15 3TY","EX15","3TY","EX153TY"
90910,"EX151BS","E01020054","9E89103D-A4F5-2C71-E053-A03BA40A7146","Playing Field",135075.389699996,598.29425,1,135075,35.4782608695652,"300-600m",640.196894304348,105193.235430431,1.98550724637681,139243.449275362,3974.53789025885,"EX15 1BS","EX15","1BS","EX151BS"
90911,"EX152DH","E01020056","9E891060-F332-2C71-E053-A03BA40A7146","Playing Field",14403.5919499997,556.5932,1,14403,16.5906040268456,"300-600m",553.687097710526,18079.7910881572,1.89473684210526,31264.0263157895,348.402684563758,"EX15 2DH","EX15","2DH","EX152DH"
94304,"EX151ET","E01020055","9E891036-8AE8-2C71-E053-A03BA40A7146","Playing Field",4381.17870000045,121.630585,5,197286,27.6268656716418,"Less than or equal to 300m",206.255624865672,108211.11826119,4.22388059701493,180963.074626866,1115.42786069652,"EX15 1ET","EX15","1ET","EX151ET"
94305,"EX151FS","E01020054","9E89103D-A4F5-2C71-E053-A03BA40A7146","Playing Field",135075.389699996,605.21155,2,143183,35.4782608695652,"600-900m",640.196894304348,105193.235430431,1.98550724637681,139243.449275362,3974.53789025885,"EX15 1FS","EX15","1FS","EX151FS"
94306,"EX151UN","E01020058","9E8910D5-CB21-2C71-E053-A03BA40A7146","Playing Field",40301.3783999923,308.70697,4,187865,45.2222222222222,"300-600m",336.004720933333,29856.8859599964,4.55555555555555,184838.666666667,1547.35474283738,"EX15 1UN","EX15","1UN","EX151UN"
100162,"EX151JF","E01020057","9E8910D5-CBBE-2C71-E053-A03BA40A7146","Playing Field",8107.7746499988,302.16553,3,183484,44.1481481481481,"300-600m",280.057580925926,42284.5786888858,4.33333333333333,185704.555555556,2130.45131828779,"EX15 1JF","EX15","1JF","EX151JF"
105146,"EX153TZ","E01020075","9E891037-0D8E-2C71-E053-A03BA40A7146","Playing Field",36363.2635999994,201.85391,2,50022,23.8333333333333,"Less than or equal to 300m",317.692510151515,22603.4657818185,1.87878787878788,45614.3636363636,326.654228855721,"EX15 3TZ","EX15","3TZ","EX153TZ"
