"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"FK136AA",-3.746605,56.15353,2340.16,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6AA",56.15719,-3.709395
"FK136AB",-3.745922,56.15373,2294.525,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6AB",56.15719,-3.709395
"FK136AD",-3.745634,56.15378,2276.196,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6AD",56.15719,-3.709395
"FK136AE",-3.747661,56.1541,2394.635,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6AE",56.15719,-3.709395
"FK136AF",-3.744857,56.15333,2237.792,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6AF",56.15719,-3.709395
"FK136AG",-3.746799,56.15283,2366.608,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6AG",56.15719,-3.709395
"FK136AH",-3.748846,56.15517,2453.444,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6AH",56.15719,-3.709395
"FK136AJ",-3.748589,56.15467,2443.396,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6AJ",56.15719,-3.709395
"FK136AL",-3.748033,56.1552,2403.033,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6AL",56.15719,-3.709395
"FK136AN",-3.74826,56.15594,2410.83,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6AN",56.15719,-3.709395
"FK136AP",-3.748699,56.15618,2436.588,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6AP",56.15719,-3.709395
"FK136AQ",-3.745341,56.153,2274.489,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6AQ",56.15719,-3.709395
"FK136AR",-3.747835,56.1565,2381.696,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6AR",56.15719,-3.709395
"FK136AS",-3.747129,56.15657,2337.744,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6AS",56.15719,-3.709395
"FK136AT",-3.748007,56.15355,2425.219,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6AT",56.15719,-3.709395
"FK136AU",-3.747965,56.15724,2388.488,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6AU",56.15719,-3.709395
"FK136AW",-3.748853,56.15518,2453.814,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6AW",56.15719,-3.709395
"FK136AX",-3.749528,56.15727,2485.287,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6AX",56.15719,-3.709395
"FK136AY",-3.750378,56.1579,2539.088,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6AY",56.15719,-3.709395
"FK136AZ",-3.75232,56.15686,2658.451,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6AZ",56.15719,-3.709395
"FK136BA",-3.748622,56.15398,2455.344,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6BA",56.15719,-3.709395
"FK136BB",-3.750421,56.15744,2540.71,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6BB",56.15719,-3.709395
"FK136BD",-3.749058,56.15295,2501.319,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6BD",56.15719,-3.709395
"FK136BE",-3.749668,56.15645,2495.338,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6BE",56.15719,-3.709395
"FK136BF",-3.738345,56.14512,1539.987,838642.3,"81B33480-01DD-33F1-E053-A03BA40A2BEA","58BD44C4-B9A2-42E1-BDFD-AAD85D70B62B","FK13","6BF",56.13276,-3.72713
"FK136BG",-3.74998,56.15694,2513.433,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6BG",56.15719,-3.709395
"FK136BH",-3.750273,56.15631,2533.362,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6BH",56.15719,-3.709395
"FK136BJ",-3.749827,56.15642,2505.293,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6BJ",56.15719,-3.709395
"FK136BL",-3.751245,56.1541,2614.403,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6BL",56.15719,-3.709395
"FK136BP",-3.750585,56.15162,2551.58,838642.3,"81B33480-01DD-33F1-E053-A03BA40A2BEA","58BD44C4-B9A2-42E1-BDFD-AAD85D70B62B","FK13","6BP",56.13276,-3.72713
"FK136BQ",-3.745146,56.15367,2248.335,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6BQ",56.15719,-3.709395
"FK136BS",-3.751059,56.15164,2570.051,838642.3,"81B33480-01DD-33F1-E053-A03BA40A2BEA","58BD44C4-B9A2-42E1-BDFD-AAD85D70B62B","FK13","6BS",56.13276,-3.72713
"FK136BT",-3.756337,56.14786,2226.97,39170.85,"81B3332A-F402-33F1-E053-A03BA40A2BEA","842FF980-3C38-4C8F-96F4-28C45C8F54BD","FK13","6BT",56.12812,-3.750279
"FK136BU",-3.758102,56.14618,2065.858,39170.85,"81B3332A-F402-33F1-E053-A03BA40A2BEA","842FF980-3C38-4C8F-96F4-28C45C8F54BD","FK13","6BU",56.12812,-3.750279
"FK136BW",-3.750826,56.15324,2603.117,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6BW",56.15719,-3.709395
"FK136BX",-3.750972,56.15326,2611.73,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6BX",56.15719,-3.709395
"FK136BY",-3.750445,56.15373,2571.264,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6BY",56.15719,-3.709395
"FK136BZ",-3.749012,56.15158,2493.356,838642.3,"81B33480-01DD-33F1-E053-A03BA40A2BEA","58BD44C4-B9A2-42E1-BDFD-AAD85D70B62B","FK13","6BZ",56.13276,-3.72713
"FK136DA",-3.749034,56.15101,2441.538,838642.3,"81B33480-01DD-33F1-E053-A03BA40A2BEA","58BD44C4-B9A2-42E1-BDFD-AAD85D70B62B","FK13","6DA",56.13276,-3.72713
"FK136DB",-3.750265,56.15117,2498.648,838642.3,"81B33480-01DD-33F1-E053-A03BA40A2BEA","58BD44C4-B9A2-42E1-BDFD-AAD85D70B62B","FK13","6DB",56.13276,-3.72713
"FK136DD",-3.745511,56.15213,2306.385,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6DD",56.15719,-3.709395
"FK136DE",-3.747341,56.15449,2369.102,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6DE",56.15719,-3.709395
"FK136DG",-3.746915,56.15186,2398.081,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6DG",56.15719,-3.709395
"FK136DH",-3.749962,56.15443,2530.936,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6DH",56.15719,-3.709395
"FK136DL",-3.743916,56.15331,2181.093,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6DL",56.15719,-3.709395
"FK136DN",-3.738426,56.14569,1599.093,838642.3,"81B33480-01DD-33F1-E053-A03BA40A2BEA","58BD44C4-B9A2-42E1-BDFD-AAD85D70B62B","FK13","6DN",56.13276,-3.72713
"FK136DP",-3.74332,56.15316,2148.261,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6DP",56.15719,-3.709395
"FK136DQ",-3.738411,56.14428,1459.297,838642.3,"81B33480-01DD-33F1-E053-A03BA40A2BEA","58BD44C4-B9A2-42E1-BDFD-AAD85D70B62B","FK13","6DQ",56.13276,-3.72713
"FK136DR",-3.741093,56.15269,2025.932,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6DR",56.15719,-3.709395
"FK136DS",-3.741892,56.15293,2067.625,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6DS",56.15719,-3.709395
"FK136DT",-3.739757,56.15321,1931.68,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6DT",56.15719,-3.709395
"FK136DU",-3.740799,56.15331,1992.108,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6DU",56.15719,-3.709395
"FK136DW",-3.741297,56.15293,2031.802,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6DW",56.15719,-3.709395
"FK136DX",-3.742188,56.15342,2073.749,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6DX",56.15719,-3.709395
"FK136DY",-3.743595,56.15354,2156.512,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6DY",56.15719,-3.709395
"FK136DZ",-3.750184,56.15151,2527.141,838642.3,"81B33480-01DD-33F1-E053-A03BA40A2BEA","58BD44C4-B9A2-42E1-BDFD-AAD85D70B62B","FK13","6DZ",56.13276,-3.72713
"FK136EA",-3.746223,56.1547,2297.46,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6EA",56.15719,-3.709395
"FK136EB",-3.746375,56.15485,2304.843,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6EB",56.15719,-3.709395
"FK136ED",-3.746375,56.15485,2304.843,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6ED",56.15719,-3.709395
"FK136EE",-3.746374,56.1559,2294.489,919.5267,"81B3332A-F62F-33F1-E053-A03BA40A2BEA","229F1774-EA01-454E-8E37-867552D5E358","FK13","6EE",56.15719,-3.709395
