"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
1790,"FK147DP","S01007444","9E89106D-D300-2C71-E053-A03BA40A7146","Playing Field",35706.5306999968,324.77686,3,92302,22.8095238095238,"300-600m",341.209631404762,29253.3839011867,2.73809523809524,85378.1666666667,928.477371163519,"FK14 7DP","FK14","7DP","FK147DP"
7622,"FK147DW","S01007444","9E89106D-CE44-2C71-E053-A03BA40A7146","Playing Field",48775.159149996,300.10666,3,92302,22.8095238095238,"300-600m",341.209631404762,29253.3839011867,2.73809523809524,85378.1666666667,1110.34751212313,"FK14 7DW","FK14","7DW","FK147DW"
20512,"FK147DL","S01007444","9E89106D-D300-2C71-E053-A03BA40A7146","Playing Field",35706.5306999968,251.74591,3,92302,22.8095238095238,"Less than or equal to 300m",341.209631404762,29253.3839011867,2.73809523809524,85378.1666666667,928.477371163519,"FK14 7DL","FK14","7DL","FK147DL"
26374,"FK147AG","S01007444","9E89103D-6221-2C71-E053-A03BA40A7146","Playing Field",7820.94879999535,49.396355,3,92302,22.8095238095238,"Less than or equal to 300m",341.209631404762,29253.3839011867,2.73809523809524,85378.1666666667,1314.72701807996,"FK14 7AG","FK14","7AG","FK147AG"
34301,"FK147AD","S01007446","9E89106D-D300-2C71-E053-A03BA40A7146","Playing Field",35706.5306999968,89.050545,3,92302,34.5294117647059,"Less than or equal to 300m",723.3740971875,19094.8312906208,2.125,63129.4375,928.477371163519,"FK14 7AD","FK14","7AD","FK147AD"
39789,"FK147BJ","S01007445","9E89103D-6221-2C71-E053-A03BA40A7146","Playing Field",7820.94879999535,489.33627,3,92302,31.35,"300-600m",472.7399995,7820.94879999535,2.45,70049.7,1314.72701807996,"FK14 7BJ","FK14","7BJ","FK147BJ"
48092,"FK147JB","S01007443","9E89106D-CE44-2C71-E053-A03BA40A7146","Playing Field",48775.159149996,132.84953,3,92302,29.7096774193548,"Less than or equal to 300m",224.381287870968,48353.5904903186,2.58064516129032,87223.1935483871,1110.34751212313,"FK14 7JB","FK14","7JB","FK147JB"
53852,"FK147BF","S01007444","9E89106D-CE44-2C71-E053-A03BA40A7146","Playing Field",48775.159149996,162.26521,3,92302,22.8095238095238,"Less than or equal to 300m",341.209631404762,29253.3839011867,2.73809523809524,85378.1666666667,1110.34751212313,"FK14 7BF","FK14","7BF","FK147BF"
66496,"FK147BP","S01007445","9E89103D-6221-2C71-E053-A03BA40A7146","Playing Field",7820.94879999535,635.4723,1,7820,31.35,"600-900m",472.7399995,7820.94879999535,2.45,70049.7,1314.72701807996,"FK14 7BP","FK14","7BP","FK147BP"
89017,"FK147BX","S01007445","9E89103D-6221-2C71-E053-A03BA40A7146","Playing Field",7820.94879999535,688.1584,1,7820,31.35,"600-900m",472.7399995,7820.94879999535,2.45,70049.7,1314.72701807996,"FK14 7BX","FK14","7BX","FK147BX"
113093,"FK147NW","S01011833","9E891049-2C55-2C71-E053-A03BA40A7146","Playing Field",2875.07739999938,205.779,1,2875,25.15,"Less than or equal to 300m",1053.41256019444,26737.2029666651,1.11111111111111,33130.5277777778,433.923809523809,"FK14 7NW","FK14","7NW","FK147NW"
116242,"FK147HU","S01007443","9E89106D-CE44-2C71-E053-A03BA40A7146","Playing Field",48775.159149996,167.28719,3,92302,29.7096774193548,"Less than or equal to 300m",224.381287870968,48353.5904903186,2.58064516129032,87223.1935483871,1110.34751212313,"FK14 7HU","FK14","7HU","FK147HU"
119057,"FK147HE","S01007443","9E89106D-CE44-2C71-E053-A03BA40A7146","Playing Field",48775.159149996,42.941822,3,92302,29.7096774193548,"Less than or equal to 300m",224.381287870968,48353.5904903186,2.58064516129032,87223.1935483871,1110.34751212313,"FK14 7HE","FK14","7HE","FK147HE"
126815,"FK147LU","S01011833","9E891049-2C55-2C71-E053-A03BA40A7146","Playing Field",2875.07739999938,803.27454,1,2875,25.15,"600-900m",1053.41256019444,26737.2029666651,1.11111111111111,33130.5277777778,433.923809523809,"FK14 7LU","FK14","7LU","FK147LU"
138677,"FK147EG","S01007443","9E89106D-CE44-2C71-E053-A03BA40A7146","Playing Field",48775.159149996,354.2005,1,48775,29.7096774193548,"300-600m",224.381287870968,48353.5904903186,2.58064516129032,87223.1935483871,1110.34751212313,"FK14 7EG","FK14","7EG","FK147EG"
146594,"FK147DQ","S01007444","9E89106D-CE44-2C71-E053-A03BA40A7146","Playing Field",48775.159149996,228.77937,3,92302,22.8095238095238,"Less than or equal to 300m",341.209631404762,29253.3839011867,2.73809523809524,85378.1666666667,1110.34751212313,"FK14 7DQ","FK14","7DQ","FK147DQ"
162460,"FK147HD","S01007443","9E89106D-CE44-2C71-E053-A03BA40A7146","Playing Field",48775.159149996,78.23682,3,92302,29.7096774193548,"Less than or equal to 300m",224.381287870968,48353.5904903186,2.58064516129032,87223.1935483871,1110.34751212313,"FK14 7HD","FK14","7HD","FK147HD"
169621,"FK147DG","S01007444","9E89106D-D300-2C71-E053-A03BA40A7146","Playing Field",35706.5306999968,285.0351,3,92302,22.8095238095238,"Less than or equal to 300m",341.209631404762,29253.3839011867,2.73809523809524,85378.1666666667,928.477371163519,"FK14 7DG","FK14","7DG","FK147DG"
