"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
7656,"FY55LN","E01025596","9E89103A-2597-2C71-E053-A03BA40A7146","Public Park Or Garden",565412.815199984,455.66324,2,579412,37.7454545454545,"300-600m",329.858908909091,94204.8097918209,2.10909090909091,476908.909090909,1470.96885663356,"FY5 5LN","FY5","5LN","FY55LN"
12615,"FY51RH","E01012716","9E8910CF-96DA-2C71-E053-A03BA40A7146","Playing Field",10367.6398499954,265.27155,4,109674,53.6153846153846,"Less than or equal to 300m",385.572776230769,10329.9771384586,3.76923076923077,101882.692307692,1950.21200750469,"FY5 1RH","FY5","1RH","FY51RH"
12616,"FY52AH","E01025557","9E891045-2D73-2C71-E053-A03BA40A7146","Playing Field",19638.6396500003,306.86316,5,244220,38.7,"300-600m",227.614599425,18979.928374999,4.35,190027.175,1582.90707070707,"FY5 2AH","FY5","2AH","FY52AH"
16868,"FY51BN","E01025571","9E891056-23F7-2C71-E053-A03BA40A7146","Public Park Or Garden",30381.2305999971,398.72922,2,53566,58.3333333333333,"300-600m",203.654271083333,30381.2305999971,2.375,58612.375,5473.45400183206,"FY5 1BN","FY5","1BN","FY51BN"
16869,"FY53FE","E01025602","9E89103E-BC38-2C71-E053-A03BA40A7146","Public Park Or Garden",12248.1590999982,419.86902,4,109862,37.8333333333333,"300-600m",571.184581666667,46671.3307833327,3.23809523809524,116225.238095238,7132.198603997,"FY5 3FE","FY5","3FE","FY53FE"
16870,"FY53HS","E01012662","9E89103E-BC38-2C71-E053-A03BA40A7146","Public Park Or Garden",12248.1590999982,528.33704,5,173833,44.8064516129032,"300-600m",532.170899677419,25943.1886548373,4.45161290322581,154309,7132.198603997,"FY5 3HS","FY5","3HS","FY53HS"
16871,"FY53LZ","E01025604","9E891056-23F7-2C71-E053-A03BA40A7146","Public Park Or Garden",30381.2305999971,677.89746,3,65814,38.7837837837838,"600-900m",593.72893972973,24336.8306351317,2.97297297297297,70119.5675675676,5473.45400183206,"FY5 3LZ","FY5","3LZ","FY53LZ"
20530,"FY51PA","E01012719","9E891036-9DCA-2C71-E053-A03BA40A7146","Playing Field",10269.7167999998,372.7962,4,109674,50.8928571428571,"300-600m",443.903411785714,10905.6446821422,3.39285714285714,63052.1071428571,1626.31482738347,"FY5 1PA","FY5","1PA","FY51PA"
20531,"FY52EL","E01025542","9E891039-C8AF-2C71-E053-A03BA40A7146","Playing Field",144634.140599998,465.69196,7,320547,38.0222222222222,"300-600m",249.764113422222,55247.5430777776,6.04444444444444,281000.533333333,2817.88229698384,"FY5 2EL","FY5","2EL","FY52EL"
20532,"FY52NX","E01025554","9E8910CF-7BE8-2C71-E053-A03BA40A7146","Playing Field",18321.2170999976,307.05862,3,71887,44.3030303030303,"300-600m",267.903931181818,19058.2284333307,3.54545454545455,83875.9090909091,3342.75308837504,"FY5 2NX","FY5","2NX","FY52NX"
20533,"FY53ES","E01012719","9E89103E-BC38-2C71-E053-A03BA40A7146","Public Park Or Garden",12248.1590999982,246.78938,4,109674,50.8928571428571,"Less than or equal to 300m",443.903411785714,10905.6446821422,3.39285714285714,63052.1071428571,7132.198603997,"FY5 3ES","FY5","3ES","FY53ES"
20534,"FY53JJ","E01012664","9E891056-23F7-2C71-E053-A03BA40A7146","Public Park Or Garden",30381.2305999971,828.6091,3,65814,48.8181818181818,"600-900m",459.861168181818,13347.1331303012,3.03030303030303,52503.8787878788,5473.45400183206,"FY5 3JJ","FY5","3JJ","FY53JJ"
23628,"FY53FN","E01025602","9E89103E-BC38-2C71-E053-A03BA40A7146","Public Park Or Garden",12248.1590999982,507.90945,3,86677,37.8333333333333,"300-600m",571.184581666667,46671.3307833327,3.23809523809524,116225.238095238,7132.198603997,"FY5 3FN","FY5","3FN","FY53FN"
23629,"FY54BT","E01025543","9E8910CF-8E61-2C71-E053-A03BA40A7146","Playing Field",12167.5214500011,172.35138,5,279041,35.9803921568627,"Less than or equal to 300m",296.725815176471,65278.3262735297,3.84313725490196,278329.568627451,2659.47493544386,"FY5 4BT","FY5","4BT","FY54BT"
30915,"FY52AY","E01025604","9E891041-E60D-2C71-E053-A03BA40A7146","Public Park Or Garden",23185.491899996,468.12924,3,65814,38.7837837837838,"300-600m",593.72893972973,24336.8306351317,2.97297297297297,70119.5675675676,4006.87313827314,"FY5 2AY","FY5","2AY","FY52AY"
32722,"FY53DL","E01025602","9E89103E-BC38-2C71-E053-A03BA40A7146","Public Park Or Garden",12248.1590999982,753.20447,4,163465,37.8333333333333,"600-900m",571.184581666667,46671.3307833327,3.23809523809524,116225.238095238,7132.198603997,"FY5 3DL","FY5","3DL","FY53DL"
34307,"FY52LB","E01025555","9E8910CF-7BE8-2C71-E053-A03BA40A7146","Playing Field",18321.2170999976,218.0367,5,244220,43.2424242424242,"Less than or equal to 300m",240.00840969697,21054.301690906,4.75757575757576,182646.333333333,3342.75308837504,"FY5 2LB","FY5","2LB","FY52LB"
34308,"FY54EE","E01025597","9E8910CF-9E4F-2C71-E053-A03BA40A7146","Public Park Or Garden",13999.191850006,437.7682,3,90326,45.96,"300-600m",303.23001152,13999.191850006,1.92,61885.8,5986.91189028145,"FY5 4EE","FY5","4EE","FY54EE"
34309,"FY54FQ","E01025596","9E8910CF-9E4F-2C71-E053-A03BA40A7146","Public Park Or Garden",13999.191850006,534.21814,4,234960,37.7454545454545,"300-600m",329.858908909091,94204.8097918209,2.10909090909091,476908.909090909,5986.91189028145,"FY5 4FQ","FY5","4FQ","FY54FQ"
35689,"FY52SN","E01025544","9E8910CF-8E61-2C71-E053-A03BA40A7146","Playing Field",12167.5214500011,84.15462,5,263785,37.2682926829268,"Less than or equal to 300m",159.74942304878,37650.7643597566,4.09756097560976,247648.585365854,2659.47493544386,"FY5 2SN","FY5","2SN","FY52SN"
