"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"FY76AA",-3.008959,53.92434,384.6604,3334.881,"81B3338C-C56C-33F1-E053-A03BA40A2BEA","83D3B7A0-AF32-4EA4-89AF-3FA6D0108B1F","FY7","6AA",53.92778,-3.008376
"FY76AB",-3.007666,53.92402,414.1237,3334.881,"81B3338C-C56C-33F1-E053-A03BA40A2BEA","2E8BD5BE-F591-4A75-A865-A0EE9482CAF5","FY7","6AB",53.92774,-3.007571
"FY76AD",-3.007222,53.92363,457.6802,3334.881,"81B3338C-C56C-33F1-E053-A03BA40A2BEA","2E8BD5BE-F591-4A75-A865-A0EE9482CAF5","FY7","6AD",53.92774,-3.007571
"FY76AE",-3.013678,53.91699,489.7603,195544.9,"81B33313-3E77-33F1-E053-A03BA40A2BEA","A0897009-C68F-4F59-82B8-8D631AEBC5C2","FY7","6AE",53.91265,-3.012379
"FY76AF",-3.016154,53.91898,316.275,68271.83,"81B3338C-CE69-33F1-E053-A03BA40A2BEA","12649C28-85B3-42AB-AF29-CEFF864E3250","FY7","6AF",53.91951,-3.020896
"FY76AG",-3.006233,53.92331,500.4199,3334.881,"81B3338C-C56C-33F1-E053-A03BA40A2BEA","2E8BD5BE-F591-4A75-A865-A0EE9482CAF5","FY7","6AG",53.92774,-3.007571
"FY76AH",-3.007752,53.92353,468.7123,3334.881,"81B3338C-C56C-33F1-E053-A03BA40A2BEA","2E8BD5BE-F591-4A75-A865-A0EE9482CAF5","FY7","6AH",53.92774,-3.007571
"FY76AJ",-3.008871,53.92511,298.4616,3334.881,"81B3338C-C56C-33F1-E053-A03BA40A2BEA","83D3B7A0-AF32-4EA4-89AF-3FA6D0108B1F","FY7","6AJ",53.92778,-3.008376
"FY76AL",-3.008889,53.92521,287.7665,3334.881,"81B3338C-C56C-33F1-E053-A03BA40A2BEA","83D3B7A0-AF32-4EA4-89AF-3FA6D0108B1F","FY7","6AL",53.92778,-3.008376
"FY76AN",-3.008829,53.92526,282.2474,3334.881,"81B3338C-C56C-33F1-E053-A03BA40A2BEA","83D3B7A0-AF32-4EA4-89AF-3FA6D0108B1F","FY7","6AN",53.92778,-3.008376
"FY76AP",-3.009601,53.92568,246.8196,3334.881,"81B3338C-C56C-33F1-E053-A03BA40A2BEA","83D3B7A0-AF32-4EA4-89AF-3FA6D0108B1F","FY7","6AP",53.92778,-3.008376
