"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"G12RS",-4.241903,55.86863,171.5689,136199.7,"81B33322-B59B-33F1-E053-A03BA40A2BEA","EAAAB4A0-FD11-46DC-ABBB-BF5C4E7CA55C","G1","2RS",55.86951,-4.239641
"G12RT",-4.254446,55.86415,738.6725,136199.7,"81B33322-B59B-33F1-E053-A03BA40A2BEA","08296AEB-7071-4518-A8F6-7E4146CD7D94","G1","2RT",55.87053,-4.251153
"G12RU",-4.254423,55.86458,693.1925,136199.7,"81B33322-B59B-33F1-E053-A03BA40A2BEA","08296AEB-7071-4518-A8F6-7E4146CD7D94","G1","2RU",55.87053,-4.251153
"G12RW",-4.254148,55.86452,694.5473,136199.7,"81B33322-B59B-33F1-E053-A03BA40A2BEA","08296AEB-7071-4518-A8F6-7E4146CD7D94","G1","2RW",55.87053,-4.251153
"G12RX",-4.254801,55.8642,740.0566,136199.7,"81B33322-B59B-33F1-E053-A03BA40A2BEA","08296AEB-7071-4518-A8F6-7E4146CD7D94","G1","2RX",55.87053,-4.251153
"G12RY",-4.254446,55.86415,738.6725,136199.7,"81B33322-B59B-33F1-E053-A03BA40A2BEA","08296AEB-7071-4518-A8F6-7E4146CD7D94","G1","2RY",55.87053,-4.251153
"G12RZ",-4.249666,55.86163,731.8974,5277.928,"81B33322-DD04-33F1-E053-A03BA40A2BEA","FAB67D42-0C64-4630-97DF-4E4B4055FB5D","G1","2RZ",55.86225,-4.237989
"G12SB",-4.254537,55.86379,778.8303,136199.7,"81B33322-B59B-33F1-E053-A03BA40A2BEA","08296AEB-7071-4518-A8F6-7E4146CD7D94","G1","2SB",55.87053,-4.251153
"G12SD",-4.25472,55.86337,827.5233,136199.7,"81B33322-B59B-33F1-E053-A03BA40A2BEA","08296AEB-7071-4518-A8F6-7E4146CD7D94","G1","2SD",55.87053,-4.251153
"G12SE",-4.254754,55.86339,825.314,136199.7,"81B33322-B59B-33F1-E053-A03BA40A2BEA","08296AEB-7071-4518-A8F6-7E4146CD7D94","G1","2SE",55.87053,-4.251153
"G12SF",-4.254703,55.86307,858.996,136199.7,"81B33322-B59B-33F1-E053-A03BA40A2BEA","08296AEB-7071-4518-A8F6-7E4146CD7D94","G1","2SF",55.87053,-4.251153
"G12SG",-4.254677,55.86262,906.9312,136199.7,"81B33322-B59B-33F1-E053-A03BA40A2BEA","08296AEB-7071-4518-A8F6-7E4146CD7D94","G1","2SG",55.87053,-4.251153
"G12SH",-4.254974,55.86275,898.3,136199.7,"81B33322-B59B-33F1-E053-A03BA40A2BEA","08296AEB-7071-4518-A8F6-7E4146CD7D94","G1","2SH",55.87053,-4.251153
"G12SL",-4.25454,55.86384,774.0662,136199.7,"81B33322-B59B-33F1-E053-A03BA40A2BEA","08296AEB-7071-4518-A8F6-7E4146CD7D94","G1","2SL",55.87053,-4.251153
"G12SN",-4.254472,55.8646,691.3396,136199.7,"81B33322-B59B-33F1-E053-A03BA40A2BEA","08296AEB-7071-4518-A8F6-7E4146CD7D94","G1","2SN",55.87053,-4.251153
"G12SP",-4.254846,55.86001,886.785,5717.101,"81B33304-F8E5-33F1-E053-A03BA40A2BEA","010C5021-23EA-4C0A-87D8-415C9BCB2CD2","G1","2SP",55.85621,-4.242352
"G12SQ",-4.255146,55.86243,934.5978,136199.7,"81B33322-B59B-33F1-E053-A03BA40A2BEA","08296AEB-7071-4518-A8F6-7E4146CD7D94","G1","2SQ",55.87053,-4.251153
"G12SW",-4.25454,55.86384,774.0662,136199.7,"81B33322-B59B-33F1-E053-A03BA40A2BEA","08296AEB-7071-4518-A8F6-7E4146CD7D94","G1","2SW",55.87053,-4.251153
"G12TA",-4.247551,55.8632,604.6443,5277.928,"81B33322-DD04-33F1-E053-A03BA40A2BEA","79FE97E0-6C1A-4AB3-A7FD-C935D3047D93","G1","2TA",55.8625,-4.237941
"G12TB",-4.24789,55.8627,619.8771,5277.928,"81B33322-DD04-33F1-E053-A03BA40A2BEA","FAB67D42-0C64-4630-97DF-4E4B4055FB5D","G1","2TB",55.86225,-4.237989
"G12TD",-4.245788,55.86421,519.3898,5277.928,"81B33322-DD04-33F1-E053-A03BA40A2BEA","E0325210-4C04-4622-8D7C-8163BB601187","G1","2TD",55.86286,-4.237823
"G12TE",-4.245788,55.86421,519.3898,5277.928,"81B33322-DD04-33F1-E053-A03BA40A2BEA","E0325210-4C04-4622-8D7C-8163BB601187","G1","2TE",55.86286,-4.237823
"G12TF",-4.245788,55.86421,519.3898,5277.928,"81B33322-DD04-33F1-E053-A03BA40A2BEA","E0325210-4C04-4622-8D7C-8163BB601187","G1","2TF",55.86286,-4.237823
"G12TG",-4.246368,55.86348,536.7955,5277.928,"81B33322-DD04-33F1-E053-A03BA40A2BEA","79FE97E0-6C1A-4AB3-A7FD-C935D3047D93","G1","2TG",55.8625,-4.237941
"G12TN",-4.247807,55.86321,620.5455,5277.928,"81B33322-DD04-33F1-E053-A03BA40A2BEA","79FE97E0-6C1A-4AB3-A7FD-C935D3047D93","G1","2TN",55.8625,-4.237941
"G12TP",-4.252838,55.86122,858.9508,5717.101,"81B33304-F8E5-33F1-E053-A03BA40A2BEA","010C5021-23EA-4C0A-87D8-415C9BCB2CD2","G1","2TP",55.85621,-4.242352
"G12TQ",-4.24713,55.86366,587.5545,5277.928,"81B33322-DD04-33F1-E053-A03BA40A2BEA","E0325210-4C04-4622-8D7C-8163BB601187","G1","2TQ",55.86286,-4.237823
"G12TS",-4.252942,55.86081,835.4805,5717.101,"81B33304-F8E5-33F1-E053-A03BA40A2BEA","010C5021-23EA-4C0A-87D8-415C9BCB2CD2","G1","2TS",55.85621,-4.242352
"G12UT",-4.258726,55.86354,910.4503,136199.7,"81B33322-B59B-33F1-E053-A03BA40A2BEA","08296AEB-7071-4518-A8F6-7E4146CD7D94","G1","2UT",55.87053,-4.251153
"G12WE",-4.25167,55.86313,824.4635,136199.7,"81B33322-B59B-33F1-E053-A03BA40A2BEA","08296AEB-7071-4518-A8F6-7E4146CD7D94","G1","2WE",55.87053,-4.251153
"G12WJ",-4.241903,55.86863,171.5689,136199.7,"81B33322-B59B-33F1-E053-A03BA40A2BEA","EAAAB4A0-FD11-46DC-ABBB-BF5C4E7CA55C","G1","2WJ",55.86951,-4.239641
"G12WW",-4.241903,55.86863,171.5689,136199.7,"81B33322-B59B-33F1-E053-A03BA40A2BEA","EAAAB4A0-FD11-46DC-ABBB-BF5C4E7CA55C","G1","2WW",55.86951,-4.239641
"G12XA",-4.241903,55.86863,171.5689,136199.7,"81B33322-B59B-33F1-E053-A03BA40A2BEA","EAAAB4A0-FD11-46DC-ABBB-BF5C4E7CA55C","G1","2XA",55.86951,-4.239641
"G12XL",-4.243491,55.86874,131.025,136199.7,"81B33322-B59B-33F1-E053-A03BA40A2BEA","4DBE2B2E-1C6E-4801-BD76-09414184E161","G1","2XL",55.86984,-4.244252
"G12YD",-4.241903,55.86863,171.5689,136199.7,"81B33322-B59B-33F1-E053-A03BA40A2BEA","EAAAB4A0-FD11-46DC-ABBB-BF5C4E7CA55C","G1","2YD",55.86951,-4.239641
"G12YE",-4.241903,55.86863,171.5689,136199.7,"81B33322-B59B-33F1-E053-A03BA40A2BEA","EAAAB4A0-FD11-46DC-ABBB-BF5C4E7CA55C","G1","2YE",55.86951,-4.239641
"G12YF",-4.243491,55.86874,131.025,136199.7,"81B33322-B59B-33F1-E053-A03BA40A2BEA","4DBE2B2E-1C6E-4801-BD76-09414184E161","G1","2YF",55.86984,-4.244252
"G12YJ",-4.241903,55.86863,171.5689,136199.7,"81B33322-B59B-33F1-E053-A03BA40A2BEA","EAAAB4A0-FD11-46DC-ABBB-BF5C4E7CA55C","G1","2YJ",55.86951,-4.239641
"G12YL",-4.241903,55.86863,171.5689,136199.7,"81B33322-B59B-33F1-E053-A03BA40A2BEA","EAAAB4A0-FD11-46DC-ABBB-BF5C4E7CA55C","G1","2YL",55.86951,-4.239641
