"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
1901,"G663RA","S01008144","9E891041-E01F-2C71-E053-A03BA40A7146","Public Park Or Garden",93722.3278499983,217.41435,6,371031,37.9861111111111,"Less than or equal to 300m",454.994207525424,73289.5396864401,3.8135593220339,218183.881355932,2054.94648480175,"G66 3RA","G66","3RA","G663RA"
1902,"G663UH","S01008144","9E891041-E01F-2C71-E053-A03BA40A7146","Public Park Or Garden",93722.3278499983,288.6174,4,292653,37.9861111111111,"Less than or equal to 300m",454.994207525424,73289.5396864401,3.8135593220339,218183.881355932,2054.94648480175,"G66 3UH","G66","3UH","G663UH"
1903,"G665HZ","S01008125","9E891065-EED3-2C71-E053-A03BA40A7146","Public Park Or Garden",1328.87219999931,486.23553,6,197315,33.6666666666667,"300-600m",406.186431153846,31193.5069749934,5.84615384615385,192309.307692308,2402.5635505916,"G66 5HZ","G66","5HZ","G665HZ"
1904,"G667DF","S01008159","9E8910A3-E46A-2C71-E053-A03BA40A7146","Playing Field",18275.9590500016,128.13274,5,138056,27,"Less than or equal to 300m",164.54927490625,36372.6165812511,4.34375,137607.78125,602.864468864469,"G66 7DF","G66","7DF","G667DF"
7718,"G661AW","S01008132","9E8910EE-11C6-2C71-E053-A03BA40A7146","Public Park Or Garden",25015.2655000051,236.38104,6,291964,23.8510638297872,"Less than or equal to 300m",500.566211086957,29581.5154239183,4.17391304347826,139995.217391304,1702.06250601714,"G66 1AW","G66","1AW","G661AW"
7719,"G664LJ","S01008122","9E891037-8668-2C71-E053-A03BA40A7146","Public Park Or Garden",65839.4277499864,496.63266,6,197315,28.875,"300-600m",226.723460625,23797.2006145783,8.625,293941.541666667,2711.63926712177,"G66 4LJ","G66","4LJ","G664LJ"
12690,"G662JB","S01008152","9E891042-025B-2C71-E053-A03BA40A7146","Public Park Or Garden",166989.292200013,450.0411,5,244339,34.5714285714286,"300-600m",209.711800035714,41401.1778696389,3.78571428571429,166307.821428571,3796.81575857976,"G66 2JB","G66","2JB","G662JB"
12691,"G663EE","S01008129","9E891042-025B-2C71-E053-A03BA40A7146","Public Park Or Garden",166989.292200013,248.13101,7,398247,35.96,"Less than or equal to 300m",130.801976583333,81449.1506208348,7.33333333333333,421124.583333333,3796.81575857976,"G66 3EE","G66","3EE","G663EE"
12692,"G663PX","S01008141","9E891065-E819-2C71-E053-A03BA40A7146","Playing Field",23755.981449997,194.12367,7,355566,43.8823529411765,"Less than or equal to 300m",210.4964768125,19084.3619343702,7.3125,346075.5,1646.17840557276,"G66 3PX","G66","3PX","G663PX"
12693,"G663QA","S01008144","9E891065-E819-2C71-E053-A03BA40A7146","Playing Field",23755.981449997,182.91528,4,68523,37.9861111111111,"Less than or equal to 300m",454.994207525424,73289.5396864401,3.8135593220339,218183.881355932,1646.17840557276,"G66 3QA","G66","3QA","G663QA"
12694,"G664LA","S01008122","9E8911BE-4F99-2C71-E053-A03BA40A7146","Public Park Or Garden",6549.99074999968,122.02459,9,461603,28.875,"Less than or equal to 300m",226.723460625,23797.2006145783,8.625,293941.541666667,588.251623376623,"G66 4LA","G66","4LA","G664LA"
