"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
16984,"GL88DP","E01022220","9E89106E-8B18-2C71-E053-A03BA40A7146","Playing Field",42103.530000001,331.73032,1,42103,31.24,"300-600m",302.03628434,42103.530000001,1.28,44261.24,4522.83225806451,"GL8 8DP","GL8","8DP","GL88DP"
42940,"GL88LE","E01022218","9E89106E-8B18-2C71-E053-A03BA40A7146","Playing Field",42103.530000001,270.4071,1,42103,40.3225806451613,"Less than or equal to 300m",375.452983870968,42103.530000001,1,42103,4522.83225806451,"GL8 8LE","GL8","8LE","GL88LE"
45838,"GL88JX","E01022218","9E89106E-8B18-2C71-E053-A03BA40A7146","Playing Field",42103.530000001,216.09258,1,42103,40.3225806451613,"Less than or equal to 300m",375.452983870968,42103.530000001,1,42103,4522.83225806451,"GL8 8JX","GL8","8JX","GL88JX"
66610,"GL88LH","E01022218","9E89106E-8B18-2C71-E053-A03BA40A7146","Playing Field",42103.530000001,184.23083,1,42103,40.3225806451613,"Less than or equal to 300m",375.452983870968,42103.530000001,1,42103,4522.83225806451,"GL8 8LH","GL8","8LH","GL88LH"
69714,"GL88EH","E01022220","9E89106E-8B18-2C71-E053-A03BA40A7146","Playing Field",42103.530000001,257.5733,2,49811,31.24,"Less than or equal to 300m",302.03628434,42103.530000001,1.28,44261.24,4522.83225806451,"GL8 8EH","GL8","8EH","GL88EH"
74730,"GL88JQ","E01022220","9E89106E-8B18-2C71-E053-A03BA40A7146","Playing Field",42103.530000001,107.298645,1,42103,31.24,"Less than or equal to 300m",302.03628434,42103.530000001,1.28,44261.24,4522.83225806451,"GL8 8JQ","GL8","8JQ","GL88JQ"
81612,"GL88AR","E01022218","9E89106E-8B18-2C71-E053-A03BA40A7146","Playing Field",42103.530000001,394.30066,1,42103,40.3225806451613,"300-600m",375.452983870968,42103.530000001,1,42103,4522.83225806451,"GL8 8AR","GL8","8AR","GL88AR"
87924,"GL88HD","E01022219","9E891036-AAEA-2C71-E053-A03BA40A7146","Playing Field",7708.01819999984,478.8319,2,49811,33.55,"300-600m",395.61883175,21466.2229200003,1.95,47705.85,886.167741935483,"GL8 8HD","GL8","8HD","GL88HD"
89033,"GL88YY","E01022217","9E89106E-8B18-2C71-E053-A03BA40A7146","Playing Field",42103.530000001,360.53433,1,42103,40.4838709677419,"300-600m",350.869723967742,39884.4647225816,1.67741935483871,47324.5483870968,4522.83225806451,"GL8 8YY","GL8","8YY","GL88YY"
119158,"GL88FU","E01022220","9E89106E-8B18-2C71-E053-A03BA40A7146","Playing Field",42103.530000001,334.3561,2,49811,31.24,"300-600m",302.03628434,42103.530000001,1.28,44261.24,4522.83225806451,"GL8 8FU","GL8","8FU","GL88FU"
