"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"GU341AA",-0.977125,51.14728,95.02157,16712.69,"81B33360-D1F3-33F1-E053-A03BA40A2BEA","4A5A21F0-A938-42A1-BF88-617C8DA7E017","GU34","1AA",51.14772,-0.9782956
"GU341AB",-0.976772,51.14769,106.3239,16712.69,"81B33360-D1F3-33F1-E053-A03BA40A2BEA","4A5A21F0-A938-42A1-BF88-617C8DA7E017","GU34","1AB",51.14772,-0.9782956
"GU341AD",-0.97697,51.14719,109.5336,16712.69,"81B33360-D1F3-33F1-E053-A03BA40A2BEA","4A5A21F0-A938-42A1-BF88-617C8DA7E017","GU34","1AD",51.14772,-0.9782956
"GU341AE",-0.976742,51.14783,109.0296,16712.69,"81B33360-D1F3-33F1-E053-A03BA40A2BEA","4A5A21F0-A938-42A1-BF88-617C8DA7E017","GU34","1AE",51.14772,-0.9782956
"GU341AF",-0.976829,51.14777,102.4808,16712.69,"81B33360-D1F3-33F1-E053-A03BA40A2BEA","4A5A21F0-A938-42A1-BF88-617C8DA7E017","GU34","1AF",51.14772,-0.9782956
"GU341AG",-0.975864,51.14807,174.0665,16712.69,"81B33360-D1F3-33F1-E053-A03BA40A2BEA","4A5A21F0-A938-42A1-BF88-617C8DA7E017","GU34","1AG",51.14772,-0.9782956
"GU341AH",-0.973387,51.14955,283.0765,39553.46,"81B3347F-1D1B-33F1-E053-A03BA40A2BEA","4284A911-6CDA-4491-B3C4-2A1AEB216D9B","GU34","1AH",51.14779,-0.9704591
"GU341AJ",-0.972578,51.14988,275.8683,39553.46,"81B3347F-1D1B-33F1-E053-A03BA40A2BEA","4284A911-6CDA-4491-B3C4-2A1AEB216D9B","GU34","1AJ",51.14779,-0.9704591
"GU341AL",-0.974491,51.14745,267.0912,16712.69,"81B33360-D1F3-33F1-E053-A03BA40A2BEA","4A5A21F0-A938-42A1-BF88-617C8DA7E017","GU34","1AL",51.14772,-0.9782956
"GU341AN",-0.973563,51.14675,245.5173,39553.46,"81B3347F-1D1B-33F1-E053-A03BA40A2BEA","4284A911-6CDA-4491-B3C4-2A1AEB216D9B","GU34","1AN",51.14779,-0.9704591
"GU341AP",-0.976222,51.14805,149.1643,16712.69,"81B33360-D1F3-33F1-E053-A03BA40A2BEA","4A5A21F0-A938-42A1-BF88-617C8DA7E017","GU34","1AP",51.14772,-0.9782956
"GU341AQ",-0.973414,51.15025,342.9285,39553.46,"81B3347F-1D1B-33F1-E053-A03BA40A2BEA","4284A911-6CDA-4491-B3C4-2A1AEB216D9B","GU34","1AQ",51.14779,-0.9704591
"GU341AR",-0.975785,51.14842,191.7265,16712.69,"81B33360-D1F3-33F1-E053-A03BA40A2BEA","4A5A21F0-A938-42A1-BF88-617C8DA7E017","GU34","1AR",51.14772,-0.9782956
"GU341AS",-0.972618,51.1494,234.1785,39553.46,"81B3347F-1D1B-33F1-E053-A03BA40A2BEA","4284A911-6CDA-4491-B3C4-2A1AEB216D9B","GU34","1AS",51.14779,-0.9704591
"GU341AT",-0.975338,51.14861,228.6611,16712.69,"81B33360-D1F3-33F1-E053-A03BA40A2BEA","4A5A21F0-A938-42A1-BF88-617C8DA7E017","GU34","1AT",51.14772,-0.9782956
"GU341AU",-0.97556,51.1476,191.2682,16712.69,"81B33360-D1F3-33F1-E053-A03BA40A2BEA","4A5A21F0-A938-42A1-BF88-617C8DA7E017","GU34","1AU",51.14772,-0.9782956
"GU341AW",-0.975088,51.14888,258.3069,16712.69,"81B33360-D1F3-33F1-E053-A03BA40A2BEA","4A5A21F0-A938-42A1-BF88-617C8DA7E017","GU34","1AW",51.14772,-0.9782956
"GU341AX",-0.975042,51.14905,271.1179,16712.69,"81B33360-D1F3-33F1-E053-A03BA40A2BEA","4A5A21F0-A938-42A1-BF88-617C8DA7E017","GU34","1AX",51.14772,-0.9782956
