"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
2083,"GU97SJ","E01030895","9E8910A3-8D5D-2C71-E053-A03BA40A7146","Public Park Or Garden",1307571.15565001,316.29102,7,1499260,24.8923076923077,"300-600m",257.411625692308,832151.679116927,7.27692307692308,1484561.87692308,5552.98545300126,"GU9 7SJ","GU9","7SJ","GU97SJ"
2084,"GU97UE","E01030895","9E8910DF-21E5-2C71-E053-A03BA40A7146","Public Park Or Garden",25433.1823499992,155.9006,8,1513240,24.8923076923077,"Less than or equal to 300m",257.411625692308,832151.679116927,7.27692307692308,1484561.87692308,1677.81663693334,"GU9 7UE","GU9","7UE","GU97UE"
2085,"GU98DX","E01030894","9E8910DF-33A5-2C71-E053-A03BA40A7146","Playing Field",13980.5920499996,527.66846,3,42495,24.6666666666667,"300-600m",572.235775333333,11980.4682383333,2.83333333333333,169540.666666667,1923.08514944324,"GU9 8DX","GU9","8DX","GU98DX"
2086,"GU98RW","E01030889","9E8911BC-8877-2C71-E053-A03BA40A7146","Public Park Or Garden",135802.308299997,409.81094,7,213337,49.03125,"300-600m",295.256390625,80024.7489124987,7.4375,291508.59375,2141.64511200545,"GU9 8RW","GU9","8RW","GU98RW"
2087,"GU99DG","E01030902","9E8910DF-0DEA-2C71-E053-A03BA40A7146","Playing Field",29450.2976000025,210.46616,8,218813,34.4210526315789,"Less than or equal to 300m",133.168869157895,46036.8718973674,8.18421052631579,674516.052631579,481.401315789474,"GU9 9DG","GU9","9DG","GU99DG"
2088,"GU99FF","E01030902","9E8910DF-0D8F-2C71-E053-A03BA40A7146","Playing Field",59503.8978499978,156.92355,7,217027,34.4210526315789,"Less than or equal to 300m",133.168869157895,46036.8718973674,8.18421052631579,674516.052631579,1792.68979909451,"GU9 9FF","GU9","9FF","GU99FF"
7852,"GU90EB","E01030901","9E8910DF-00C3-2C71-E053-A03BA40A7146","Playing Field",17788.8377999989,629.0644,2,1325359,50.4074074074074,"600-900m",481.847171851852,208867.699703704,2.77777777777778,1327775.40740741,2903.90205436205,"GU9 0EB","GU9","0EB","GU90EB"
7853,"GU97TP","E01030895","9E8910DF-21E5-2C71-E053-A03BA40A7146","Public Park Or Garden",25433.1823499992,278.2373,8,1511224,24.8923076923077,"Less than or equal to 300m",257.411625692308,832151.679116927,7.27692307692308,1484561.87692308,1677.81663693334,"GU9 7TP","GU9","7TP","GU97TP"
7854,"GU98HH","E01030883","9E8910DF-394C-2C71-E053-A03BA40A7146","Playing Field",23330.3600000037,413.1404,4,57604,26.4363636363636,"300-600m",508.575370072727,18169.7358700018,3.25454545454545,57336.1818181818,2169.7724993092,"GU9 8HH","GU9","8HH","GU98HH"
7855,"GU98UN","E01030896","9E8910DF-2465-2C71-E053-A03BA40A7146","Playing Field",5864.01205000064,234.7701,5,182538,50.44,"Less than or equal to 300m",205.38678612,5753.64071400057,5.44,186140.52,2017.07112636114,"GU9 8UN","GU9","8UN","GU98UN"
12835,"GU90RX","E01030900","9E8910A3-8D5D-2C71-E053-A03BA40A7146","Public Park Or Garden",1307571.15565001,375.75656,2,1325359,30.0487804878049,"300-600m",388.835479195122,1307571.15565001,1.85365853658537,1322482.43902439,5552.98545300126,"GU9 0RX","GU9","0RX","GU90RX"
12836,"GU97JP","E01030895","9E8910A3-8D5D-2C71-E053-A03BA40A7146","Public Park Or Garden",1307571.15565001,270.37936,8,1511224,24.8923076923077,"Less than or equal to 300m",257.411625692308,832151.679116927,7.27692307692308,1484561.87692308,5552.98545300126,"GU9 7JP","GU9","7JP","GU97JP"
12837,"GU98NU","E01030887","9E8910DF-2782-2C71-E053-A03BA40A7146","Playing Field",19710.7165500014,304.6851,7,213337,45.1935483870968,"300-600m",208.237425129032,12603.6383612913,6.06451612903226,191356.516129032,2321.82549782807,"GU9 8NU","GU9","8NU","GU98NU"
12838,"GU99PS","E01030893","9E8910A3-8D5D-2C71-E053-A03BA40A7146","Public Park Or Garden",1307571.15565001,588.42163,5,1403789,42.2608695652174,"300-600m",357.659902695652,1081562.42924566,6.41304347826087,1314458.67391304,5552.98545300126,"GU9 9PS","GU9","9PS","GU99PS"
12839,"GU99QY","E01030893","9E8910A3-8D5D-2C71-E053-A03BA40A7146","Public Park Or Garden",1307571.15565001,325.96933,7,1455443,42.2608695652174,"300-600m",357.659902695652,1081562.42924566,6.41304347826087,1314458.67391304,5552.98545300126,"GU9 9QY","GU9","9QY","GU99QY"
17032,"GU90QD","E01030891","9E8910DF-00C3-2C71-E053-A03BA40A7146","Playing Field",17788.8377999989,270.23325,6,1412686,33.02,"Less than or equal to 300m",250.75374126,64183.6006389995,5.68,1404444.22,2903.90205436205,"GU9 0QD","GU9","0QD","GU90QD"
17033,"GU97EN","E01030885","9E8911BC-8877-2C71-E053-A03BA40A7146","Public Park Or Garden",135802.308299997,176.92088,8,1511224,19.039603960396,"Less than or equal to 300m",149.181497376238,368392.964758912,8.55445544554455,1517965.20792079,2141.64511200545,"GU9 7EN","GU9","7EN","GU97EN"
17034,"GU97EZ","E01030885","9E8910DF-1F23-2C71-E053-A03BA40A7146","Playing Field",11964.1848500007,184.25255,8,1511224,19.039603960396,"Less than or equal to 300m",149.181497376238,368392.964758912,8.55445544554455,1517965.20792079,1505.27045428589,"GU9 7EZ","GU9","7EZ","GU97EZ"
17035,"GU98RZ","E01030898","9E891040-41C8-2C71-E053-A03BA40A7146","Public Park Or Garden",3104.72864999882,532.7382,2,28908,32.12,"300-600m",860.7830616,22919.6573929998,1.62,36585.4,2805.09742234509,"GU9 8RZ","GU9","8RZ","GU98RZ"
26493,"GU97BZ","E01030886","9E8910DF-1F23-2C71-E053-A03BA40A7146","Playing Field",11964.1848500007,743.0343,3,154851,26.0612244897959,"600-900m",562.016267333333,53313.1095999996,3.86666666666667,806760.133333333,1505.27045428589,"GU9 7BZ","GU9","7BZ","GU97BZ"
28889,"GU90LU","E01030899","9E8910DF-00C3-2C71-E053-A03BA40A7146","Playing Field",17788.8377999989,177.58942,3,1327146,30.0576923076923,"Less than or equal to 300m",199.548263557692,786389.789360581,3.17307692307692,1338490,2903.90205436205,"GU9 0LU","GU9","0LU","GU90LU"
30994,"GU98TB","E01030897","9E891040-41C8-2C71-E053-A03BA40A7146","Public Park Or Garden",3104.72864999882,252.28555,3,34772,41.6060606060606,"Less than or equal to 300m",504.021072727273,5535.64891060547,3.84848484848485,92979.0909090909,2805.09742234509,"GU9 8TB","GU9","8TB","GU98TB"
34370,"GU99QX","E01030893","9E8910A3-8D5D-2C71-E053-A03BA40A7146","Public Park Or Garden",1307571.15565001,186.59314,7,1455443,42.2608695652174,"Less than or equal to 300m",357.659902695652,1081562.42924566,6.41304347826087,1314458.67391304,5552.98545300126,"GU9 9QX","GU9","9QX","GU99QX"
35739,"GU97BB","E01030884","9E8910DF-1F23-2C71-E053-A03BA40A7146","Playing Field",11964.1848500007,207.28,7,1508142,34.4565217391304,"Less than or equal to 300m",145.339134793478,63407.5183945645,7.02173913043478,1304869.19565217,1505.27045428589,"GU9 7BB","GU9","7BB","GU97BB"
37008,"GU97TJ","E01030895","9E8910DF-21E5-2C71-E053-A03BA40A7146","Public Park Or Garden",25433.1823499992,320.15622,7,1499260,24.8923076923077,"300-600m",257.411625692308,832151.679116927,7.27692307692308,1484561.87692308,1677.81663693334,"GU9 7TJ","GU9","7TJ","GU97TJ"
48382,"GU90EP","E01030901","9E8910DF-00C3-2C71-E053-A03BA40A7146","Playing Field",17788.8377999989,484.87628,3,1327146,50.4074074074074,"300-600m",481.847171851852,208867.699703704,2.77777777777778,1327775.40740741,2903.90205436205,"GU9 0EP","GU9","0EP","GU90EP"
48383,"GU97PG","E01030885","9E8911BC-8877-2C71-E053-A03BA40A7146","Public Park Or Garden",135802.308299997,156.11534,9,1525205,19.039603960396,"Less than or equal to 300m",149.181497376238,368392.964758912,8.55445544554455,1517965.20792079,2141.64511200545,"GU9 7PG","GU9","7PG","GU97PG"
48384,"GU98JL","E01030883","9E8910DF-2724-2C71-E053-A03BA40A7146","Public Park Or Garden",582.784000000667,329.38882,4,57604,26.4363636363636,"300-600m",508.575370072727,18169.7358700018,3.25454545454545,57336.1818181818,706.898020527859,"GU9 8JL","GU9","8JL","GU98JL"
48385,"GU99RQ","E01030893","9E8910A3-8D5D-2C71-E053-A03BA40A7146","Public Park Or Garden",1307571.15565001,435.82794,6,1430009,42.2608695652174,"300-600m",357.659902695652,1081562.42924566,6.41304347826087,1314458.67391304,5552.98545300126,"GU9 9RQ","GU9","9RQ","GU99RQ"
54096,"GU90DR","E01030900","9E8910A3-8D5D-2C71-E053-A03BA40A7146","Public Park Or Garden",1307571.15565001,162.00308,2,1325359,30.0487804878049,"Less than or equal to 300m",388.835479195122,1307571.15565001,1.85365853658537,1322482.43902439,5552.98545300126,"GU9 0DR","GU9","0DR","GU90DR"
54097,"GU98AF","E01030883","9E8910DF-2724-2C71-E053-A03BA40A7146","Public Park Or Garden",582.784000000667,297.7415,4,57604,26.4363636363636,"Less than or equal to 300m",508.575370072727,18169.7358700018,3.25454545454545,57336.1818181818,706.898020527859,"GU9 8AF","GU9","8AF","GU98AF"
