"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"HA01AA",-0.30348,51.54007,908.8556,14200.01,"81B33361-2625-33F1-E053-A03BA40A2BEA","3052457F-B754-4B0C-9091-08B270AA4F90","HA0","1AA",51.53552,-0.2925648
"HA01AB",-0.303116,51.53978,869.9027,14200.01,"81B33361-2625-33F1-E053-A03BA40A2BEA","3052457F-B754-4B0C-9091-08B270AA4F90","HA0","1AB",51.53552,-0.2925648
"HA01AD",-0.303425,51.54041,927.416,14200.01,"81B33361-2625-33F1-E053-A03BA40A2BEA","3052457F-B754-4B0C-9091-08B270AA4F90","HA0","1AD",51.53552,-0.2925648
"HA01AE",-0.305469,51.54088,1073.33,14200.01,"81B33361-2625-33F1-E053-A03BA40A2BEA","3052457F-B754-4B0C-9091-08B270AA4F90","HA0","1AE",51.53552,-0.2925648
"HA01AF",-0.30617,51.54258,1019.33,101444.9,"81B3338E-9F73-33F1-E053-A03BA40A2BEA","06F55FD0-513A-445F-9B73-C71810731641","HA0","1AF",51.55173,-0.3072041
"HA01AG",-0.305658,51.54086,1082.759,14200.01,"81B33361-2625-33F1-E053-A03BA40A2BEA","3052457F-B754-4B0C-9091-08B270AA4F90","HA0","1AG",51.53552,-0.2925648
"HA01AH",-0.305495,51.54291,987.0032,101444.9,"81B3338E-9F73-33F1-E053-A03BA40A2BEA","06F55FD0-513A-445F-9B73-C71810731641","HA0","1AH",51.55173,-0.3072041
"HA01AJ",-0.303211,51.54165,1003.54,14200.01,"81B33361-2625-33F1-E053-A03BA40A2BEA","3052457F-B754-4B0C-9091-08B270AA4F90","HA0","1AJ",51.53552,-0.2925648
"HA01AL",-0.312886,51.54778,498.367,101444.9,"81B3338E-9F73-33F1-E053-A03BA40A2BEA","773E3A28-0807-4A95-91B5-011715B313D8","HA0","1AL",51.55205,-0.3107141
"HA01AN",-0.302195,51.54027,850.0666,14200.01,"81B33361-2625-33F1-E053-A03BA40A2BEA","3052457F-B754-4B0C-9091-08B270AA4F90","HA0","1AN",51.53552,-0.2925648
"HA01AP",-0.304825,51.54308,974.9786,101444.9,"81B3338E-9F73-33F1-E053-A03BA40A2BEA","06F55FD0-513A-445F-9B73-C71810731641","HA0","1AP",51.55173,-0.3072041
"HA01AQ",-0.30365,51.54134,1003.449,14200.01,"81B33361-2625-33F1-E053-A03BA40A2BEA","3052457F-B754-4B0C-9091-08B270AA4F90","HA0","1AQ",51.53552,-0.2925648
"HA01AR",-0.306392,51.54515,733.6449,101444.9,"81B3338E-9F73-33F1-E053-A03BA40A2BEA","06F55FD0-513A-445F-9B73-C71810731641","HA0","1AR",51.55173,-0.3072041
"HA01AS",-0.308297,51.54667,567.5299,101444.9,"81B3338E-9F73-33F1-E053-A03BA40A2BEA","06F55FD0-513A-445F-9B73-C71810731641","HA0","1AS",51.55173,-0.3072041
"HA01AT",-0.310599,51.54761,493.8367,101444.9,"81B3338E-9F73-33F1-E053-A03BA40A2BEA","773E3A28-0807-4A95-91B5-011715B313D8","HA0","1AT",51.55205,-0.3107141
