"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
2104,"HA51HB","E01002193","9E89108F-5B8B-2C71-E053-A03BA40A7146","Public Park Or Garden",47551.8627500033,294.95932,8,214323,53.8918918918919,"Less than or equal to 300m",173.598856162162,62588.5945878392,8.13513513513514,189938.432432432,2332.22362275688,"HA5 1HB","HA5","1HB","HA51HB"
2105,"HA52BQ","E01002192","9E8911C0-7C76-2C71-E053-A03BA40A7146","Public Park Or Garden",23620.1132499989,173.00288,9,259660,39.375,"Less than or equal to 300m",125.446741875,29991.7619687518,7.775,228636.25,2066.56677018633,"HA5 2BQ","HA5","2BQ","HA52BQ"
2106,"HA53NS","E01002192","9E89108F-5710-2C71-E053-A03BA40A7146","Playing Field",11929.8215000021,100.88112,7,230632,39.375,"Less than or equal to 300m",125.446741875,29991.7619687518,7.775,228636.25,993.728658536585,"HA5 3NS","HA5","3NS","HA53NS"
2107,"HA54NU","E01002150","9E89108F-2CD3-2C71-E053-A03BA40A7146","Playing Field",41747.0462500061,382.40424,5,201354,31.2786885245902,"300-600m",344.615871311476,38381.0559204958,4.83606557377049,201702.868852459,5016.90055489432,"HA5 4NU","HA5","4NU","HA54NU"
2108,"HA54UR","E01002147","9E89103B-CAFB-2C71-E053-A03BA40A7146","Playing Field",40223.7335000015,295.84625,6,224825,29.1777777777778,"Less than or equal to 300m",214.242822577778,40223.7335000015,5.17777777777778,191720.688888889,1767.73142076503,"HA5 4UR","HA5","4UR","HA54UR"
7879,"HA51UA","E01002196","9E89108F-711C-2C71-E053-A03BA40A7146","Playing Field",43823.339749998,142.22517,5,353149,58.3448275862069,"Less than or equal to 300m",126.179427931034,52607.6306810321,4.79310344827586,340689.344827586,4010.02099946232,"HA5 1UA","HA5","1UA","HA51UA"
7880,"HA53SR","E01002185","9E89108F-4F22-2C71-E053-A03BA40A7146","Playing Field",64436.1237000032,268.7936,5,201213,51.6363636363636,"Less than or equal to 300m",254.209750606061,64436.1237000032,4.51515151515152,160330.575757576,6905.47539808179,"HA5 3SR","HA5","3SR","HA53SR"
7881,"HA54HR","E01002150","9E89108F-2CD3-2C71-E053-A03BA40A7146","Playing Field",41747.0462500061,236.32605,4,175222,31.2786885245902,"Less than or equal to 300m",344.615871311476,38381.0559204958,4.83606557377049,201702.868852459,5016.90055489432,"HA5 4HR","HA5","4HR","HA54HR"
7882,"HA55AA","E01002208","9E89107F-4794-2C71-E053-A03BA40A7146","Public Park Or Garden",160058.645449992,105.75916,7,468151,37.8235294117647,"Less than or equal to 300m",365.768109029412,83796.4162470556,6.23529411764706,325707.617647059,6415.06075289884,"HA5 5AA","HA5","5AA","HA55AA"
12858,"HA52NJ","E01002481","9E89108F-4915-2C71-E053-A03BA40A7146","Playing Field",6721.3407500001,316.00632,5,125466,47.1428571428571,"300-600m",228.056421885714,38355.3533585668,5.62857142857143,166777.371428571,1524.01587301587,"HA5 2NJ","HA5","2NJ","HA52NJ"
12859,"HA53AY","E01002188","9E89103E-42E4-2C71-E053-A03BA40A7146","Public Park Or Garden",15567.6325,693.8422,4,91062,36.7272727272727,"600-900m",418.039328863636,14750.3938113637,5.97727272727273,178563.295454545,2041.31587057011,"HA5 3AY","HA5","3AY","HA53AY"
12860,"HA53SE","E01002185","9E89108F-4F22-2C71-E053-A03BA40A7146","Playing Field",64436.1237000032,132.77425,4,115553,51.6363636363636,"Less than or equal to 300m",254.209750606061,64436.1237000032,4.51515151515152,160330.575757576,6905.47539808179,"HA5 3SE","HA5","3SE","HA53SE"
12861,"HA54UD","E01002149","9E89108F-2CD3-2C71-E053-A03BA40A7146","Playing Field",41747.0462500061,477.61072,3,121750,40.84375,"300-600m",319.4602621875,44583.1809312557,2.21875,100607.9375,5016.90055489432,"HA5 4UD","HA5","4UD","HA54UD"
17050,"HA52DA","E01002480","9E8911C0-7C76-2C71-E053-A03BA40A7146","Public Park Or Garden",23620.1132499989,416.36163,8,287491,37.695652173913,"300-600m",244.918475717391,29490.1102641289,7.28260869565217,238686.391304348,2066.56677018633,"HA5 2DA","HA5","2DA","HA52DA"
17051,"HA52NF","E01002479","9E89108F-4915-2C71-E053-A03BA40A7146","Playing Field",6721.3407500001,113.08846,6,211126,47.6944444444444,"Less than or equal to 300m",264.853878166667,24263.232538888,3.75,149390.472222222,1524.01587301587,"HA5 2NF","HA5","2NF","HA52NF"
17052,"HA54EW","E01002150","9E89103B-CAFB-2C71-E053-A03BA40A7146","Playing Field",40223.7335000015,358.62097,5,201354,31.2786885245902,"300-600m",344.615871311476,38381.0559204958,4.83606557377049,201702.868852459,1767.73142076503,"HA5 4EW","HA5","4EW","HA54EW"
20699,"HA51EG","E01002194","9E89108F-711C-2C71-E053-A03BA40A7146","Playing Field",43823.339749998,412.84622,7,210019,38.3695652173913,"300-600m",289.382960521739,46586.0602891318,7.73913043478261,260369.282608696,4010.02099946232,"HA5 1EG","HA5","1EG","HA51EG"
20700,"HA52SR","E01002437","9E8910A8-CF62-2C71-E053-A03BA40A7146","Public Park Or Garden",35618.8572500054,482.8685,6,210120,38.8333333333333,"300-600m",364.639373611111,36670.0825416697,7,273807.861111111,3229.65479641132,"HA5 2SR","HA5","2SR","HA52SR"
20701,"HA53HF","E01002188","9E89103E-42E4-2C71-E053-A03BA40A7146","Public Park Or Garden",15567.6325,269.09106,5,140915,36.7272727272727,"Less than or equal to 300m",418.039328863636,14750.3938113637,5.97727272727273,178563.295454545,2041.31587057011,"HA5 3HF","HA5","3HF","HA53HF"
20702,"HA54NA","E01002150","9E89108F-2CD3-2C71-E053-A03BA40A7146","Playing Field",41747.0462500061,389.30707,4,175222,31.2786885245902,"300-600m",344.615871311476,38381.0559204958,4.83606557377049,201702.868852459,5016.90055489432,"HA5 4NA","HA5","4NA","HA54NA"
