"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"HG20AA",-1.554944,53.98373,396.4194,238953.9,"81B333A4-A61C-33F1-E053-A03BA40A2BEA","D8DCACC7-6B69-4E1A-9D4C-23314B13A4A8","HG2","0AA",53.98709,-1.556981
"HG20AB",-1.556208,53.98393,324.4494,238953.9,"81B333A4-A61C-33F1-E053-A03BA40A2BEA","55D2084F-4673-486C-96C7-4A0022D2D3C1","HG2","0AB",53.98611,-1.559508
"HG20AD",-1.557142,53.98494,202.0696,238953.9,"81B333A4-A61C-33F1-E053-A03BA40A2BEA","55D2084F-4673-486C-96C7-4A0022D2D3C1","HG2","0AD",53.98611,-1.559508
"HG20AE",-1.560103,53.98331,314.0968,238953.9,"81B333A4-A61C-33F1-E053-A03BA40A2BEA","55D2084F-4673-486C-96C7-4A0022D2D3C1","HG2","0AE",53.98611,-1.559508
"HG20AF",-1.555606,53.98175,548.3434,238953.9,"81B333A4-A61C-33F1-E053-A03BA40A2BEA","55D2084F-4673-486C-96C7-4A0022D2D3C1","HG2","0AF",53.98611,-1.559508
"HG20AG",-1.558352,53.98155,512.8751,238953.9,"81B333A4-A61C-33F1-E053-A03BA40A2BEA","55D2084F-4673-486C-96C7-4A0022D2D3C1","HG2","0AG",53.98611,-1.559508
"HG20AH",-1.556452,53.98107,595.5091,238953.9,"81B333A4-A61C-33F1-E053-A03BA40A2BEA","55D2084F-4673-486C-96C7-4A0022D2D3C1","HG2","0AH",53.98611,-1.559508
"HG20AJ",-1.555314,53.9805,682.0365,238953.9,"81B333A4-A61C-33F1-E053-A03BA40A2BEA","55D2084F-4673-486C-96C7-4A0022D2D3C1","HG2","0AJ",53.98611,-1.559508
"HG20AL",-1.554763,53.97924,825.1355,238953.9,"81B333A4-A61C-33F1-E053-A03BA40A2BEA","55D2084F-4673-486C-96C7-4A0022D2D3C1","HG2","0AL",53.98611,-1.559508
"HG20AN",-1.555399,53.97965,766.9269,238953.9,"81B333A4-A61C-33F1-E053-A03BA40A2BEA","55D2084F-4673-486C-96C7-4A0022D2D3C1","HG2","0AN",53.98611,-1.559508
"HG20AP",-1.557239,53.98015,679.0213,238953.9,"81B333A4-A61C-33F1-E053-A03BA40A2BEA","55D2084F-4673-486C-96C7-4A0022D2D3C1","HG2","0AP",53.98611,-1.559508
"HG20AQ",-1.557489,53.98103,580.7456,238953.9,"81B333A4-A61C-33F1-E053-A03BA40A2BEA","55D2084F-4673-486C-96C7-4A0022D2D3C1","HG2","0AQ",53.98611,-1.559508
"HG20AR",-1.557552,53.97936,761.2787,238953.9,"81B333A4-A61C-33F1-E053-A03BA40A2BEA","55D2084F-4673-486C-96C7-4A0022D2D3C1","HG2","0AR",53.98611,-1.559508
"HG20AS",-1.555321,53.9784,899.9717,238953.9,"81B333A4-A61C-33F1-E053-A03BA40A2BEA","55D2084F-4673-486C-96C7-4A0022D2D3C1","HG2","0AS",53.98611,-1.559508
"HG20AT",-1.558512,53.98091,581.762,238953.9,"81B333A4-A61C-33F1-E053-A03BA40A2BEA","55D2084F-4673-486C-96C7-4A0022D2D3C1","HG2","0AT",53.98611,-1.559508
"HG20AU",-1.559115,53.98013,666.3327,238953.9,"81B333A4-A61C-33F1-E053-A03BA40A2BEA","55D2084F-4673-486C-96C7-4A0022D2D3C1","HG2","0AU",53.98611,-1.559508
"HG20AW",-1.556299,53.97961,752.8268,238953.9,"81B333A4-A61C-33F1-E053-A03BA40A2BEA","55D2084F-4673-486C-96C7-4A0022D2D3C1","HG2","0AW",53.98611,-1.559508
