"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
2159,"HG50ET","E01027673","9E8910E7-3836-2C71-E053-A03BA40A7146","Public Park Or Garden",26018.3645499993,154.69324,8,263893,20.7241379310345,"Less than or equal to 300m",148.818720804598,23639.4256603444,6.44827586206897,158794.149425287,2215.28142048379,"HG5 0ET","HG5","0ET","HG50ET"
2160,"HG50LQ","E01027676","9E8910E7-3830-2C71-E053-A03BA40A7146","Playing Field",17279.2448499962,74.84651,9,299215,56.3548387096774,"Less than or equal to 300m",174.685366774193,24005.6886983833,7.83870967741935,277210.387096774,2146.0470793374,"HG5 0LQ","HG5","0LQ","HG50LQ"
2161,"HG50LT","E01027674","9E89109F-F508-2C71-E053-A03BA40A7146","Public Park Or Garden",121539.124499996,356.8543,6,203208,37.6,"300-600m",757.612935142857,90877.6554585684,2.51428571428571,134042.228571429,2842.81238012205,"HG5 0LT","HG5","0LT","HG50LT"
2162,"HG50PL","E01027676","9E8910E7-3830-2C71-E053-A03BA40A7146","Playing Field",17279.2448499962,302.42355,7,257279,56.3548387096774,"300-600m",174.685366774193,24005.6886983833,7.83870967741935,277210.387096774,2146.0470793374,"HG5 0PL","HG5","0PL","HG50PL"
2163,"HG50TJ","E01027669","9E89109F-FBAC-2C71-E053-A03BA40A7146","Playing Field",15917.9925000003,73.97973,10,212693,28.6268656716418,"Less than or equal to 300m",215.700183955224,21108.9467358214,8.23880597014925,258225.805970149,962.441138525301,"HG5 0TJ","HG5","0TJ","HG50TJ"
2164,"HG50WB","E01027676","9E8910E7-3830-2C71-E053-A03BA40A7146","Playing Field",17279.2448499962,155.80116,7,271340,56.3548387096774,"Less than or equal to 300m",174.685366774193,24005.6886983833,7.83870967741935,277210.387096774,2146.0470793374,"HG5 0WB","HG5","0WB","HG50WB"
2165,"HG58LF","E01027671","9E89109F-FDCD-2C71-E053-A03BA40A7146","Playing Field",16943.8837500045,16.124516,6,133500,35.093023255814,"Less than or equal to 300m",296.364237883721,15864.2328825612,5.37209302325581,104061.674418605,1736.85686798147,"HG5 8LF","HG5","8LF","HG58LF"
2166,"HG59EJ","E01027675","9E89109F-F508-2C71-E053-A03BA40A7146","Public Park Or Garden",121539.124499996,75.70998,4,161271,36.5540540540541,"Less than or equal to 300m",235.551382621622,85891.113735132,4.83783783783784,192239.108108108,2842.81238012205,"HG5 9EJ","HG5","9EJ","HG59EJ"
7937,"HG50NW","E01027675","9E89109F-F508-2C71-E053-A03BA40A7146","Public Park Or Garden",121539.124499996,345.0058,7,257279,36.5540540540541,"300-600m",235.551382621622,85891.113735132,4.83783783783784,192239.108108108,2842.81238012205,"HG5 0NW","HG5","0NW","HG50NW"
7938,"HG58BA","E01027673","9E8910E7-3836-2C71-E053-A03BA40A7146","Public Park Or Garden",26018.3645499993,33.37664,7,120109,20.7241379310345,"Less than or equal to 300m",148.818720804598,23639.4256603444,6.44827586206897,158794.149425287,2215.28142048379,"HG5 8BA","HG5","8BA","HG58BA"
12899,"HG50JL","E01027669","9E89109F-F903-2C71-E053-A03BA40A7146","Public Park Or Garden",20596.8242500014,267.82455,8,283459,28.6268656716418,"Less than or equal to 300m",215.700183955224,21108.9467358214,8.23880597014925,258225.805970149,1627.59845931632,"HG5 0JL","HG5","0JL","HG50JL"
