"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"HP220AA",-0.729302,51.80376,4927.947,1942.193,"81B332FB-8F80-33F1-E053-A03BA40A2BEA","422E3332-B426-4AC4-8499-7D5F31CA1C24","HP22","0AA",51.79049,-0.6609285
"HP220AB",-0.730068,51.80386,4981.468,1942.193,"81B332FB-8F80-33F1-E053-A03BA40A2BEA","422E3332-B426-4AC4-8499-7D5F31CA1C24","HP22","0AB",51.79049,-0.6609285
"HP220AD",-0.730951,51.80392,5041.524,1942.193,"81B332FB-8F80-33F1-E053-A03BA40A2BEA","422E3332-B426-4AC4-8499-7D5F31CA1C24","HP22","0AD",51.79049,-0.6609285
"HP220AE",-0.730559,51.80446,5034.129,1942.193,"81B332FB-8F80-33F1-E053-A03BA40A2BEA","422E3332-B426-4AC4-8499-7D5F31CA1C24","HP22","0AE",51.79049,-0.6609285
"HP220AF",-0.729956,51.80423,4986.75,1942.193,"81B332FB-8F80-33F1-E053-A03BA40A2BEA","422E3332-B426-4AC4-8499-7D5F31CA1C24","HP22","0AF",51.79049,-0.6609285
"HP220AG",-0.728924,51.80432,4922.287,1942.193,"81B332FB-8F80-33F1-E053-A03BA40A2BEA","422E3332-B426-4AC4-8499-7D5F31CA1C24","HP22","0AG",51.79049,-0.6609285
"HP220AJ",-0.740438,51.80021,5573.713,1942.193,"81B332FB-8F80-33F1-E053-A03BA40A2BEA","422E3332-B426-4AC4-8499-7D5F31CA1C24","HP22","0AJ",51.79049,-0.6609285
"HP220AL",-0.742412,51.79965,5658.216,15447.74,"81B33480-ED30-33F1-E053-A03BA40A2BEA","6B3B8A98-9FD4-486A-985F-54033C431558","HP22","0AL",51.8184,-0.818918
"HP220AN",-0.733486,51.803,5180.051,1942.193,"81B332FB-8F80-33F1-E053-A03BA40A2BEA","422E3332-B426-4AC4-8499-7D5F31CA1C24","HP22","0AN",51.79049,-0.6609285
"HP220AP",-0.733014,51.80329,5157.616,1942.193,"81B332FB-8F80-33F1-E053-A03BA40A2BEA","422E3332-B426-4AC4-8499-7D5F31CA1C24","HP22","0AP",51.79049,-0.6609285
