"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
2198,"HP279AN","E01017930","9E8910BC-011E-2C71-E053-A03BA40A7146","Playing Field",20389.5998999979,377.4043,4,72785,16.77,"300-600m",432.53798998,17896.2705535018,2.77,42830.67,2532.83360505166,"HP27 9AN","HP27","9AN","HP279AN"
7968,"HP279HU","E01017933","9E8910BC-011E-2C71-E053-A03BA40A7146","Playing Field",20389.5998999979,205.44829,4,70613,21.0909090909091,"Less than or equal to 300m",172.245855493506,18334.1200214263,3.90909090909091,68228.5584415584,2532.83360505166,"HP27 9HU","HP27","9HU","HP279HU"
28930,"HP270HX","E01017929","9E8910BC-0A40-2C71-E053-A03BA40A7146","Playing Field",18983.8781499983,215.23244,4,70613,24.3283582089552,"Less than or equal to 300m",247.893133268657,19969.9814671622,3.95522388059702,70136.9402985075,1387.72101033295,"HP27 0HX","HP27","0HX","HP270HX"
32831,"HP279JN","E01017932","9E8910E7-43E6-2C71-E053-A03BA40A7146","Playing Field",15700.3506499967,190.192,4,66687,17.5747126436782,"Less than or equal to 300m",253.946098785714,15078.6404130939,3.91666666666667,62844.5595238095,1022.86206896552,"HP27 9JN","HP27","9JN","HP279JN"
38993,"HP270JX","E01017933","9E891046-0622-2C71-E053-A03BA40A7146","Public Park Or Garden",15540.044949998,51.264023,4,70613,21.0909090909091,"Less than or equal to 300m",172.245855493506,18334.1200214263,3.90909090909091,68228.5584415584,587.022988505747,"HP27 0JX","HP27","0JX","HP270JX"
39849,"HP279BJ","E01017930","9E8910BC-0759-2C71-E053-A03BA40A7146","Playing Field",17872.1570500033,639.5569,3,47724,16.77,"600-900m",432.53798998,17896.2705535018,2.77,42830.67,1808.91758319694,"HP27 9BJ","HP27","9BJ","HP279BJ"
39850,"HP279DA","E01017930","9E8910BC-0759-2C71-E053-A03BA40A7146","Playing Field",17872.1570500033,468.30972,2,27335,16.77,"300-600m",432.53798998,17896.2705535018,2.77,42830.67,1808.91758319694,"HP27 9DA","HP27","9DA","HP279DA"
45137,"HP279FU","E01017930","9E8910BC-0759-2C71-E053-A03BA40A7146","Playing Field",17872.1570500033,195.4789,2,27335,16.77,"Less than or equal to 300m",432.53798998,17896.2705535018,2.77,42830.67,1808.91758319694,"HP27 9FU","HP27","9FU","HP279FU"
48492,"HP270JT","E01017933","9E8910E7-43E6-2C71-E053-A03BA40A7146","Playing Field",15700.3506499967,118.11858,6,98820,21.0909090909091,"Less than or equal to 300m",172.245855493506,18334.1200214263,3.90909090909091,68228.5584415584,1022.86206896552,"HP27 0JT","HP27","0JT","HP270JT"
48493,"HP270LH","E01017932","9E891046-0622-2C71-E053-A03BA40A7146","Public Park Or Garden",15540.044949998,586.9046,4,63373,17.5747126436782,"300-600m",253.946098785714,15078.6404130939,3.91666666666667,62844.5595238095,587.022988505747,"HP27 0LH","HP27","0LH","HP270LH"
54199,"HP279HW","E01017933","9E8910BC-011E-2C71-E053-A03BA40A7146","Playing Field",20389.5998999979,44.28318,4,70613,21.0909090909091,"Less than or equal to 300m",172.245855493506,18334.1200214263,3.90909090909091,68228.5584415584,2532.83360505166,"HP27 9HW","HP27","9HW","HP279HW"
58928,"HP270AD","E01017931","9E8910BC-0A40-2C71-E053-A03BA40A7146","Playing Field",18983.8781499983,423.28833,3,54913,27.3076923076923,"300-600m",430.395886269231,18771.3218134613,3.36538461538462,58421.8076923077,1387.72101033295,"HP27 0AD","HP27","0AD","HP270AD"
58929,"HP270BT","E01017931","9E8910BC-0A40-2C71-E053-A03BA40A7146","Playing Field",18983.8781499983,292.77466,3,54913,27.3076923076923,"Less than or equal to 300m",430.395886269231,18771.3218134613,3.36538461538462,58421.8076923077,1387.72101033295,"HP27 0BT","HP27","0BT","HP270BT"
69806,"HP270EB","E01017930","9E8910BC-011E-2C71-E053-A03BA40A7146","Playing Field",20389.5998999979,564.4856,5,82248,16.77,"300-600m",432.53798998,17896.2705535018,2.77,42830.67,2532.83360505166,"HP27 0EB","HP27","0EB","HP270EB"
72494,"HP270BY","E01017929","9E8910BC-011E-2C71-E053-A03BA40A7146","Playing Field",20389.5998999979,459.3354,4,72785,24.3283582089552,"300-600m",247.893133268657,19969.9814671622,3.95522388059702,70136.9402985075,2532.83360505166,"HP27 0BY","HP27","0BY","HP270BY"
72495,"HP270UT","E01017888","9E891092-E514-2C71-E053-A03BA40A7146","Playing Field",12352.0093500014,148.9765,1,12352,14.5727272727273,"Less than or equal to 300m",257.48493262963,13369.3022712976,1,13369.2222222222,959.206493506494,"HP27 0UT","HP27","0UT","HP270UT"
72496,"HP279JX","E01017932","9E8910E7-43E6-2C71-E053-A03BA40A7146","Playing Field",15700.3506499967,59,5,85671,17.5747126436782,"Less than or equal to 300m",253.946098785714,15078.6404130939,3.91666666666667,62844.5595238095,1022.86206896552,"HP27 9JX","HP27","9JX","HP279JX"
80281,"HP270DU","E01017931","9E8910BC-0A40-2C71-E053-A03BA40A7146","Playing Field",18983.8781499983,652.76794,4,66708,27.3076923076923,"600-900m",430.395886269231,18771.3218134613,3.36538461538462,58421.8076923077,1387.72101033295,"HP27 0DU","HP27","0DU","HP270DU"
80282,"HP279SG","E01017885","9E8910BB-FE7B-2C71-E053-A03BA40A7146","Playing Field",21451.2531999966,59.03389,1,21451,13.3559322033898,"Less than or equal to 300m",629.916040047619,20757.7739095208,1.01904761904762,21097.9523809524,1215.38983050847,"HP27 9SG","HP27","9SG","HP279SG"
82918,"HP270DW","E01017931","9E8910BC-0759-2C71-E053-A03BA40A7146","Playing Field",17872.1570500033,664.3832,4,66708,27.3076923076923,"600-900m",430.395886269231,18771.3218134613,3.36538461538462,58421.8076923077,1808.91758319694,"HP27 0DW","HP27","0DW","HP270DW"
84950,"HP279JB","E01017932","9E891046-0622-2C71-E053-A03BA40A7146","Public Park Or Garden",15540.044949998,122.06556,4,70613,17.5747126436782,"Less than or equal to 300m",253.946098785714,15078.6404130939,3.91666666666667,62844.5595238095,587.022988505747,"HP27 9JB","HP27","9JB","HP279JB"
