"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
2215,"HR95JG","E01014062","9E891085-A1FA-2C71-E053-A03BA40A7146","Public Park Or Garden",4807.75785000128,212.8685,7,115050,24.8428571428571,"Less than or equal to 300m",429.5930044,7584.4738121436,6.48571428571429,106784.428571429,2506.98299018055,"HR9 5JG","HR9","5JG","HR95JG"
2216,"HR97JU","E01014064","9E89103E-40C6-2C71-E053-A03BA40A7146","Public Park Or Garden",23435.3505499985,205.50668,8,154116,43.7948717948718,"Less than or equal to 300m",410.922437948718,25439.2667999979,6.38461538461538,121306.205128205,2860.7440556299,"HR9 7JU","HR9","7JU","HR97JU"
7980,"HR95BU","E01014062","9E891085-A1FA-2C71-E053-A03BA40A7146","Public Park Or Garden",4807.75785000128,263.76126,8,154116,24.8428571428571,"Less than or equal to 300m",429.5930044,7584.4738121436,6.48571428571429,106784.428571429,2506.98299018055,"HR9 5BU","HR9","5BU","HR95BU"
12934,"HR95BS","E01014062","9E891085-A1FA-2C71-E053-A03BA40A7146","Public Park Or Garden",4807.75785000128,232.0194,8,154116,24.8428571428571,"Less than or equal to 300m",429.5930044,7584.4738121436,6.48571428571429,106784.428571429,2506.98299018055,"HR9 5BS","HR9","5BS","HR95BS"
12935,"HR95NJ","E01014061","9E891085-A1FA-2C71-E053-A03BA40A7146","Public Park Or Garden",4807.75785000128,626.5054,6,83171,28.2424242424242,"600-900m",1033.73291409091,18801.4893560595,2.06060606060606,37051.5303030303,2506.98299018055,"HR9 5NJ","HR9","5NJ","HR95NJ"
20772,"HR95AT","E01014063","9E891085-A009-2C71-E053-A03BA40A7146","Playing Field",13877.6329999983,134.20134,9,137962,45.9024390243902,"Less than or equal to 300m",319.556158390244,11254.0085012188,6.21951219512195,93620.2682926829,1090.97452501479,"HR9 5AT","HR9","5AT","HR95AT"
20773,"HR96BQ","E01014049","9E89103E-40C5-2C71-E053-A03BA40A7146","Public Park Or Garden",25042.2740000012,333.44415,6,135430,25.0298507462687,"300-600m",751.116873478261,22404.8212456522,3.73913043478261,82383.2173913044,375.44776119403,"HR9 6BQ","HR9","6BQ","HR96BQ"
32836,"HR97JT","E01014065","9E8911C2-7E08-2C71-E053-A03BA40A7146","Playing Field",39065.8972999941,190.68823,2,62501,48.3125,"Less than or equal to 300m",302.8836805,37112.0789562447,3.96875,87431.40625,1959.67705289114,"HR9 7JT","HR9","7JT","HR97JT"
43831,"HR97FZ","E01014057","9E891085-DE54-2C71-E053-A03BA40A7146","Playing Field",19094.0651500019,327.94055,1,19094,23.8767123287671,"300-600m",722.904379591837,16496.356618369,1.26530612244898,19911.5306122449,823.889256434205,"HR9 7FZ","HR9","7FZ","HR97FZ"
48523,"HR95UU","E01014067","9E89103D-A3D0-2C71-E053-A03BA40A7146","Playing Field",10213.6255499971,280.0018,9,137962,48.0666666666667,"Less than or equal to 300m",176.6717714,10793.4422933309,7.53333333333333,125433.066666667,1285.09148596639,"HR9 5UU","HR9","5UU","HR95UU"
48524,"HR97BA","E01014061","9E89103E-40C6-2C71-E053-A03BA40A7146","Public Park Or Garden",23435.3505499985,688.5848,3,63372,28.2424242424242,"600-900m",1033.73291409091,18801.4893560595,2.06060606060606,37051.5303030303,2860.7440556299,"HR9 7BA","HR9","7BA","HR97BA"
48525,"HR97YB","E01014062","9E89103E-40C6-2C71-E053-A03BA40A7146","Public Park Or Garden",23435.3505499985,335.9598,8,154116,24.8428571428571,"300-600m",429.5930044,7584.4738121436,6.48571428571429,106784.428571429,2860.7440556299,"HR9 7YB","HR9","7YB","HR97YB"
54218,"HR95GD","E01014062","9E891085-A1FA-2C71-E053-A03BA40A7146","Public Park Or Garden",4807.75785000128,364.276,7,115050,24.8428571428571,"300-600m",429.5930044,7584.4738121436,6.48571428571429,106784.428571429,2506.98299018055,"HR9 5GD","HR9","5GD","HR95GD"
54219,"HR95UW","E01014067","9E89103D-A3D0-2C71-E053-A03BA40A7146","Playing Field",10213.6255499971,344.88983,9,137962,48.0666666666667,"300-600m",176.6717714,10793.4422933309,7.53333333333333,125433.066666667,1285.09148596639,"HR9 5UW","HR9","5UW","HR95UW"
58947,"HR97FG","E01014057","9E8911BB-5E0B-2C71-E053-A03BA40A7146","Playing Field",12014.9808500016,514.95435,2,25044,23.8767123287671,"300-600m",722.904379591837,16496.356618369,1.26530612244898,19911.5306122449,695.661277476903,"HR9 7FG","HR9","7FG","HR97FG"
66738,"HR95PN","E01014066","9E891085-A009-2C71-E053-A03BA40A7146","Playing Field",13877.6329999983,291.03436,9,137962,22.0754716981132,"Less than or equal to 300m",171.540543283019,12012.3855424516,8.50943396226415,147238.358490566,1090.97452501479,"HR9 5PN","HR9","5PN","HR95PN"
72503,"HR97HW","E01014065","9E8911C2-7E08-2C71-E053-A03BA40A7146","Playing Field",39065.8972999941,97.867256,4,88415,48.3125,"Less than or equal to 300m",302.8836805,37112.0789562447,3.96875,87431.40625,1959.67705289114,"HR9 7HW","HR9","7HW","HR97HW"
82924,"HR95BZ","E01014066","9E891085-A009-2C71-E053-A03BA40A7146","Playing Field",13877.6329999983,182.98088,8,154116,22.0754716981132,"Less than or equal to 300m",171.540543283019,12012.3855424516,8.50943396226415,147238.358490566,1090.97452501479,"HR9 5BZ","HR9","5BZ","HR95BZ"
84955,"HR97FB","E01022267","9E8911BB-5E0B-2C71-E053-A03BA40A7146","Playing Field",12014.9808500016,988.4796,1,12014,19.6279069767442,"900-1800m",733.89874125,22707.9446359407,1.1875,27360.265625,695.661277476903,"HR9 7FB","HR9","7FB","HR97FB"
85861,"HR95PZ","E01014063","9E8911C1-1CBE-2C71-E053-A03BA40A7146","Playing Field",12698.5544499989,202.14104,3,36789,45.9024390243902,"Less than or equal to 300m",319.556158390244,11254.0085012188,6.21951219512195,93620.2682926829,1554.02703515996,"HR9 5PZ","HR9","5PZ","HR95PZ"
91960,"HR97NU","E01014057","9E891085-DE54-2C71-E053-A03BA40A7146","Playing Field",19094.0651500019,375.82574,1,19094,23.8767123287671,"300-600m",722.904379591837,16496.356618369,1.26530612244898,19911.5306122449,823.889256434205,"HR9 7NU","HR9","7NU","HR97NU"
92381,"HR97HF","E01014057","9E891085-DE54-2C71-E053-A03BA40A7146","Playing Field",19094.0651500019,114.03947,1,19094,23.8767123287671,"Less than or equal to 300m",722.904379591837,16496.356618369,1.26530612244898,19911.5306122449,823.889256434205,"HR9 7HF","HR9","7HF","HR97HF"
94810,"HR95AJ","E01014062","9E891085-A1FA-2C71-E053-A03BA40A7146","Public Park Or Garden",4807.75785000128,114.58621,8,125263,24.8428571428571,"Less than or equal to 300m",429.5930044,7584.4738121436,6.48571428571429,106784.428571429,2506.98299018055,"HR9 5AJ","HR9","5AJ","HR95AJ"
94811,"HR95BG","E01014066","9E89103D-A3D0-2C71-E053-A03BA40A7146","Playing Field",10213.6255499971,217.09215,9,137962,22.0754716981132,"Less than or equal to 300m",171.540543283019,12012.3855424516,8.50943396226415,147238.358490566,1285.09148596639,"HR9 5BG","HR9","5BG","HR95BG"
