"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
2229,"HU31PE","E01012852","9E89107C-5C95-2C71-E053-A03BA40A7146","Public Park Or Garden",3934.40229999905,84.38009,6,251973,40.6363636363636,"Less than or equal to 300m",418.767099772727,27524.8471715895,4.72727272727273,221076.068181818,2989.21369296629,"HU3 1PE","HU3","1PE","HU31PE"
2230,"HU31RP","E01012850","9E8911C0-54D0-2C71-E053-A03BA40A7146","Playing Field",8951.15934999869,274.4613,5,111940,74.6538461538462,"Less than or equal to 300m",234.985093076923,7986.39837884491,5.26923076923077,159505.961538462,3155.52379058682,"HU3 1RP","HU3","1RP","HU31RP"
2231,"HU34UD","E01012889","9E89107C-E76E-2C71-E053-A03BA40A7146","Playing Field",62764.7080999946,331.69412,3,69053,14.3240740740741,"300-600m",342.59559075,59840.4107819394,2.96296296296296,112616.462962963,5455.63485562739,"HU3 4UD","HU3","4UD","HU34UD"
2232,"HU36EP","E01012864","9E89107C-6E28-2C71-E053-A03BA40A7146","Playing Field",23911.9956000045,337.30847,6,235899,68.4230769230769,"300-600m",240.63419,74274.0110307696,5.19230769230769,210822.653846154,8283.395947698,"HU3 6EP","HU3","6EP","HU36EP"
12947,"HU32PZ","E01012855","9E89107C-E76E-2C71-E053-A03BA40A7146","Playing Field",62764.7080999946,867.1632,3,207992,36.0196078431373,"600-900m",803.982138627451,93729.9984548983,2.25490196078431,151962.803921569,5455.63485562739,"HU3 2PZ","HU3","2PZ","HU32PZ"
12948,"HU32RB","E01012855","9E89107C-E76E-2C71-E053-A03BA40A7146","Playing Field",62764.7080999946,906.3884,1,62764,36.0196078431373,"900-1800m",803.982138627451,93729.9984548983,2.25490196078431,151962.803921569,5455.63485562739,"HU3 2RB","HU3","2RB","HU32RB"
12949,"HU35QP","E01012860","9E89107C-6E28-2C71-E053-A03BA40A7146","Playing Field",23911.9956000045,521.237,6,769872,60.7317073170732,"300-600m",452.928852682927,103092.554470732,4.90243902439024,612186.975609756,8283.395947698,"HU3 5QP","HU3","5QP","HU35QP"
12950,"HU35QX","E01012860","9E89107C-6E28-2C71-E053-A03BA40A7146","Playing Field",23911.9956000045,517.9286,7,571090,60.7317073170732,"300-600m",452.928852682927,103092.554470732,4.90243902439024,612186.975609756,8283.395947698,"HU3 5QX","HU3","5QX","HU35QX"
17124,"HU31PJ","E01012850","9E8911C0-54D0-2C71-E053-A03BA40A7146","Playing Field",8951.15934999869,257.40628,6,251973,74.6538461538462,"Less than or equal to 300m",234.985093076923,7986.39837884491,5.26923076923077,159505.961538462,3155.52379058682,"HU3 1PJ","HU3","1PJ","HU31PJ"
17125,"HU31QR","E01012850","9E8911C0-54D0-2C71-E053-A03BA40A7146","Playing Field",8951.15934999869,160.56151,5,111940,74.6538461538462,"Less than or equal to 300m",234.985093076923,7986.39837884491,5.26923076923077,159505.961538462,3155.52379058682,"HU3 1QR","HU3","1QR","HU31QR"
