"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
2246,"HX11QN","E01010994","9E89107B-327C-2C71-E053-A03BA40A7146","Playing Field",4342.27540000084,652.9663,6,83961,10.2642276422764,"600-900m",506.425109390244,22159.4237079267,5.94308943089431,155848.756097561,1081.26325737082,"HX1 1QN","HX1","1QN","HX11QN"
2247,"HX11SJ","E01010994","9E891090-1D48-2C71-E053-A03BA40A7146","Playing Field",9920.59249999827,617.2722,7,288166,10.2642276422764,"600-900m",506.425109390244,22159.4237079267,5.94308943089431,155848.756097561,2428.46699731591,"HX1 1SJ","HX1","1SJ","HX11SJ"
2248,"HX12BE","E01010994","9E891090-20E4-2C71-E053-A03BA40A7146","Public Park Or Garden",48658.5248,422.73987,7,286515,10.2642276422764,"300-600m",506.425109390244,22159.4237079267,5.94308943089431,155848.756097561,6499.47867724731,"HX1 2BE","HX1","2BE","HX12BE"
2249,"HX12QN","E01010994","9E89107B-32B5-2C71-E053-A03BA40A7146","Playing Field",8283.68715000034,370.90836,5,281770,10.2642276422764,"300-600m",506.425109390244,22159.4237079267,5.94308943089431,155848.756097561,1400.70257114545,"HX1 2QN","HX1","2QN","HX12QN"
2250,"HX13JF","E01010970","9E89107A-FCCC-2C71-E053-A03BA40A7146","Public Park Or Garden",6057.97484999762,191.46278,7,376276,27.013698630137,"Less than or equal to 300m",164.587666273973,193432.749951381,6.32876712328767,352172.98630137,3497.09967749553,"HX1 3JF","HX1","3JF","HX13JF"
2251,"HX13PH","E01011003","9E89107A-FCCC-2C71-E053-A03BA40A7146","Public Park Or Garden",6057.97484999762,119.85408,6,370097,28.9411764705882,"Less than or equal to 300m",163.345370705882,6155.52014019367,5.86274509803921,362470.568627451,3497.09967749553,"HX1 3PH","HX1","3PH","HX13PH"
2252,"HX14UB","E01010929","9E89103E-1A22-2C71-E053-A03BA40A7146","Playing Field",3773.5076000023,409.099,6,229598,43.952380952381,"300-600m",472.286652857143,37179.5066253974,5.93650793650794,237708.603174603,3030.63646440516,"HX1 4UB","HX1","4UB","HX14UB"
2253,"HX15BA","E01010994","9E891090-20E4-2C71-E053-A03BA40A7146","Public Park Or Garden",48658.5248,473.8027,7,219172,10.2642276422764,"300-600m",506.425109390244,22159.4237079267,5.94308943089431,155848.756097561,6499.47867724731,"HX1 5BA","HX1","5BA","HX15BA"
8010,"HX12PJ","E01010968","9E89107B-184C-2C71-E053-A03BA40A7146","Public Park Or Garden",2941.310249999,56.0803,7,348778,28.5901639344262,"Less than or equal to 300m",208.520843606557,108141.378826235,7.27868852459016,329510.393442623,890.482354661257,"HX1 2PJ","HX1","2PJ","HX12PJ"
8011,"HX12TR","E01010995","9E891090-20E4-2C71-E053-A03BA40A7146","Public Park Or Garden",48658.5248,93.98404,6,282173,47.9,"Less than or equal to 300m",174.5604278,44398.4698049998,5.63333333333333,298602.3,6499.47867724731,"HX1 2TR","HX1","2TR","HX12TR"
8012,"HX13LL","E01010974","9E891090-20E4-2C71-E053-A03BA40A7146","Public Park Or Garden",48658.5248,325.35828,5,295546,41.025641025641,"300-600m",254.600733205128,108153.054255133,6.48717948717949,342012.102564103,6499.47867724731,"HX1 3LL","HX1","3LL","HX13LL"
8013,"HX15QE","E01010994","9E891042-958F-2C71-E053-A03BA40A7146","Playing Field",496.259250000017,330.49356,6,210888,10.2642276422764,"300-600m",506.425109390244,22159.4237079267,5.94308943089431,155848.756097561,988.644518613608,"HX1 5QE","HX1","5QE","HX15QE"
12966,"HX12QZ","E01010994","9E89107B-32B5-2C71-E053-A03BA40A7146","Playing Field",8283.68715000034,200.96019,5,281770,10.2642276422764,"Less than or equal to 300m",506.425109390244,22159.4237079267,5.94308943089431,155848.756097561,1400.70257114545,"HX1 2QZ","HX1","2QZ","HX12QZ"
12967,"HX12TD","E01010995","9E891090-20E4-2C71-E053-A03BA40A7146","Public Park Or Garden",48658.5248,221.00905,6,282173,47.9,"Less than or equal to 300m",174.5604278,44398.4698049998,5.63333333333333,298602.3,6499.47867724731,"HX1 2TD","HX1","2TD","HX12TD"
12968,"HX14SF","E01010929","9E891090-1D01-2C71-E053-A03BA40A7146","Public Park Or Garden",112790.1077,531.1544,6,202607,43.952380952381,"300-600m",472.286652857143,37179.5066253974,5.93650793650794,237708.603174603,5530.83208580075,"HX1 4SF","HX1","4SF","HX14SF"
20793,"HX12PY","E01010968","9E89107B-184C-2C71-E053-A03BA40A7146","Public Park Or Garden",2941.310249999,235,8,313369,28.5901639344262,"Less than or equal to 300m",208.520843606557,108141.378826235,7.27868852459016,329510.393442623,890.482354661257,"HX1 2PY","HX1","2PY","HX12PY"
26569,"HX12HD","E01010969","9E89107B-1CA0-2C71-E053-A03BA40A7146","Public Park Or Garden",217544.484700013,293.13818,7,354824,34.9807692307692,"Less than or equal to 300m",238.304560326923,165711.720340393,6.44230769230769,347868.288461538,4815.80461197391,"HX1 2HD","HX1","2HD","HX12HD"
26570,"HX13YF","E01011003","9E89107A-FCCC-2C71-E053-A03BA40A7146","Public Park Or Garden",6057.97484999762,300.66592,6,370097,28.9411764705882,"300-600m",163.345370705882,6155.52014019367,5.86274509803921,362470.568627451,3497.09967749553,"HX1 3YF","HX1","3YF","HX13YF"
26571,"HX15AY","E01010994","9E891090-20E4-2C71-E053-A03BA40A7146","Public Park Or Garden",48658.5248,389.64728,8,222113,10.2642276422764,"300-600m",506.425109390244,22159.4237079267,5.94308943089431,155848.756097561,6499.47867724731,"HX1 5AY","HX1","5AY","HX15AY"
28959,"HX11HU","E01010994","9E891090-20E4-2C71-E053-A03BA40A7146","Public Park Or Garden",48658.5248,614.8374,7,78891,10.2642276422764,"600-900m",506.425109390244,22159.4237079267,5.94308943089431,155848.756097561,6499.47867724731,"HX1 1HU","HX1","1HU","HX11HU"
31058,"HX11LH","E01010994","9E891090-20E4-2C71-E053-A03BA40A7146","Public Park Or Garden",48658.5248,647.5199,7,78891,10.2642276422764,"600-900m",506.425109390244,22159.4237079267,5.94308943089431,155848.756097561,6499.47867724731,"HX1 1LH","HX1","1LH","HX11LH"
32847,"HX13PJ","E01011003","9E89107A-FCCC-2C71-E053-A03BA40A7146","Public Park Or Garden",6057.97484999762,76.02631,6,370097,28.9411764705882,"Less than or equal to 300m",163.345370705882,6155.52014019367,5.86274509803921,362470.568627451,3497.09967749553,"HX1 3PJ","HX1","3PJ","HX13PJ"
34407,"HX13HE","E01010970","9E89107B-1CA0-2C71-E053-A03BA40A7146","Public Park Or Garden",217544.484700013,76.48529,7,379797,27.013698630137,"Less than or equal to 300m",164.587666273973,193432.749951381,6.32876712328767,352172.98630137,4815.80461197391,"HX1 3HE","HX1","3HE","HX13HE"
40620,"HX11QL","E01010994","9E89107B-327C-2C71-E053-A03BA40A7146","Playing Field",4342.27540000084,607.8923,5,283421,10.2642276422764,"600-900m",506.425109390244,22159.4237079267,5.94308943089431,155848.756097561,1081.26325737082,"HX1 1QL","HX1","1QL","HX11QL"
48562,"HX11LW","E01010994","9E891090-20E4-2C71-E053-A03BA40A7146","Public Park Or Garden",48658.5248,592.33185,7,78891,10.2642276422764,"300-600m",506.425109390244,22159.4237079267,5.94308943089431,155848.756097561,6499.47867724731,"HX1 1LW","HX1","1LW","HX11LW"
48563,"HX11QX","E01010994","9E89107B-327C-2C71-E053-A03BA40A7146","Playing Field",4342.27540000084,446.57922,5,74040,10.2642276422764,"300-600m",506.425109390244,22159.4237079267,5.94308943089431,155848.756097561,1081.26325737082,"HX1 1QX","HX1","1QX","HX11QX"
48564,"HX13PF","E01011003","9E89107A-FCCC-2C71-E053-A03BA40A7146","Public Park Or Garden",6057.97484999762,71.34424,6,370097,28.9411764705882,"Less than or equal to 300m",163.345370705882,6155.52014019367,5.86274509803921,362470.568627451,3497.09967749553,"HX1 3PF","HX1","3PF","HX13PF"
48565,"HX14AH","E01011000","9E89107A-F5D8-2C71-E053-A03BA40A7146","Playing Field",11032.7846499963,274.64157,6,136750,57.7209302325581,"Less than or equal to 300m",240.943912465116,16202.022976742,4.83720930232558,122175.627906977,6214.87173273579,"HX1 4AH","HX1","4AH","HX14AH"
48566,"HX14RS","E01010929","9E89103E-1A22-2C71-E053-A03BA40A7146","Playing Field",3773.5076000023,534.1198,6,229598,43.952380952381,"300-600m",472.286652857143,37179.5066253974,5.93650793650794,237708.603174603,3030.63646440516,"HX1 4RS","HX1","4RS","HX14RS"
48567,"HX14SA","E01010929","9E89103E-1A22-2C71-E053-A03BA40A7146","Playing Field",3773.5076000023,572.05334,6,229598,43.952380952381,"300-600m",472.286652857143,37179.5066253974,5.93650793650794,237708.603174603,3030.63646440516,"HX1 4SA","HX1","4SA","HX14SA"
48568,"HX14SQ","E01010964","9E89107A-F5D8-2C71-E053-A03BA40A7146","Playing Field",11032.7846499963,537.53235,9,283001,33.4339622641509,"300-600m",468.339473962264,50851.6137311299,7.11320754716981,232844.018867924,6214.87173273579,"HX1 4SQ","HX1","4SQ","HX14SQ"
48569,"HX15NN","E01010960","9E891044-D5BF-2C71-E053-A03BA40A7146","Playing Field",4248.93155000072,116.61904,6,210888,34.78,"Less than or equal to 300m",270.38402992,69961.6153210003,6.3,217752.3,1294.65649541602,"HX1 5NN","HX1","5NN","HX15NN"
54253,"HX12NQ","E01010969","9E89107B-1CA0-2C71-E053-A03BA40A7146","Public Park Or Garden",217544.484700013,278.46005,6,348766,34.9807692307692,"Less than or equal to 300m",238.304560326923,165711.720340393,6.44230769230769,347868.288461538,4815.80461197391,"HX1 2NQ","HX1","2NQ","HX12NQ"
