"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"HX36PL",-1.868852,53.73545,498.2137,112790.1,"81B3334D-57E8-33F1-E053-A03BA40A2BEA","000B07E1-17B1-40B1-A65D-99B5170DDA43","HX3","6PL",53.73242,-1.874427
"HX36PN",-1.869169,53.73545,482.6864,112790.1,"81B3334D-57E8-33F1-E053-A03BA40A2BEA","000B07E1-17B1-40B1-A65D-99B5170DDA43","HX3","6PN",53.73242,-1.874427
"HX36PU",-1.866743,53.73539,601.3533,112790.1,"81B3334D-57E8-33F1-E053-A03BA40A2BEA","5DBC74DF-773C-4B2D-9164-DD45DAE10864","HX3","6PU",53.73135,-1.872816
"HX36PW",-1.869564,53.73496,426.9428,112790.1,"81B3334D-57E8-33F1-E053-A03BA40A2BEA","000B07E1-17B1-40B1-A65D-99B5170DDA43","HX3","6PW",53.73242,-1.874427
"HX36PX",-1.869036,53.73442,418.7431,112790.1,"81B3334D-57E8-33F1-E053-A03BA40A2BEA","000B07E1-17B1-40B1-A65D-99B5170DDA43","HX3","6PX",53.73242,-1.874427
"HX36PY",-1.868719,53.73374,378.6048,112790.1,"81B3334D-57E8-33F1-E053-A03BA40A2BEA","5DBC74DF-773C-4B2D-9164-DD45DAE10864","HX3","6PY",53.73135,-1.872816
"HX36PZ",-1.867943,53.73489,507.2145,112790.1,"81B3334D-57E8-33F1-E053-A03BA40A2BEA","000B07E1-17B1-40B1-A65D-99B5170DDA43","HX3","6PZ",53.73242,-1.874427
"HX36QA",-1.865282,53.73247,511.001,112790.1,"81B3334D-57E8-33F1-E053-A03BA40A2BEA","5DBC74DF-773C-4B2D-9164-DD45DAE10864","HX3","6QA",53.73135,-1.872816
"HX36QB",-1.865554,53.73286,506.5377,112790.1,"81B3334D-57E8-33F1-E053-A03BA40A2BEA","5DBC74DF-773C-4B2D-9164-DD45DAE10864","HX3","6QB",53.73135,-1.872816
"HX36QD",-1.869595,53.73482,414.9456,112790.1,"81B3334D-57E8-33F1-E053-A03BA40A2BEA","000B07E1-17B1-40B1-A65D-99B5170DDA43","HX3","6QD",53.73242,-1.874427
"HX36QL",-1.868809,53.73914,833.8282,112790.1,"81B3334D-57E8-33F1-E053-A03BA40A2BEA","000B07E1-17B1-40B1-A65D-99B5170DDA43","HX3","6QL",53.73242,-1.874427
"HX36QP",-1.879289,53.74286,782.4611,127817.4,"81B3347E-3215-33F1-E053-A03BA40A2BEA","80281073-4152-4FB3-A31D-DD18C41C04A4","HX3","6QP",53.74989,-1.879441
"HX36QR",-1.878606,53.74321,745.6126,127817.4,"81B3347E-3215-33F1-E053-A03BA40A2BEA","80281073-4152-4FB3-A31D-DD18C41C04A4","HX3","6QR",53.74989,-1.879441
"HX36QS",-1.878319,53.74291,779.9984,127817.4,"81B3347E-3215-33F1-E053-A03BA40A2BEA","80281073-4152-4FB3-A31D-DD18C41C04A4","HX3","6QS",53.74989,-1.879441
"HX36QT",-1.878363,53.7433,736.0007,127817.4,"81B3347E-3215-33F1-E053-A03BA40A2BEA","80281073-4152-4FB3-A31D-DD18C41C04A4","HX3","6QT",53.74989,-1.879441
"HX36QU",-1.8778,53.74399,665.4379,127817.4,"81B3347E-3215-33F1-E053-A03BA40A2BEA","80281073-4152-4FB3-A31D-DD18C41C04A4","HX3","6QU",53.74989,-1.879441
"HX36QX",-1.878286,53.74377,684.8748,127817.4,"81B3347E-3215-33F1-E053-A03BA40A2BEA","80281073-4152-4FB3-A31D-DD18C41C04A4","HX3","6QX",53.74989,-1.879441
"HX36QY",-1.878999,53.74352,709.1588,127817.4,"81B3347E-3215-33F1-E053-A03BA40A2BEA","80281073-4152-4FB3-A31D-DD18C41C04A4","HX3","6QY",53.74989,-1.879441
"HX36QZ",-1.878408,53.74341,723.7648,127817.4,"81B3347E-3215-33F1-E053-A03BA40A2BEA","80281073-4152-4FB3-A31D-DD18C41C04A4","HX3","6QZ",53.74989,-1.879441
"HX36RA",-1.876076,53.74772,327.2155,127817.4,"81B3347E-3215-33F1-E053-A03BA40A2BEA","80281073-4152-4FB3-A31D-DD18C41C04A4","HX3","6RA",53.74989,-1.879441
"HX36RB",-1.880713,53.74348,714.3908,127817.4,"81B3347E-3215-33F1-E053-A03BA40A2BEA","DE00F0BF-F776-40A0-8EF5-C898F6D49FC6","HX3","6RB",53.74987,-1.88171
"HX36RD",-1.880834,53.74348,713.7048,127817.4,"81B3347E-3215-33F1-E053-A03BA40A2BEA","DE00F0BF-F776-40A0-8EF5-C898F6D49FC6","HX3","6RD",53.74987,-1.88171
"HX36RE",-1.881136,53.74382,674.4052,127817.4,"81B3347E-3215-33F1-E053-A03BA40A2BEA","DE00F0BF-F776-40A0-8EF5-C898F6D49FC6","HX3","6RE",53.74987,-1.88171
"HX36RF",-1.881227,53.74391,664.1007,127817.4,"81B3347E-3215-33F1-E053-A03BA40A2BEA","DE00F0BF-F776-40A0-8EF5-C898F6D49FC6","HX3","6RF",53.74987,-1.88171
"HX36RG",-1.880105,53.74373,686.827,127817.4,"81B3347E-3215-33F1-E053-A03BA40A2BEA","80281073-4152-4FB3-A31D-DD18C41C04A4","HX3","6RG",53.74989,-1.879441
"HX36RH",-1.879575,53.74361,698.5015,127817.4,"81B3347E-3215-33F1-E053-A03BA40A2BEA","80281073-4152-4FB3-A31D-DD18C41C04A4","HX3","6RH",53.74989,-1.879441
"HX36RJ",-1.88065,53.7442,635.2622,127817.4,"81B3347E-3215-33F1-E053-A03BA40A2BEA","DE00F0BF-F776-40A0-8EF5-C898F6D49FC6","HX3","6RJ",53.74987,-1.88171
"HX36RL",-1.878418,53.74511,535.8876,127817.4,"81B3347E-3215-33F1-E053-A03BA40A2BEA","80281073-4152-4FB3-A31D-DD18C41C04A4","HX3","6RL",53.74989,-1.879441
"HX36RN",-1.878281,53.74533,513.4386,127817.4,"81B3347E-3215-33F1-E053-A03BA40A2BEA","80281073-4152-4FB3-A31D-DD18C41C04A4","HX3","6RN",53.74989,-1.879441
"HX36RP",-1.87866,53.74561,478.4824,127817.4,"81B3347E-3215-33F1-E053-A03BA40A2BEA","80281073-4152-4FB3-A31D-DD18C41C04A4","HX3","6RP",53.74989,-1.879441
"HX36RQ",-1.879666,53.74367,692.5997,127817.4,"81B3347E-3215-33F1-E053-A03BA40A2BEA","80281073-4152-4FB3-A31D-DD18C41C04A4","HX3","6RQ",53.74989,-1.879441
"HX36RR",-1.877416,53.74648,401.8916,127817.4,"81B3347E-3215-33F1-E053-A03BA40A2BEA","80281073-4152-4FB3-A31D-DD18C41C04A4","HX3","6RR",53.74989,-1.879441
"HX36RS",-1.876472,53.74693,382.5917,127817.4,"81B3347E-3215-33F1-E053-A03BA40A2BEA","80281073-4152-4FB3-A31D-DD18C41C04A4","HX3","6RS",53.74989,-1.879441
"HX36RT",-1.877781,53.74609,436.9706,127817.4,"81B3347E-3215-33F1-E053-A03BA40A2BEA","80281073-4152-4FB3-A31D-DD18C41C04A4","HX3","6RT",53.74989,-1.879441
"HX36RU",-1.877779,53.74612,433.7743,127817.4,"81B3347E-3215-33F1-E053-A03BA40A2BEA","80281073-4152-4FB3-A31D-DD18C41C04A4","HX3","6RU",53.74989,-1.879441
"HX36RW",-1.879358,53.74518,523.564,127817.4,"81B3347E-3215-33F1-E053-A03BA40A2BEA","80281073-4152-4FB3-A31D-DD18C41C04A4","HX3","6RW",53.74989,-1.879441
"HX36RX",-1.876311,53.74512,569.362,127817.4,"81B3347E-3215-33F1-E053-A03BA40A2BEA","80281073-4152-4FB3-A31D-DD18C41C04A4","HX3","6RX",53.74989,-1.879441
"HX36RY",-1.875657,53.74563,535.3685,127817.4,"81B3347E-3215-33F1-E053-A03BA40A2BEA","80281073-4152-4FB3-A31D-DD18C41C04A4","HX3","6RY",53.74989,-1.879441
"HX36RZ",-1.875566,53.74567,533.7727,127817.4,"81B3347E-3215-33F1-E053-A03BA40A2BEA","80281073-4152-4FB3-A31D-DD18C41C04A4","HX3","6RZ",53.74989,-1.879441
"HX36SA",-1.87502,53.74592,528.291,127817.4,"81B3347E-3215-33F1-E053-A03BA40A2BEA","80281073-4152-4FB3-A31D-DD18C41C04A4","HX3","6SA",53.74989,-1.879441
"HX36SB",-1.875019,53.74596,524.9893,127817.4,"81B3347E-3215-33F1-E053-A03BA40A2BEA","80281073-4152-4FB3-A31D-DD18C41C04A4","HX3","6SB",53.74989,-1.879441
"HX36SD",-1.878652,53.74831,183.3139,127817.4,"81B3347E-3215-33F1-E053-A03BA40A2BEA","80281073-4152-4FB3-A31D-DD18C41C04A4","HX3","6SD",53.74989,-1.879441
"HX36SE",-1.880966,53.74495,549.5457,127817.4,"81B3347E-3215-33F1-E053-A03BA40A2BEA","DE00F0BF-F776-40A0-8EF5-C898F6D49FC6","HX3","6SE",53.74987,-1.88171
"HX36SF",-1.876567,53.74642,430.0508,127817.4,"81B3347E-3215-33F1-E053-A03BA40A2BEA","80281073-4152-4FB3-A31D-DD18C41C04A4","HX3","6SF",53.74989,-1.879441
"HX36SG",-1.879152,53.74832,175.8548,127817.4,"81B3347E-3215-33F1-E053-A03BA40A2BEA","80281073-4152-4FB3-A31D-DD18C41C04A4","HX3","6SG",53.74989,-1.879441
"HX36SN",-1.873574,53.7526,274.7941,127817.4,"81B3347E-3215-33F1-E053-A03BA40A2BEA","37E0DDB9-5A8A-4562-833E-A28E1C45044D","HX3","6SN",53.75178,-1.877518
"HX36SP",-1.87257,53.7537,388.67,127817.4,"81B3347E-3215-33F1-E053-A03BA40A2BEA","37E0DDB9-5A8A-4562-833E-A28E1C45044D","HX3","6SP",53.75178,-1.877518
"HX36SR",-1.871704,53.75501,517.7687,127817.4,"81B3347E-3215-33F1-E053-A03BA40A2BEA","59BF0649-0258-41B1-B9F6-BDB064DAAE54","HX3","6SR",53.75258,-1.878422
"HX36SS",-1.87111,53.75509,555.5905,127817.4,"81B3347E-3215-33F1-E053-A03BA40A2BEA","59BF0649-0258-41B1-B9F6-BDB064DAAE54","HX3","6SS",53.75258,-1.878422
"HX36ST",-1.872945,53.75506,453.5527,127817.4,"81B3347E-3215-33F1-E053-A03BA40A2BEA","59BF0649-0258-41B1-B9F6-BDB064DAAE54","HX3","6ST",53.75258,-1.878422
"HX36SU",-1.869897,53.75506,619.5162,127817.4,"81B3347E-3215-33F1-E053-A03BA40A2BEA","37E0DDB9-5A8A-4562-833E-A28E1C45044D","HX3","6SU",53.75178,-1.877518
"HX36SW",-1.873148,53.75313,324.0516,127817.4,"81B3347E-3215-33F1-E053-A03BA40A2BEA","37E0DDB9-5A8A-4562-833E-A28E1C45044D","HX3","6SW",53.75178,-1.877518
"HX36SX",-1.866623,53.75919,1068.381,127817.4,"81B3347E-3215-33F1-E053-A03BA40A2BEA","59BF0649-0258-41B1-B9F6-BDB064DAAE54","HX3","6SX",53.75258,-1.878422
"HX36TA",-1.871923,53.73702,537.8166,112790.1,"81B3334D-57E8-33F1-E053-A03BA40A2BEA","000B07E1-17B1-40B1-A65D-99B5170DDA43","HX3","6TA",53.73242,-1.874427
"HX36TB",-1.875036,53.74043,832.4771,112790.1,"81B3334D-57E8-33F1-E053-A03BA40A2BEA","93D7CB3B-2335-4925-8F38-32F964053A0B","HX3","6TB",53.73368,-1.88051
"HX36TD",-1.860194,53.72706,957.6165,112790.1,"81B3334D-57E8-33F1-E053-A03BA40A2BEA","5DBC74DF-773C-4B2D-9164-DD45DAE10864","HX3","6TD",53.73135,-1.872816
"HX36TE",-1.858419,53.72686,942.6897,251131.3,"81B3334D-5839-33F1-E053-A03BA40A2BEA","E5F477D5-91DA-4942-85C7-1F3F95B10175","HX3","6TE",53.72965,-1.844889
"HX36TF",-1.868801,53.73189,270.832,112790.1,"81B3334D-57E8-33F1-E053-A03BA40A2BEA","5DBC74DF-773C-4B2D-9164-DD45DAE10864","HX3","6TF",53.73135,-1.872816
"HX36TG",-1.869706,53.73337,304.0984,112790.1,"81B3334D-57E8-33F1-E053-A03BA40A2BEA","5DBC74DF-773C-4B2D-9164-DD45DAE10864","HX3","6TG",53.73135,-1.872816
"HX36TH",-1.871188,53.7343,298.4906,112790.1,"81B3334D-57E8-33F1-E053-A03BA40A2BEA","000B07E1-17B1-40B1-A65D-99B5170DDA43","HX3","6TH",53.73242,-1.874427
