"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"IG95AA",0.044766,51.62345,1060.881,18656.4,"81B3347A-E31A-33F1-E053-A03BA40A2BEA","5C632DE4-CC62-4C85-985D-BB49C9BB028C","IG9","5AA",51.63226,0.03884887
"IG95AB",0.04402,51.62099,1072.452,105537.8,"81B33386-9E2B-33F1-E053-A03BA40A2BEA","6B60E0C6-86EE-4180-B695-D4DE74D38953","IG9","5AB",51.61138,0.04522156
"IG95AD",0.042377,51.61914,885.4735,105537.8,"81B33386-9E2B-33F1-E053-A03BA40A2BEA","6B60E0C6-86EE-4180-B695-D4DE74D38953","IG9","5AD",51.61138,0.04522156
"IG95AE",0.041406,51.6178,761.3391,105537.8,"81B33386-9E2B-33F1-E053-A03BA40A2BEA","6B60E0C6-86EE-4180-B695-D4DE74D38953","IG9","5AE",51.61138,0.04522156
"IG95AF",0.040655,51.6165,651.2778,105537.8,"81B33386-9E2B-33F1-E053-A03BA40A2BEA","6B60E0C6-86EE-4180-B695-D4DE74D38953","IG9","5AF",51.61138,0.04522156
"IG95AG",0.040144,51.61864,880.6141,105537.8,"81B33386-9E2B-33F1-E053-A03BA40A2BEA","6B60E0C6-86EE-4180-B695-D4DE74D38953","IG9","5AG",51.61138,0.04522156
"IG95AH",0.039107,51.61742,793.4716,105537.8,"81B33386-9E2B-33F1-E053-A03BA40A2BEA","6B60E0C6-86EE-4180-B695-D4DE74D38953","IG9","5AH",51.61138,0.04522156
"IG95AJ",0.038028,51.6185,934.7894,105537.8,"81B33386-9E2B-33F1-E053-A03BA40A2BEA","6B60E0C6-86EE-4180-B695-D4DE74D38953","IG9","5AJ",51.61138,0.04522156
"IG95AL",0.044766,51.62345,1060.881,18656.4,"81B3347A-E31A-33F1-E053-A03BA40A2BEA","5C632DE4-CC62-4C85-985D-BB49C9BB028C","IG9","5AL",51.63226,0.03884887
"IG95AN",0.038449,51.62531,723.6389,18656.4,"81B3347A-E31A-33F1-E053-A03BA40A2BEA","FDCCC545-4A2D-43FD-AEAF-0458B52D2FA9","IG9","5AN",51.63173,0.0367882
"IG95AP",0.086868,51.64648,950.8027,12647.45,"81B33305-9065-33F1-E053-A03BA40A2BEA","E16D55AF-9AAF-4506-AB57-206B1056BABF","IG9","5AP",51.65161,0.07584006
"IG95AQ",0.040558,51.61951,959.6368,105537.8,"81B33386-9E2B-33F1-E053-A03BA40A2BEA","6B60E0C6-86EE-4180-B695-D4DE74D38953","IG9","5AQ",51.61138,0.04522156
"IG95AR",0.036295,51.62688,540.4421,18656.4,"81B3347A-E31A-33F1-E053-A03BA40A2BEA","FDCCC545-4A2D-43FD-AEAF-0458B52D2FA9","IG9","5AR",51.63173,0.0367882
"IG95AS",0.086868,51.64648,950.8027,12647.45,"81B33305-9065-33F1-E053-A03BA40A2BEA","E16D55AF-9AAF-4506-AB57-206B1056BABF","IG9","5AS",51.65161,0.07584006
"IG95AT",0.039343,51.62558,706.6143,18656.4,"81B3347A-E31A-33F1-E053-A03BA40A2BEA","FDCCC545-4A2D-43FD-AEAF-0458B52D2FA9","IG9","5AT",51.63173,0.0367882
"IG95AU",0.03628,51.62688,540.5083,18656.4,"81B3347A-E31A-33F1-E053-A03BA40A2BEA","FDCCC545-4A2D-43FD-AEAF-0458B52D2FA9","IG9","5AU",51.63173,0.0367882
"IG95AW",0.038449,51.62531,723.6389,18656.4,"81B3347A-E31A-33F1-E053-A03BA40A2BEA","FDCCC545-4A2D-43FD-AEAF-0458B52D2FA9","IG9","5AW",51.63173,0.0367882
"IG95AX",0.035131,51.62607,639.0588,18656.4,"81B3347A-E31A-33F1-E053-A03BA40A2BEA","DD509970-6B2A-4FC8-8312-75A4AEF340D7","IG9","5AX",51.63175,0.03654141
"IG95AY",0.033217,51.62558,723.3367,18656.4,"81B3347A-E31A-33F1-E053-A03BA40A2BEA","DD509970-6B2A-4FC8-8312-75A4AEF340D7","IG9","5AY",51.63175,0.03654141
