"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
41297,"IP199BN","E01030219","9E8910CD-41BC-2C71-E053-A03BA40A7146","Playing Field",19667.1932000021,562.09076,1,19667,11.271186440678,"300-600m",1052.40656511215,15017.9363626192,1.27102803738318,17397.3831775701,608.644067796611,"IP19 9BN","IP19","9BN","IP199BN"
44566,"IP198DG","E01030245","9E8910CD-40B0-2C71-E053-A03BA40A7146","Playing Field",8635.49535000577,625.8378,2,21807,43.5526315789474,"600-900m",567.439627368421,9948.65624474166,1.92105263157895,22718.6842105263,1352.06260095957,"IP19 8DG","IP19","8DG","IP198DG"
63216,"IP198LL","E01030244","9E8910CD-3D96-2C71-E053-A03BA40A7146","Public Park Or Garden",13171.8693500025,258.6291,3,53519,24.3108108108108,"Less than or equal to 300m",281.382471,16434.2413418934,2.82432432432432,49799.472972973,2174.00159415314,"IP19 8LL","IP19","8LL","IP198LL"
66785,"IP198NF","E01030229","9E8910CD-3F4B-2C71-E053-A03BA40A7146","Playing Field",31711.9424499966,938.3869,1,31711,19.2413793103448,"900-1800m",835.893550938776,24077.7306459153,1.20408163265306,25911.306122449,1462.7651444548,"IP19 8NF","IP19","8NF","IP198NF"
66786,"IP198PS","E01030243","9E8910CD-3D96-2C71-E053-A03BA40A7146","Public Park Or Garden",13171.8693500025,486.01337,3,51082,25.6551724137931,"300-600m",271.487695689655,16119.5813396558,2.91379310344828,49626.8448275862,2174.00159415314,"IP19 8PS","IP19","8PS","IP198PS"
66787,"IP199EE","E01030219","9E8910CD-41BC-2C71-E053-A03BA40A7146","Playing Field",19667.1932000021,305.9428,1,19667,11.271186440678,"300-600m",1052.40656511215,15017.9363626192,1.27102803738318,17397.3831775701,608.644067796611,"IP19 9EE","IP19","9EE","IP199EE"
69867,"IP198BS","E01030243","9E8910CD-3D96-2C71-E053-A03BA40A7146","Public Park Or Garden",13171.8693500025,235.93431,3,51082,25.6551724137931,"Less than or equal to 300m",271.487695689655,16119.5813396558,2.91379310344828,49626.8448275862,2174.00159415314,"IP19 8BS","IP19","8BS","IP198BS"
69868,"IP199JL","E01030219","9E8910CD-41BC-2C71-E053-A03BA40A7146","Playing Field",19667.1932000021,242.03305,1,19667,11.271186440678,"Less than or equal to 300m",1052.40656511215,15017.9363626192,1.27102803738318,17397.3831775701,608.644067796611,"IP19 9JL","IP19","9JL","IP199JL"
84000,"IP198FB","E01030244","9E8910CD-3D96-2C71-E053-A03BA40A7146","Public Park Or Garden",13171.8693500025,42.0119,3,51082,24.3108108108108,"Less than or equal to 300m",281.382471,16434.2413418934,2.82432432432432,49799.472972973,2174.00159415314,"IP19 8FB","IP19","8FB","IP198FB"
85880,"IP198HG","E01030244","9E8910CD-3F4B-2C71-E053-A03BA40A7146","Playing Field",31711.9424499966,671.76263,2,44883,24.3108108108108,"600-900m",281.382471,16434.2413418934,2.82432432432432,49799.472972973,1462.7651444548,"IP19 8HG","IP19","8HG","IP198HG"
86627,"IP198BP","E01030243","9E8910CD-3D96-2C71-E053-A03BA40A7146","Public Park Or Garden",13171.8693500025,275.8043,3,51082,25.6551724137931,"Less than or equal to 300m",271.487695689655,16119.5813396558,2.91379310344828,49626.8448275862,2174.00159415314,"IP19 8BP","IP19","8BP","IP198BP"
90940,"IP198EG","E01030245","9E8910CD-40B0-2C71-E053-A03BA40A7146","Playing Field",8635.49535000577,486.03293,1,8635,43.5526315789474,"300-600m",567.439627368421,9948.65624474166,1.92105263157895,22718.6842105263,1352.06260095957,"IP19 8EG","IP19","8EG","IP198EG"
113401,"IP198DW","E01030245","9E8910CD-40B0-2C71-E053-A03BA40A7146","Playing Field",8635.49535000577,662.0045,2,21807,43.5526315789474,"600-900m",567.439627368421,9948.65624474166,1.92105263157895,22718.6842105263,1352.06260095957,"IP19 8DW","IP19","8DW","IP198DW"
125362,"IP198AE","E01030244","9E8910CD-3D96-2C71-E053-A03BA40A7146","Public Park Or Garden",13171.8693500025,181.57092,3,51082,24.3108108108108,"Less than or equal to 300m",281.382471,16434.2413418934,2.82432432432432,49799.472972973,2174.00159415314,"IP19 8AE","IP19","8AE","IP198AE"
126950,"IP198JB","E01030243","9E891040-DE9F-2C71-E053-A03BA40A7146","Playing Field",6199.0196000025,184.02446,3,51082,25.6551724137931,"Less than or equal to 300m",271.487695689655,16119.5813396558,2.91379310344828,49626.8448275862,724.758620689655,"IP19 8JB","IP19","8JB","IP198JB"
137451,"IP198EF","E01030245","9E8910CD-40B0-2C71-E053-A03BA40A7146","Playing Field",8635.49535000577,344.47205,1,8635,43.5526315789474,"300-600m",567.439627368421,9948.65624474166,1.92105263157895,22718.6842105263,1352.06260095957,"IP19 8EF","IP19","8EF","IP198EF"
141270,"IP198LQ","E01030244","9E8910CD-3D96-2C71-E053-A03BA40A7146","Public Park Or Garden",13171.8693500025,169.26016,3,53519,24.3108108108108,"Less than or equal to 300m",281.382471,16434.2413418934,2.82432432432432,49799.472972973,2174.00159415314,"IP19 8LQ","IP19","8LQ","IP198LQ"
141271,"IP198TP","E01030245","9E8910CD-3D96-2C71-E053-A03BA40A7146","Public Park Or Garden",13171.8693500025,544.8532,3,53519,43.5526315789474,"300-600m",567.439627368421,9948.65624474166,1.92105263157895,22718.6842105263,2174.00159415314,"IP19 8TP","IP19","8TP","IP198TP"
151856,"IP198DT","E01030245","9E8910CD-40B0-2C71-E053-A03BA40A7146","Playing Field",8635.49535000577,669.2384,2,21807,43.5526315789474,"600-900m",567.439627368421,9948.65624474166,1.92105263157895,22718.6842105263,1352.06260095957,"IP19 8DT","IP19","8DT","IP198DT"
156027,"IP198EN","E01030244","9E8910CD-40B0-2C71-E053-A03BA40A7146","Playing Field",8635.49535000577,310.93408,3,53519,24.3108108108108,"300-600m",281.382471,16434.2413418934,2.82432432432432,49799.472972973,1352.06260095957,"IP19 8EN","IP19","8EN","IP198EN"
156028,"IP198FD","E01030244","9E8910CD-3D96-2C71-E053-A03BA40A7146","Public Park Or Garden",13171.8693500025,69.89278,3,51082,24.3108108108108,"Less than or equal to 300m",281.382471,16434.2413418934,2.82432432432432,49799.472972973,2174.00159415314,"IP19 8FD","IP19","8FD","IP198FD"
167743,"IP198BA","E01030244","9E8910CD-3D96-2C71-E053-A03BA40A7146","Public Park Or Garden",13171.8693500025,226.29626,3,53519,24.3108108108108,"Less than or equal to 300m",281.382471,16434.2413418934,2.82432432432432,49799.472972973,2174.00159415314,"IP19 8BA","IP19","8BA","IP198BA"
169804,"IP199BW","E01030219","9E8910CD-41BC-2C71-E053-A03BA40A7146","Playing Field",19667.1932000021,426.1291,1,19667,11.271186440678,"300-600m",1052.40656511215,15017.9363626192,1.27102803738318,17397.3831775701,608.644067796611,"IP19 9BW","IP19","9BW","IP199BW"
171641,"IP198LE","E01030244","9E8910CD-3D96-2C71-E053-A03BA40A7146","Public Park Or Garden",13171.8693500025,154.74171,3,53519,24.3108108108108,"Less than or equal to 300m",281.382471,16434.2413418934,2.82432432432432,49799.472972973,2174.00159415314,"IP19 8LE","IP19","8LE","IP198LE"
181362,"IP198SS","E01030244","9E8910CD-3D96-2C71-E053-A03BA40A7146","Public Park Or Garden",13171.8693500025,355.75552,3,53519,24.3108108108108,"300-600m",281.382471,16434.2413418934,2.82432432432432,49799.472972973,2174.00159415314,"IP19 8SS","IP19","8SS","IP198SS"
183493,"IP198TB","E01030244","9E8910CD-3D96-2C71-E053-A03BA40A7146","Public Park Or Garden",13171.8693500025,441.0102,3,53519,24.3108108108108,"300-600m",281.382471,16434.2413418934,2.82432432432432,49799.472972973,2174.00159415314,"IP19 8TB","IP19","8TB","IP198TB"
197982,"IP199EP","E01030219","9E8910CD-41BC-2C71-E053-A03BA40A7146","Playing Field",19667.1932000021,101.414986,1,19667,11.271186440678,"Less than or equal to 300m",1052.40656511215,15017.9363626192,1.27102803738318,17397.3831775701,608.644067796611,"IP19 9EP","IP19","9EP","IP199EP"
217642,"IP199DZ","E01030219","9E8910CD-41BC-2C71-E053-A03BA40A7146","Playing Field",19667.1932000021,399.23553,1,19667,11.271186440678,"300-600m",1052.40656511215,15017.9363626192,1.27102803738318,17397.3831775701,608.644067796611,"IP19 9DZ","IP19","9DZ","IP199DZ"
223846,"IP198SB","E01030244","9E8910CD-3D96-2C71-E053-A03BA40A7146","Public Park Or Garden",13171.8693500025,430.30804,3,53519,24.3108108108108,"300-600m",281.382471,16434.2413418934,2.82432432432432,49799.472972973,2174.00159415314,"IP19 8SB","IP19","8SB","IP198SB"
225476,"IP198DJ","E01030245","9E8910CD-40B0-2C71-E053-A03BA40A7146","Playing Field",8635.49535000577,542.7946,2,21807,43.5526315789474,"300-600m",567.439627368421,9948.65624474166,1.92105263157895,22718.6842105263,1352.06260095957,"IP19 8DJ","IP19","8DJ","IP198DJ"
227387,"IP198DY","E01030245","9E8910CD-40B0-2C71-E053-A03BA40A7146","Playing Field",8635.49535000577,184.4912,2,21807,43.5526315789474,"Less than or equal to 300m",567.439627368421,9948.65624474166,1.92105263157895,22718.6842105263,1352.06260095957,"IP19 8DY","IP19","8DY","IP198DY"
