"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"IV232AA",-5.541649,57.86519,4235.06,3128.804,"81B33391-C052-33F1-E053-A03BA40A2BEA","DA34CCA1-1B2D-4804-AACB-0EE4F1DB0B72","IV23","2AA",57.84255,-5.599217
"IV232PG",-4.683134,57.68517,13207.69,540.6569,"81B333A1-F461-33F1-E053-A03BA40A2BEA","0230C38A-A8D4-485C-B614-3E251771BE89","IV23","2PG",57.56948,-4.632822
"IV232PH",-4.68424,57.68538,13245.5,540.6569,"81B333A1-F461-33F1-E053-A03BA40A2BEA","0230C38A-A8D4-485C-B614-3E251771BE89","IV23","2PH",57.56948,-4.632822
"IV232PJ",-5.011846,57.75312,23857.73,77957.43,"81B333A1-E2B8-33F1-E053-A03BA40A2BEA","9EB8FB47-A23A-4414-8088-FC3028CB0172","IV23","2PJ",57.61328,-5.316237
"IV232PP",-4.687814,57.61538,6064.901,540.6569,"81B333A1-F461-33F1-E053-A03BA40A2BEA","0230C38A-A8D4-485C-B614-3E251771BE89","IV23","2PP",57.56948,-4.632822
"IV232PQ",-4.767592,57.69346,15949.96,540.6569,"81B333A1-F461-33F1-E053-A03BA40A2BEA","0230C38A-A8D4-485C-B614-3E251771BE89","IV23","2PQ",57.56948,-4.632822
"IV232PR",-4.688657,57.61591,6141.725,540.6569,"81B333A1-F461-33F1-E053-A03BA40A2BEA","0230C38A-A8D4-485C-B614-3E251771BE89","IV23","2PR",57.56948,-4.632822
"IV232PS",-4.687947,57.61174,5732.955,540.6569,"81B333A1-F461-33F1-E053-A03BA40A2BEA","0230C38A-A8D4-485C-B614-3E251771BE89","IV23","2PS",57.56948,-4.632822
"IV232PT",-4.684001,57.60867,5318.508,540.6569,"81B333A1-F461-33F1-E053-A03BA40A2BEA","0230C38A-A8D4-485C-B614-3E251771BE89","IV23","2PT",57.56948,-4.632822
"IV232PU",-4.683798,57.62291,6671.787,540.6569,"81B333A1-F461-33F1-E053-A03BA40A2BEA","0230C38A-A8D4-485C-B614-3E251771BE89","IV23","2PU",57.56948,-4.632822
"IV232PX",-4.703619,57.62457,7437.187,540.6569,"81B333A1-F461-33F1-E053-A03BA40A2BEA","0230C38A-A8D4-485C-B614-3E251771BE89","IV23","2PX",57.56948,-4.632822
"IV232PY",-4.749848,57.63229,9868.183,540.6569,"81B333A1-F461-33F1-E053-A03BA40A2BEA","0230C38A-A8D4-485C-B614-3E251771BE89","IV23","2PY",57.56948,-4.632822
"IV232PZ",-4.800307,57.62613,11801.01,540.6569,"81B333A1-F461-33F1-E053-A03BA40A2BEA","0230C38A-A8D4-485C-B614-3E251771BE89","IV23","2PZ",57.56948,-4.632822
"IV232QA",-4.799656,57.62702,11821.69,540.6569,"81B333A1-F461-33F1-E053-A03BA40A2BEA","0230C38A-A8D4-485C-B614-3E251771BE89","IV23","2QA",57.56948,-4.632822
