"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"KT58AA",-0.297353,51.39578,474.8057,6698.227,"81B33384-906D-33F1-E053-A03BA40A2BEA","786F85AB-86EC-46FA-A269-563ED3DCC11E","KT5","8AA",51.39598,-0.3041888
"KT58AB",-0.297964,51.39714,450.4623,6698.227,"81B33384-906D-33F1-E053-A03BA40A2BEA","786F85AB-86EC-46FA-A269-563ED3DCC11E","KT5","8AB",51.39598,-0.3041888
"KT58AD",-0.297054,51.39723,514.0519,6698.227,"81B33384-906D-33F1-E053-A03BA40A2BEA","786F85AB-86EC-46FA-A269-563ED3DCC11E","KT5","8AD",51.39598,-0.3041888
"KT58AE",-0.297177,51.39758,517.9392,6698.227,"81B33384-906D-33F1-E053-A03BA40A2BEA","786F85AB-86EC-46FA-A269-563ED3DCC11E","KT5","8AE",51.39598,-0.3041888
"KT58AF",-0.297297,51.39784,520.6017,6698.227,"81B33384-906D-33F1-E053-A03BA40A2BEA","786F85AB-86EC-46FA-A269-563ED3DCC11E","KT5","8AF",51.39598,-0.3041888
"KT58AG",-0.298171,51.39774,461.003,6698.227,"81B33384-906D-33F1-E053-A03BA40A2BEA","786F85AB-86EC-46FA-A269-563ED3DCC11E","KT5","8AG",51.39598,-0.3041888
"KT58AH",-0.299179,51.39864,455.8916,6698.227,"81B33384-906D-33F1-E053-A03BA40A2BEA","786F85AB-86EC-46FA-A269-563ED3DCC11E","KT5","8AH",51.39598,-0.3041888
"KT58AJ",-0.29733,51.39887,574.0106,6698.227,"81B33384-906D-33F1-E053-A03BA40A2BEA","786F85AB-86EC-46FA-A269-563ED3DCC11E","KT5","8AJ",51.39598,-0.3041888
"KT58AL",-0.296803,51.39838,577.4324,6698.227,"81B33384-906D-33F1-E053-A03BA40A2BEA","786F85AB-86EC-46FA-A269-563ED3DCC11E","KT5","8AL",51.39598,-0.3041888
"KT58AN",-0.29749,51.39942,601.7798,6698.227,"81B33384-906D-33F1-E053-A03BA40A2BEA","786F85AB-86EC-46FA-A269-563ED3DCC11E","KT5","8AN",51.39598,-0.3041888
"KT58AP",-0.299166,51.39922,501.0759,6698.227,"81B33384-906D-33F1-E053-A03BA40A2BEA","786F85AB-86EC-46FA-A269-563ED3DCC11E","KT5","8AP",51.39598,-0.3041888
"KT58AQ",-0.298454,51.39785,448.9317,6698.227,"81B33384-906D-33F1-E053-A03BA40A2BEA","786F85AB-86EC-46FA-A269-563ED3DCC11E","KT5","8AQ",51.39598,-0.3041888
"KT58AR",-0.299613,51.39879,444.9754,6698.227,"81B33384-906D-33F1-E053-A03BA40A2BEA","786F85AB-86EC-46FA-A269-563ED3DCC11E","KT5","8AR",51.39598,-0.3041888
"KT58AS",-0.30013,51.39996,523.7172,6698.227,"81B33384-906D-33F1-E053-A03BA40A2BEA","786F85AB-86EC-46FA-A269-563ED3DCC11E","KT5","8AS",51.39598,-0.3041888
"KT58AT",-0.301197,51.39911,404.5841,6698.227,"81B33384-906D-33F1-E053-A03BA40A2BEA","786F85AB-86EC-46FA-A269-563ED3DCC11E","KT5","8AT",51.39598,-0.3041888
