"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"KY160AA",-2.893652,56.37511,4750.764,13652.35,"81B33334-61B8-33F1-E053-A03BA40A2BEA","D6BF5408-2EB9-4140-BEA1-C64C61A30065","KY16","0AA",56.34548,-2.949214
"KY160AB",-2.899742,56.37399,4397.233,13652.35,"81B33334-61B8-33F1-E053-A03BA40A2BEA","D6BF5408-2EB9-4140-BEA1-C64C61A30065","KY16","0AB",56.34548,-2.949214
"KY160AD",-2.907271,56.37534,4207.43,13652.35,"81B33334-61B8-33F1-E053-A03BA40A2BEA","D6BF5408-2EB9-4140-BEA1-C64C61A30065","KY16","0AD",56.34548,-2.949214
"KY160AE",-2.926211,56.37718,3799.124,13652.35,"81B33334-61B8-33F1-E053-A03BA40A2BEA","D6BF5408-2EB9-4140-BEA1-C64C61A30065","KY16","0AE",56.34548,-2.949214
"KY160AF",-2.925754,56.37835,3930.493,13652.35,"81B33334-61B8-33F1-E053-A03BA40A2BEA","D6BF5408-2EB9-4140-BEA1-C64C61A30065","KY16","0AF",56.34548,-2.949214
"KY160AG",-2.925362,56.3769,3790.014,13652.35,"81B33334-61B8-33F1-E053-A03BA40A2BEA","D6BF5408-2EB9-4140-BEA1-C64C61A30065","KY16","0AG",56.34548,-2.949214
"KY160AH",-2.92512,56.36677,2793.927,13652.35,"81B33334-61B8-33F1-E053-A03BA40A2BEA","D6BF5408-2EB9-4140-BEA1-C64C61A30065","KY16","0AH",56.34548,-2.949214
"KY160AJ",-2.943565,56.36915,2655.128,13652.35,"81B33334-61B8-33F1-E053-A03BA40A2BEA","D6BF5408-2EB9-4140-BEA1-C64C61A30065","KY16","0AJ",56.34548,-2.949214
"KY160AL",-2.948676,56.37289,3047.715,13652.35,"81B33334-61B8-33F1-E053-A03BA40A2BEA","D6BF5408-2EB9-4140-BEA1-C64C61A30065","KY16","0AL",56.34548,-2.949214
"KY160AN",-2.933931,56.38231,4201.793,13652.35,"81B33334-61B8-33F1-E053-A03BA40A2BEA","D6BF5408-2EB9-4140-BEA1-C64C61A30065","KY16","0AN",56.34548,-2.949214
"KY160AP",-2.890672,56.37731,5052.44,13652.35,"81B33334-61B8-33F1-E053-A03BA40A2BEA","D6BF5408-2EB9-4140-BEA1-C64C61A30065","KY16","0AP",56.34548,-2.949214
"KY160AQ",-2.929411,56.37495,3496.197,13652.35,"81B33334-61B8-33F1-E053-A03BA40A2BEA","D6BF5408-2EB9-4140-BEA1-C64C61A30065","KY16","0AQ",56.34548,-2.949214
"KY160AR",-2.931022,56.37661,3637.956,13652.35,"81B33334-61B8-33F1-E053-A03BA40A2BEA","D6BF5408-2EB9-4140-BEA1-C64C61A30065","KY16","0AR",56.34548,-2.949214
"KY160AS",-2.929938,56.37663,3661.809,13652.35,"81B33334-61B8-33F1-E053-A03BA40A2BEA","D6BF5408-2EB9-4140-BEA1-C64C61A30065","KY16","0AS",56.34548,-2.949214
"KY160AT",-2.926703,56.37811,3884.337,13652.35,"81B33334-61B8-33F1-E053-A03BA40A2BEA","D6BF5408-2EB9-4140-BEA1-C64C61A30065","KY16","0AT",56.34548,-2.949214
"KY160AU",-2.928663,56.37615,3637.42,13652.35,"81B33334-61B8-33F1-E053-A03BA40A2BEA","D6BF5408-2EB9-4140-BEA1-C64C61A30065","KY16","0AU",56.34548,-2.949214
"KY160AW",-2.932736,56.37716,3665.878,13652.35,"81B33334-61B8-33F1-E053-A03BA40A2BEA","D6BF5408-2EB9-4140-BEA1-C64C61A30065","KY16","0AW",56.34548,-2.949214
"KY160AX",-2.930471,56.37656,3643.28,13652.35,"81B33334-61B8-33F1-E053-A03BA40A2BEA","D6BF5408-2EB9-4140-BEA1-C64C61A30065","KY16","0AX",56.34548,-2.949214
"KY160AY",-2.928399,56.37662,3691.968,13652.35,"81B33334-61B8-33F1-E053-A03BA40A2BEA","D6BF5408-2EB9-4140-BEA1-C64C61A30065","KY16","0AY",56.34548,-2.949214
"KY160AZ",-2.928569,56.37694,3721.973,13652.35,"81B33334-61B8-33F1-E053-A03BA40A2BEA","D6BF5408-2EB9-4140-BEA1-C64C61A30065","KY16","0AZ",56.34548,-2.949214
"KY160BA",-2.92989,56.37931,3945.454,13652.35,"81B33334-61B8-33F1-E053-A03BA40A2BEA","D6BF5408-2EB9-4140-BEA1-C64C61A30065","KY16","0BA",56.34548,-2.949214
"KY160BB",-2.929343,56.37947,3972.353,13652.35,"81B33334-61B8-33F1-E053-A03BA40A2BEA","D6BF5408-2EB9-4140-BEA1-C64C61A30065","KY16","0BB",56.34548,-2.949214
"KY160BD",-2.928535,56.38151,4204.175,13652.35,"81B33334-61B8-33F1-E053-A03BA40A2BEA","D6BF5408-2EB9-4140-BEA1-C64C61A30065","KY16","0BD",56.34548,-2.949214
"KY160BE",-2.909577,56.41434,3549.356,6709.815,"81B332FC-B6E3-33F1-E053-A03BA40A2BEA","9AF58773-45B3-4F92-8FD6-042BCE5C8E1B","KY16","0BE",56.44298,-2.884102
"KY160BF",-2.905614,56.41468,3413.457,6709.815,"81B332FC-B6E3-33F1-E053-A03BA40A2BEA","9AF58773-45B3-4F92-8FD6-042BCE5C8E1B","KY16","0BF",56.44298,-2.884102
