"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
2457,"L130BL","E01006618","9E8911C4-F3BC-2C71-E053-A03BA40A7146","Public Park Or Garden",10965.5595499989,190.30765,9,723370,56.8518518518519,"Less than or equal to 300m",173.035497555556,100595.326181477,8.81481481481481,1561966.25925926,2356.90472990153,"L13 0BL","L13","0BL","L130BL"
2458,"L131AP","E01006716","9E891094-DA7B-2C71-E053-A03BA40A7146","Playing Field",22712.3139000017,60.033325,5,478339,42.6216216216216,"Less than or equal to 300m",139.880910594595,23113.3689567585,6.78378378378378,185952.162162162,4586.20865084742,"L13 1AP","L13","1AP","L131AP"
2459,"L133DJ","E01006719","9E891094-DC92-2C71-E053-A03BA40A7146","Playing Field",23454.4607000014,163.46559,9,237875,73.2,"Less than or equal to 300m",199.9320118,20411.1966050008,7.95,214756.8,7253.19787423563,"L13 3DJ","L13","3DJ","L133DJ"
2460,"L135SY","E01006573","9E89103E-419B-2C71-E053-A03BA40A7146","Public Park Or Garden",10398.3949000026,506.00494,7,160853,60.3181818181818,"300-600m",415.125218636364,18128.5143363647,6.86363636363636,156206.363636364,3968.84205251271,"L13 5SY","L13","5SY","L135SY"
2461,"L136QU","E01006718","9E891042-3F83-2C71-E053-A03BA40A7146","Public Park Or Garden",19826.1726000036,520.1625,7,514991,76.95,"300-600m",409.1170315,22365.9742700021,7.35,471164.4,3049.70850959656,"L13 6QU","L13","6QU","L136QU"
2462,"L138DD","E01006606","9E8910AD-57CB-2C71-E053-A03BA40A7146","Public Park Or Garden",22751.0000000026,170.46994,8,356052,45.2424242424242,"Less than or equal to 300m",129.890360787879,41990.5275636381,8.33333333333333,414107.909090909,3878.11931965822,"L13 8DD","L13","8DD","L138DD"
2463,"L138DY","E01006763","9E891094-4224-2C71-E053-A03BA40A7146","Playing Field",144252.114149994,312.18103,9,772930,69.7619047619048,"300-600m",246.904221238095,69037.1387238087,8.52380952380952,689217.047619048,8259.98813288162,"L13 8DY","L13","8DY","L138DY"
2464,"L138DZ","E01006767","9E891094-4224-2C71-E053-A03BA40A7146","Playing Field",144252.114149994,285.2718,8,758678,78.7916666666667,"Less than or equal to 300m",241.558383125,188502.43716666,8.875,782560.708333333,8259.98813288162,"L13 8DZ","L13","8DZ","L138DZ"
8194,"L130AH","E01006606","9E8910AD-57CB-2C71-E053-A03BA40A7146","Public Park Or Garden",22751.0000000026,260.5475,8,414894,45.2424242424242,"Less than or equal to 300m",129.890360787879,41990.5275636381,8.33333333333333,414107.909090909,3878.11931965822,"L13 0AH","L13","0AH","L130AH"
8195,"L136RA","E01006718","9E891094-DC92-2C71-E053-A03BA40A7146","Playing Field",23454.4607000014,497.88754,6,492278,76.95,"300-600m",409.1170315,22365.9742700021,7.35,471164.4,7253.19787423563,"L13 6RA","L13","6RA","L136RA"
8196,"L136RQ","E01006711","9E891042-3F83-2C71-E053-A03BA40A7146","Public Park Or Garden",19826.1726000036,445.8722,7,514991,31.2083333333333,"300-600m",353.097951125,182482.172721873,5.22916666666667,508179.541666667,3049.70850959656,"L13 6RQ","L13","6RQ","L136RQ"
8197,"L139DE","E01006606","9E8910AD-57CB-2C71-E053-A03BA40A7146","Public Park Or Garden",22751.0000000026,63.1981,9,425860,45.2424242424242,"Less than or equal to 300m",129.890360787879,41990.5275636381,8.33333333333333,414107.909090909,3878.11931965822,"L13 9DE","L13","9DE","L139DE"
13110,"L130AJ","E01006605","9E8910AD-57CB-2C71-E053-A03BA40A7146","Public Park Or Garden",22751.0000000026,123.069084,9,425860,55.2142857142857,"Less than or equal to 300m",168.387161053571,23608.9109321435,8.78571428571429,407100.75,3878.11931965822,"L13 0AJ","L13","0AJ","L130AJ"
13111,"L136QS","E01006718","9E891094-DC92-2C71-E053-A03BA40A7146","Playing Field",23454.4607000014,384.83762,8,592118,76.95,"300-600m",409.1170315,22365.9742700021,7.35,471164.4,7253.19787423563,"L13 6QS","L13","6QS","L136QS"
17282,"L135UL","E01006565","9E891045-5323-2C71-E053-A03BA40A7146","Playing Field",7774.43159999817,282.84625,7,160853,69.4761904761905,"Less than or equal to 300m",241.766510714286,8774.03666666654,6,135863.142857143,1479.04891774892,"L13 5UL","L13","5UL","L135UL"
20897,"L130AQ","E01006621","9E89103E-1FF7-2C71-E053-A03BA40A7146","Playing Field",13310.2470499995,144.47145,8,218049,34.5777777777778,"Less than or equal to 300m",138.734278088889,29200.6986222227,8.64444444444444,1867067.93333333,819.555555555556,"L13 0AQ","L13","0AQ","L130AQ"
20898,"L135XY","E01006713","9E891094-DC92-2C71-E053-A03BA40A7146","Playing Field",23454.4607000014,235.58014,6,127278,62,"Less than or equal to 300m",211.275600285714,23454.4607000014,6.23809523809524,140542.476190476,7253.19787423563,"L13 5XY","L13","5XY","L135XY"
26673,"L135TA","E01006573","9E89103E-419B-2C71-E053-A03BA40A7146","Public Park Or Garden",10398.3949000026,481,7,160853,60.3181818181818,"300-600m",415.125218636364,18128.5143363647,6.86363636363636,156206.363636364,3968.84205251271,"L13 5TA","L13","5TA","L135TA"
29058,"L135SD","E01006573","9E891094-DC92-2C71-E053-A03BA40A7146","Playing Field",23454.4607000014,484.0093,7,160853,60.3181818181818,"300-600m",415.125218636364,18128.5143363647,6.86363636363636,156206.363636364,7253.19787423563,"L13 5SD","L13","5SD","L135SD"
31141,"L131EB","E01006716","9E891094-DA7B-2C71-E053-A03BA40A7146","Playing Field",22712.3139000017,97.862144,6,112558,42.6216216216216,"Less than or equal to 300m",139.880910594595,23113.3689567585,6.78378378378378,185952.162162162,4586.20865084742,"L13 1EB","L13","1EB","L131EB"
31142,"L134DR","E01006565","9E89103E-419B-2C71-E053-A03BA40A7146","Public Park Or Garden",10398.3949000026,364.96576,7,160853,69.4761904761905,"300-600m",241.766510714286,8774.03666666654,6,135863.142857143,3968.84205251271,"L13 4DR","L13","4DR","L134DR"
39042,"L138DJ","E01006606","9E891094-C777-2C71-E053-A03BA40A7146","Playing Field",34973.3543000005,108.903625,9,362994,45.2424242424242,"Less than or equal to 300m",129.890360787879,41990.5275636381,8.33333333333333,414107.909090909,880.30303030303,"L13 8DJ","L13","8DJ","L138DJ"
48784,"L130DF","E01006621","9E891094-D183-2C71-E053-A03BA40A7146","Playing Field",14968.4077999974,358.50385,8,228418,34.5777777777778,"300-600m",138.734278088889,29200.6986222227,8.64444444444444,1867067.93333333,1286.21594202899,"L13 0DF","L13","0DF","L130DF"
48785,"L137HH","E01006711","9E891042-3F83-2C71-E053-A03BA40A7146","Public Park Or Garden",19826.1726000036,71.11259,3,440545,31.2083333333333,"Less than or equal to 300m",353.097951125,182482.172721873,5.22916666666667,508179.541666667,3049.70850959656,"L13 7HH","L13","7HH","L137HH"
54439,"L134BQ","E01006575","9E89103E-419B-2C71-E053-A03BA40A7146","Public Park Or Garden",10398.3949000026,188.45158,6,123609,61.7727272727273,"Less than or equal to 300m",134.997782272727,22119.0612477284,6.36363636363636,112374,3968.84205251271,"L13 4BQ","L13","4BQ","L134BQ"
54440,"L138BJ","E01006765","9E8911C4-F3BC-2C71-E053-A03BA40A7146","Public Park Or Garden",10965.5595499989,450.12442,8,675634,79.1578947368421,"300-600m",389.038962105263,16576.3236263147,8.31578947368421,741475.894736842,2356.90472990153,"L13 8BJ","L13","8BJ","L138BJ"
59129,"L133DU","E01006712","9E891094-DC92-2C71-E053-A03BA40A7146","Playing Field",23454.4607000014,90.426765,7,182059,84.9375,"Less than or equal to 300m",107.3272321875,23454.4607000014,6.75,212790.5625,7253.19787423563,"L13 3DU","L13","3DU","L133DU"
59130,"L134BA","E01006585","9E891095-042F-2C71-E053-A03BA40A7146","Playing Field",33574.443200001,221.2781,8,118074,58.304347826087,"Less than or equal to 300m",254.456322,31535.698506523,8.60869565217391,137411.826086957,2304.6868359824,"L13 4BA","L13","4BA","L134BA"
59131,"L137BW","E01006768","9E8911C4-F3BC-2C71-E053-A03BA40A7146","Public Park Or Garden",10965.5595499989,257.2178,8,558159,51.4,"Less than or equal to 300m",233.359906,12669.2888359993,8.28,548527.56,2356.90472990153,"L13 7BW","L13","7BW","L137BW"
