"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"L254UD",-2.872478,53.38706,246.23,12618.13,"81B332F7-15DC-33F1-E053-A03BA40A2BEA","E69D10AF-DD77-4898-8DF6-AF571F4A6190","L25","4UD",53.38493,-2.87351
"L254UE",-2.872885,53.38786,328.5534,12618.13,"81B332F7-15DC-33F1-E053-A03BA40A2BEA","E69D10AF-DD77-4898-8DF6-AF571F4A6190","L25","4UE",53.38493,-2.87351
"L254UF",-2.871537,53.39031,382.5206,31873.84,"81B3336A-A3FF-33F1-E053-A03BA40A2BEA","4D27D147-18D4-47D0-9F2F-A6BE52843494","L25","4UF",53.39339,-2.874104
"L254UG",-2.867663,53.38913,585.5397,12618.13,"81B332F7-15DC-33F1-E053-A03BA40A2BEA","C42B9F33-04DC-40C2-A460-1BEFFC15E1E4","L25","4UG",53.38459,-2.872134
"L254UH",-2.869056,53.38442,205.0059,12618.13,"81B332F7-15DC-33F1-E053-A03BA40A2BEA","C42B9F33-04DC-40C2-A460-1BEFFC15E1E4","L25","4UH",53.38459,-2.872134
"L254UJ",-2.873397,53.39157,207.7022,31873.84,"81B3336A-A3FF-33F1-E053-A03BA40A2BEA","4D27D147-18D4-47D0-9F2F-A6BE52843494","L25","4UJ",53.39339,-2.874104
"L254UL",-2.871983,53.38565,119.0504,12618.13,"81B332F7-15DC-33F1-E053-A03BA40A2BEA","C42B9F33-04DC-40C2-A460-1BEFFC15E1E4","L25","4UL",53.38459,-2.872134
"L254UN",-2.874873,53.39094,277.9984,31873.84,"81B3336A-A3FF-33F1-E053-A03BA40A2BEA","4D27D147-18D4-47D0-9F2F-A6BE52843494","L25","4UN",53.39339,-2.874104
"L254UP",-2.872475,53.38765,309.2889,12618.13,"81B332F7-15DC-33F1-E053-A03BA40A2BEA","E69D10AF-DD77-4898-8DF6-AF571F4A6190","L25","4UP",53.38493,-2.87351
"L254UQ",-2.871357,53.38667,237.4821,12618.13,"81B332F7-15DC-33F1-E053-A03BA40A2BEA","C42B9F33-04DC-40C2-A460-1BEFFC15E1E4","L25","4UQ",53.38459,-2.872134
"L254UR",-2.873413,53.38205,54.93406,54911.12,"81B33353-1EC4-33F1-E053-A03BA40A2BEA","787F9F9D-82D8-45FB-8EE3-F133297F2C0E","L25","4UR",53.38253,-2.873205
"L254US",-2.873413,53.38205,54.93406,54911.12,"81B33353-1EC4-33F1-E053-A03BA40A2BEA","787F9F9D-82D8-45FB-8EE3-F133297F2C0E","L25","4US",53.38253,-2.873205
"L254UU",-2.872475,53.38765,309.2889,12618.13,"81B332F7-15DC-33F1-E053-A03BA40A2BEA","E69D10AF-DD77-4898-8DF6-AF571F4A6190","L25","4UU",53.38493,-2.87351
"L254UW",-2.865821,53.37466,153.85,216470.3,"81B332FE-92A8-33F1-E053-A03BA40A2BEA","DAC53CC8-9562-4AD5-8444-619B9B8B3334","L25","4UW",53.3735,-2.867078
"L254UX",-2.86585,53.3746,146.9367,216470.3,"81B332FE-92A8-33F1-E053-A03BA40A2BEA","DAC53CC8-9562-4AD5-8444-619B9B8B3334","L25","4UX",53.3735,-2.867078
"L254UY",-2.872475,53.38765,309.2889,12618.13,"81B332F7-15DC-33F1-E053-A03BA40A2BEA","E69D10AF-DD77-4898-8DF6-AF571F4A6190","L25","4UY",53.38493,-2.87351
"L254UZ",-2.872475,53.38765,309.2889,12618.13,"81B332F7-15DC-33F1-E053-A03BA40A2BEA","E69D10AF-DD77-4898-8DF6-AF571F4A6190","L25","4UZ",53.38493,-2.87351
"L254WA",-2.865821,53.37466,153.85,216470.3,"81B332FE-92A8-33F1-E053-A03BA40A2BEA","DAC53CC8-9562-4AD5-8444-619B9B8B3334","L25","4WA",53.3735,-2.867078
"L254WB",-2.865821,53.37466,153.85,216470.3,"81B332FE-92A8-33F1-E053-A03BA40A2BEA","DAC53CC8-9562-4AD5-8444-619B9B8B3334","L25","4WB",53.3735,-2.867078
