"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
2576,"LA130GP","E01019161","9E8910ED-1648-2C71-E053-A03BA40A7146","Playing Field",38865.8310999995,222.46123,7,130384,36.5686274509804,"Less than or equal to 300m",204.871172215686,25599.1139186282,8.45098039215686,363862.058823529,2711.94891475916,"LA13 0GP","LA13","0GP","LA130GP"
2577,"LA139HL","E01019160","9E8910ED-0FD2-2C71-E053-A03BA40A7146","Playing Field",16281.7277500015,123.36936,9,424641,35.1282051282051,"Less than or equal to 300m",158.602573589744,38723.9262230801,10.4871794871795,444269.743589744,1327.92232277526,"LA13 9HL","LA13","9HL","LA139HL"
2578,"LA139SH","E01019175","9E8910ED-13E7-2C71-E053-A03BA40A7146","Public Park Or Garden",6099.91025000268,156.70673,7,378258,40.1666666666667,"Less than or equal to 300m",193.344147555556,18996.8405916691,7.97222222222222,407325.5,3669.28718218056,"LA13 9SH","LA13","9SH","LA139SH"
8301,"LA130BF","E01019161","9E8910ED-0FD2-2C71-E053-A03BA40A7146","Playing Field",16281.7277500015,182.01648,9,429642,36.5686274509804,"Less than or equal to 300m",204.871172215686,25599.1139186282,8.45098039215686,363862.058823529,1327.92232277526,"LA13 0BF","LA13","0BF","LA130BF"
8302,"LA139SZ","E01019174","9E89103E-1F8A-2C71-E053-A03BA40A7146","Public Park Or Garden",195296.918050002,297.11276,6,324670,47.5416666666667,"Less than or equal to 300m",182.000064125,195296.918050002,6.66666666666667,319648,5307.71401580101,"LA13 9SZ","LA13","9SZ","LA139SZ"
13179,"LA130DP","E01019177","9E8910ED-13E7-2C71-E053-A03BA40A7146","Public Park Or Garden",6099.91025000268,618.75116,5,263016,42.1875,"600-900m",363.856966375,17522.5630703129,5.125,153627.53125,3669.28718218056,"LA13 0DP","LA13","0DP","LA130DP"
17347,"LA139QF","E01019174","9E89103E-1F8A-2C71-E053-A03BA40A7146","Public Park Or Garden",195296.918050002,185.72292,7,325736,47.5416666666667,"Less than or equal to 300m",182.000064125,195296.918050002,6.66666666666667,319648,5307.71401580101,"LA13 9QF","LA13","9QF","LA139QF"
26706,"LA139HZ","E01019169","9E8910A8-BB74-2C71-E053-A03BA40A7146","Playing Field",6888.58704999732,242.90327,12,522545,35.5,"Less than or equal to 300m",152.089047690476,24334.4641464278,11.3333333333333,525915.380952381,1041.15610859729,"LA13 9HZ","LA13","9HZ","LA139HZ"
31165,"LA139RS","E01019175","9E8910ED-13E7-2C71-E053-A03BA40A7146","Public Park Or Garden",6099.91025000268,173.80736,7,378258,40.1666666666667,"Less than or equal to 300m",193.344147555556,18996.8405916691,7.97222222222222,407325.5,3669.28718218056,"LA13 9RS","LA13","9RS","LA139RS"
32935,"LA130HE","E01019178","9E8910ED-185C-2C71-E053-A03BA40A7146","Playing Field",12621.3244999994,132.28,3,61619,29.7,"Less than or equal to 300m",963.227254472222,11169.5014000012,2.47222222222222,44332.0555555556,2629.65595030515,"LA13 0HE","LA13","0HE","LA130HE"
