"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"LA218AA",-3.051145,54.36668,8262.506,19100.31,"81B33323-BDCC-33F1-E053-A03BA40A2BEA","60FA552C-814E-4D2E-B720-8C5BC7AA0A1B","LA21","8AA",54.42248,-2.966857
"LA218AB",-3.05675,54.35967,8975.578,10662.89,"81B33366-02A9-33F1-E053-A03BA40A2BEA","3AABC00C-DAEB-4804-8DB6-11D9E4613C16","LA21","8AB",54.37786,-2.921753
"LA218AD",-3.066109,54.34186,10173.78,10662.89,"81B33366-02A9-33F1-E053-A03BA40A2BEA","3AABC00C-DAEB-4804-8DB6-11D9E4613C16","LA21","8AD",54.37786,-2.921753
"LA218AE",-3.046431,54.37023,7764.719,19100.31,"81B33323-BDCC-33F1-E053-A03BA40A2BEA","60FA552C-814E-4D2E-B720-8C5BC7AA0A1B","LA21","8AE",54.42248,-2.966857
"LA218AF",-3.044954,54.37256,7507.918,19100.31,"81B33323-BDCC-33F1-E053-A03BA40A2BEA","60FA552C-814E-4D2E-B720-8C5BC7AA0A1B","LA21","8AF",54.42248,-2.966857
"LA218AG",-3.046008,54.37591,7285.097,19100.31,"81B33323-BDCC-33F1-E053-A03BA40A2BEA","60FA552C-814E-4D2E-B720-8C5BC7AA0A1B","LA21","8AG",54.42248,-2.966857
"LA218AH",-3.054028,54.37538,7698.866,19100.31,"81B33323-BDCC-33F1-E053-A03BA40A2BEA","60FA552C-814E-4D2E-B720-8C5BC7AA0A1B","LA21","8AH",54.42248,-2.966857
"LA218AJ",-3.063291,54.36913,8611.912,19100.31,"81B33323-BDCC-33F1-E053-A03BA40A2BEA","60FA552C-814E-4D2E-B720-8C5BC7AA0A1B","LA21","8AJ",54.42248,-2.966857
"LA218AL",-3.071135,54.37007,8918.319,19100.31,"81B33323-BDCC-33F1-E053-A03BA40A2BEA","60FA552C-814E-4D2E-B720-8C5BC7AA0A1B","LA21","8AL",54.42248,-2.966857
"LA218AN",-3.066617,54.36384,9177.462,19100.31,"81B33323-BDCC-33F1-E053-A03BA40A2BEA","60FA552C-814E-4D2E-B720-8C5BC7AA0A1B","LA21","8AN",54.42248,-2.966857
