"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
2620,"LE130TD","E01025904","9E89103D-BDA2-2C71-E053-A03BA40A7146","Playing Field",16018.5830000009,313.5618,3,83819,42.8085106382979,"300-600m",754.78830893617,49909.1259021286,1.76595744680851,94750.4468085106,3913.77179249982,"LE13 0TD","LE13","0TD","LE130TD"
2621,"LE131JU","E01025901","9E8910A3-C90B-2C71-E053-A03BA40A7146","Public Park Or Garden",546970.421800002,456.99124,9,770354,53.6315789473684,"300-600m",339.191919473684,397447.441188157,6.05263157894737,681327.5,5479.28659804175,"LE13 1JU","LE13","1JU","LE131JU"
2622,"LE131LZ","E01025894","9E891075-DD7F-2C71-E053-A03BA40A7146","Public Park Or Garden",59727.3805000035,378.31863,12,811989,28.4561403508772,"300-600m",306.241658280702,58598.8696456162,10.5438596491228,684020.543859649,1901.4474757512,"LE13 1LZ","LE13","1LZ","LE131LZ"
2623,"LE139SP","E01025899","9E891040-AEBF-2C71-E053-A03BA40A7146","Playing Field",2850.12674999906,201.4274,8,749283,28.7826086956522,"Less than or equal to 300m",267.978232173913,12453.7887217399,8.04347826086956,711155.108695652,1972.34615384615,"LE13 9SP","LE13","9SP","LE139SP"
8343,"LE131BH","E01025894","9E891075-DD7F-2C71-E053-A03BA40A7146","Public Park Or Garden",59727.3805000035,339.67633,11,809139,28.4561403508772,"300-600m",306.241658280702,58598.8696456162,10.5438596491228,684020.543859649,1901.4474757512,"LE13 1BH","LE13","1BH","LE131BH"
13205,"LE131JF","E01025905","9E891040-AEBF-2C71-E053-A03BA40A7146","Playing Field",2850.12674999906,665.4833,6,674616,67.3076923076923,"600-900m",647.800881923077,258155.308578846,3.96153846153846,491743.230769231,1972.34615384615,"LE13 1JF","LE13","1JF","LE131JF"
13206,"LE131ND","E01025901","9E8910A3-C90B-2C71-E053-A03BA40A7146","Public Park Or Garden",546970.421800002,379.47333,11,794517,53.6315789473684,"300-600m",339.191919473684,397447.441188157,6.05263157894737,681327.5,5479.28659804175,"LE13 1ND","LE13","1ND","LE131ND"
17377,"LE130EU","E01025896","9E891074-7D2F-2C71-E053-A03BA40A7146","Public Park Or Garden",40951.6224000098,322.24835,6,214830,37.5121951219512,"300-600m",262.130217292683,25702.5328975636,5.58536585365854,164461.707317073,1697.55609756098,"LE13 0EU","LE13","0EU","LE130EU"
20973,"LE130AL","E01025908","9E89103D-BDD9-2C71-E053-A03BA40A7146","Playing Field",8617.44090000315,302.83493,1,8617,40.4186046511628,"300-600m",334.796445395349,27635.0928441893,5.74418604651163,254790.139534884,3147.70866727833,"LE13 0AL","LE13","0AL","LE130AL"
20974,"LE131PW","E01025906","9E8910A3-C90B-2C71-E053-A03BA40A7146","Public Park Or Garden",546970.421800002,21,2,579300,59.6785714285714,"Less than or equal to 300m",265.251614321428,546970.421800002,2.14285714285714,581748,5479.28659804175,"LE13 1PW","LE13","1PW","LE131PW"
26722,"LE130HZ","E01025899","9E891074-7479-2C71-E053-A03BA40A7146","Playing Field",64950.8848000078,208.60728,9,763069,28.7826086956522,"Less than or equal to 300m",267.978232173913,12453.7887217399,8.04347826086956,711155.108695652,1283.90859776491,"LE13 0HZ","LE13","0HZ","LE130HZ"
