"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"LE419AA",0,100,4426811,5345.822,"81B33382-211A-33F1-E053-A03BA40A2BEA","4B980B61-B3F3-4AD1-B4E6-E15C5E7C3D8E","LE41","9AA",60.18629,-1.439075
"LE419AB",-1.194911,52.61291,1137.409,24635.06,"81B33361-0E9D-33F1-E053-A03BA40A2BEA","40BF278D-7473-46E2-9782-7D66ECD66C74","LE41","9AB",52.61399,-1.178159
"LE419AD",-1.121497,52.65411,493.6414,19909.91,"81B33331-D5BB-33F1-E053-A03BA40A2BEA","3247597D-F0A5-43EE-80EF-5748FEB7E9FD","LE41","9AD",52.65787,-1.125409
"LE419AE",-1.121497,52.65411,493.6414,19909.91,"81B33331-D5BB-33F1-E053-A03BA40A2BEA","3247597D-F0A5-43EE-80EF-5748FEB7E9FD","LE41","9AE",52.65787,-1.125409
"LE419AF",-1.121497,52.65411,493.6414,19909.91,"81B33331-D5BB-33F1-E053-A03BA40A2BEA","3247597D-F0A5-43EE-80EF-5748FEB7E9FD","LE41","9AF",52.65787,-1.125409
"LE419AG",-1.121497,52.65411,493.6414,19909.91,"81B33331-D5BB-33F1-E053-A03BA40A2BEA","3247597D-F0A5-43EE-80EF-5748FEB7E9FD","LE41","9AG",52.65787,-1.125409
"LE419AH",-1.121497,52.65411,493.6414,19909.91,"81B33331-D5BB-33F1-E053-A03BA40A2BEA","3247597D-F0A5-43EE-80EF-5748FEB7E9FD","LE41","9AH",52.65787,-1.125409
"LE419AJ",-1.121497,52.65411,493.6414,19909.91,"81B33331-D5BB-33F1-E053-A03BA40A2BEA","3247597D-F0A5-43EE-80EF-5748FEB7E9FD","LE41","9AJ",52.65787,-1.125409
"LE419AL",-1.121497,52.65411,493.6414,19909.91,"81B33331-D5BB-33F1-E053-A03BA40A2BEA","3247597D-F0A5-43EE-80EF-5748FEB7E9FD","LE41","9AL",52.65787,-1.125409
"LE419AN",-1.121497,52.65411,493.6414,19909.91,"81B33331-D5BB-33F1-E053-A03BA40A2BEA","3247597D-F0A5-43EE-80EF-5748FEB7E9FD","LE41","9AN",52.65787,-1.125409
"LE419AP",-1.121497,52.65411,493.6414,19909.91,"81B33331-D5BB-33F1-E053-A03BA40A2BEA","3247597D-F0A5-43EE-80EF-5748FEB7E9FD","LE41","9AP",52.65787,-1.125409
"LE419AQ",-1.121497,52.65411,493.6414,19909.91,"81B33331-D5BB-33F1-E053-A03BA40A2BEA","3247597D-F0A5-43EE-80EF-5748FEB7E9FD","LE41","9AQ",52.65787,-1.125409
"LE419AR",-1.121497,52.65411,493.6414,19909.91,"81B33331-D5BB-33F1-E053-A03BA40A2BEA","3247597D-F0A5-43EE-80EF-5748FEB7E9FD","LE41","9AR",52.65787,-1.125409
"LE419AS",-1.121497,52.65411,493.6414,19909.91,"81B33331-D5BB-33F1-E053-A03BA40A2BEA","3247597D-F0A5-43EE-80EF-5748FEB7E9FD","LE41","9AS",52.65787,-1.125409
"LE419AT",-1.121497,52.65411,493.6414,19909.91,"81B33331-D5BB-33F1-E053-A03BA40A2BEA","3247597D-F0A5-43EE-80EF-5748FEB7E9FD","LE41","9AT",52.65787,-1.125409
"LE419AU",-1.194911,52.61291,1137.409,24635.06,"81B33361-0E9D-33F1-E053-A03BA40A2BEA","40BF278D-7473-46E2-9782-7D66ECD66C74","LE41","9AU",52.61399,-1.178159
"LE419AW",-1.121497,52.65411,493.6414,19909.91,"81B33331-D5BB-33F1-E053-A03BA40A2BEA","3247597D-F0A5-43EE-80EF-5748FEB7E9FD","LE41","9AW",52.65787,-1.125409
"LE419AX",-1.121497,52.65411,493.6414,19909.91,"81B33331-D5BB-33F1-E053-A03BA40A2BEA","3247597D-F0A5-43EE-80EF-5748FEB7E9FD","LE41","9AX",52.65787,-1.125409
"LE419AY",-1.121497,52.65411,493.6414,19909.91,"81B33331-D5BB-33F1-E053-A03BA40A2BEA","3247597D-F0A5-43EE-80EF-5748FEB7E9FD","LE41","9AY",52.65787,-1.125409
"LE419AZ",-1.121497,52.65411,493.6414,19909.91,"81B33331-D5BB-33F1-E053-A03BA40A2BEA","3247597D-F0A5-43EE-80EF-5748FEB7E9FD","LE41","9AZ",52.65787,-1.125409
"LE419BA",-1.121497,52.65411,493.6414,19909.91,"81B33331-D5BB-33F1-E053-A03BA40A2BEA","3247597D-F0A5-43EE-80EF-5748FEB7E9FD","LE41","9BA",52.65787,-1.125409
"LE419BB",-1.121497,52.65411,493.6414,19909.91,"81B33331-D5BB-33F1-E053-A03BA40A2BEA","3247597D-F0A5-43EE-80EF-5748FEB7E9FD","LE41","9BB",52.65787,-1.125409
"LE419BD",-1.121497,52.65411,493.6414,19909.91,"81B33331-D5BB-33F1-E053-A03BA40A2BEA","3247597D-F0A5-43EE-80EF-5748FEB7E9FD","LE41","9BD",52.65787,-1.125409
"LE419BE",-1.121497,52.65411,493.6414,19909.91,"81B33331-D5BB-33F1-E053-A03BA40A2BEA","3247597D-F0A5-43EE-80EF-5748FEB7E9FD","LE41","9BE",52.65787,-1.125409
"LE419BF",-1.194904,52.61293,1136.728,24635.06,"81B33361-0E9D-33F1-E053-A03BA40A2BEA","40BF278D-7473-46E2-9782-7D66ECD66C74","LE41","9BF",52.61399,-1.178159
"LE419BG",-1.121497,52.65411,493.6414,19909.91,"81B33331-D5BB-33F1-E053-A03BA40A2BEA","3247597D-F0A5-43EE-80EF-5748FEB7E9FD","LE41","9BG",52.65787,-1.125409
"LE419BH",-1.121497,52.65411,493.6414,19909.91,"81B33331-D5BB-33F1-E053-A03BA40A2BEA","3247597D-F0A5-43EE-80EF-5748FEB7E9FD","LE41","9BH",52.65787,-1.125409
"LE419BJ",-1.121497,52.65411,493.6414,19909.91,"81B33331-D5BB-33F1-E053-A03BA40A2BEA","3247597D-F0A5-43EE-80EF-5748FEB7E9FD","LE41","9BJ",52.65787,-1.125409
"LE419BL",-1.121497,52.65411,493.6414,19909.91,"81B33331-D5BB-33F1-E053-A03BA40A2BEA","3247597D-F0A5-43EE-80EF-5748FEB7E9FD","LE41","9BL",52.65787,-1.125409
"LE419BN",-1.121497,52.65411,493.6414,19909.91,"81B33331-D5BB-33F1-E053-A03BA40A2BEA","3247597D-F0A5-43EE-80EF-5748FEB7E9FD","LE41","9BN",52.65787,-1.125409
"LE419BP",-1.121497,52.65411,493.6414,19909.91,"81B33331-D5BB-33F1-E053-A03BA40A2BEA","3247597D-F0A5-43EE-80EF-5748FEB7E9FD","LE41","9BP",52.65787,-1.125409
"LE419BQ",-1.121497,52.65411,493.6414,19909.91,"81B33331-D5BB-33F1-E053-A03BA40A2BEA","3247597D-F0A5-43EE-80EF-5748FEB7E9FD","LE41","9BQ",52.65787,-1.125409
"LE419BR",-1.121497,52.65411,493.6414,19909.91,"81B33331-D5BB-33F1-E053-A03BA40A2BEA","3247597D-F0A5-43EE-80EF-5748FEB7E9FD","LE41","9BR",52.65787,-1.125409
"LE419BS",-1.121497,52.65411,493.6414,19909.91,"81B33331-D5BB-33F1-E053-A03BA40A2BEA","3247597D-F0A5-43EE-80EF-5748FEB7E9FD","LE41","9BS",52.65787,-1.125409
"LE419BT",-1.121497,52.65411,493.6414,19909.91,"81B33331-D5BB-33F1-E053-A03BA40A2BEA","3247597D-F0A5-43EE-80EF-5748FEB7E9FD","LE41","9BT",52.65787,-1.125409
