"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"LL190AA",-3.403498,53.33605,163.6617,9792.372,"81B3338A-18F1-33F1-E053-A03BA40A2BEA","C11787DE-CD23-4F62-BA0E-4CCC682562F3","LL19","0AA",53.33747,-3.404144
"LL190AB",-3.403498,53.33605,163.6617,9792.372,"81B3338A-18F1-33F1-E053-A03BA40A2BEA","C11787DE-CD23-4F62-BA0E-4CCC682562F3","LL19","0AB",53.33747,-3.404144
"LL190AD",-3.403498,53.33605,163.6617,9792.372,"81B3338A-18F1-33F1-E053-A03BA40A2BEA","C11787DE-CD23-4F62-BA0E-4CCC682562F3","LL19","0AD",53.33747,-3.404144
"LL190AF",-3.403498,53.33605,163.6617,9792.372,"81B3338A-18F1-33F1-E053-A03BA40A2BEA","C11787DE-CD23-4F62-BA0E-4CCC682562F3","LL19","0AF",53.33747,-3.404144
"LL190AG",-3.403498,53.33605,163.6617,9792.372,"81B3338A-18F1-33F1-E053-A03BA40A2BEA","C11787DE-CD23-4F62-BA0E-4CCC682562F3","LL19","0AG",53.33747,-3.404144
"LL190AH",-3.403498,53.33605,163.6617,9792.372,"81B3338A-18F1-33F1-E053-A03BA40A2BEA","C11787DE-CD23-4F62-BA0E-4CCC682562F3","LL19","0AH",53.33747,-3.404144
"LL190AJ",-3.403498,53.33605,163.6617,9792.372,"81B3338A-18F1-33F1-E053-A03BA40A2BEA","C11787DE-CD23-4F62-BA0E-4CCC682562F3","LL19","0AJ",53.33747,-3.404144
"LL190AL",-3.403498,53.33605,163.6617,9792.372,"81B3338A-18F1-33F1-E053-A03BA40A2BEA","C11787DE-CD23-4F62-BA0E-4CCC682562F3","LL19","0AL",53.33747,-3.404144
"LL190AN",-3.484354,53.31907,491.1074,63710.27,"81B33385-887C-33F1-E053-A03BA40A2BEA","6EFA9804-2E6C-4C6F-8508-F9201E43D539","LL19","0AN",53.31854,-3.477014
"LL190AP",-3.403498,53.33605,163.6617,9792.372,"81B3338A-18F1-33F1-E053-A03BA40A2BEA","C11787DE-CD23-4F62-BA0E-4CCC682562F3","LL19","0AP",53.33747,-3.404144
"LL190AQ",-3.403498,53.33605,163.6617,9792.372,"81B3338A-18F1-33F1-E053-A03BA40A2BEA","C11787DE-CD23-4F62-BA0E-4CCC682562F3","LL19","0AQ",53.33747,-3.404144
"LL190AR",-3.403498,53.33605,163.6617,9792.372,"81B3338A-18F1-33F1-E053-A03BA40A2BEA","C11787DE-CD23-4F62-BA0E-4CCC682562F3","LL19","0AR",53.33747,-3.404144
"LL190AS",-3.403498,53.33605,163.6617,9792.372,"81B3338A-18F1-33F1-E053-A03BA40A2BEA","C11787DE-CD23-4F62-BA0E-4CCC682562F3","LL19","0AS",53.33747,-3.404144
"LL190AT",-3.403498,53.33605,163.6617,9792.372,"81B3338A-18F1-33F1-E053-A03BA40A2BEA","C11787DE-CD23-4F62-BA0E-4CCC682562F3","LL19","0AT",53.33747,-3.404144
"LL190AU",-3.403498,53.33605,163.6617,9792.372,"81B3338A-18F1-33F1-E053-A03BA40A2BEA","C11787DE-CD23-4F62-BA0E-4CCC682562F3","LL19","0AU",53.33747,-3.404144
"LL190AW",-3.403498,53.33605,163.6617,9792.372,"81B3338A-18F1-33F1-E053-A03BA40A2BEA","C11787DE-CD23-4F62-BA0E-4CCC682562F3","LL19","0AW",53.33747,-3.404144
"LL190AX",-3.403498,53.33605,163.6617,9792.372,"81B3338A-18F1-33F1-E053-A03BA40A2BEA","C11787DE-CD23-4F62-BA0E-4CCC682562F3","LL19","0AX",53.33747,-3.404144
"LL190AY",-3.403498,53.33605,163.6617,9792.372,"81B3338A-18F1-33F1-E053-A03BA40A2BEA","C11787DE-CD23-4F62-BA0E-4CCC682562F3","LL19","0AY",53.33747,-3.404144
"LL190AZ",-3.403498,53.33605,163.6617,9792.372,"81B3338A-18F1-33F1-E053-A03BA40A2BEA","C11787DE-CD23-4F62-BA0E-4CCC682562F3","LL19","0AZ",53.33747,-3.404144
"LL190BA",-3.403498,53.33605,163.6617,9792.372,"81B3338A-18F1-33F1-E053-A03BA40A2BEA","C11787DE-CD23-4F62-BA0E-4CCC682562F3","LL19","0BA",53.33747,-3.404144
"LL190BB",-3.403498,53.33605,163.6617,9792.372,"81B3338A-18F1-33F1-E053-A03BA40A2BEA","C11787DE-CD23-4F62-BA0E-4CCC682562F3","LL19","0BB",53.33747,-3.404144
"LL190BD",-3.484354,53.31908,491.2291,63710.27,"81B33385-887C-33F1-E053-A03BA40A2BEA","6EFA9804-2E6C-4C6F-8508-F9201E43D539","LL19","0BD",53.31854,-3.477014
"LL190BE",-3.403498,53.33605,163.6617,9792.372,"81B3338A-18F1-33F1-E053-A03BA40A2BEA","C11787DE-CD23-4F62-BA0E-4CCC682562F3","LL19","0BE",53.33747,-3.404144
"LL190BF",-3.403498,53.33605,163.6617,9792.372,"81B3338A-18F1-33F1-E053-A03BA40A2BEA","C11787DE-CD23-4F62-BA0E-4CCC682562F3","LL19","0BF",53.33747,-3.404144
"LL190BG",-3.403498,53.33605,163.6617,9792.372,"81B3338A-18F1-33F1-E053-A03BA40A2BEA","C11787DE-CD23-4F62-BA0E-4CCC682562F3","LL19","0BG",53.33747,-3.404144
"LL190BH",-3.484356,53.31909,491.4847,63710.27,"81B33385-887C-33F1-E053-A03BA40A2BEA","6EFA9804-2E6C-4C6F-8508-F9201E43D539","LL19","0BH",53.31854,-3.477014
"LL190BJ",-3.484354,53.31908,491.2291,63710.27,"81B33385-887C-33F1-E053-A03BA40A2BEA","6EFA9804-2E6C-4C6F-8508-F9201E43D539","LL19","0BJ",53.31854,-3.477014
"LL190BL",-3.484354,53.31908,491.2291,63710.27,"81B33385-887C-33F1-E053-A03BA40A2BEA","6EFA9804-2E6C-4C6F-8508-F9201E43D539","LL19","0BL",53.31854,-3.477014
"LL190BN",-3.484354,53.31908,491.2291,63710.27,"81B33385-887C-33F1-E053-A03BA40A2BEA","6EFA9804-2E6C-4C6F-8508-F9201E43D539","LL19","0BN",53.31854,-3.477014
"LL190BP",-3.484354,53.31907,491.1074,63710.27,"81B33385-887C-33F1-E053-A03BA40A2BEA","6EFA9804-2E6C-4C6F-8508-F9201E43D539","LL19","0BP",53.31854,-3.477014
"LL190BQ",-3.484356,53.31909,491.4847,63710.27,"81B33385-887C-33F1-E053-A03BA40A2BEA","6EFA9804-2E6C-4C6F-8508-F9201E43D539","LL19","0BQ",53.31854,-3.477014
"LL190BR",-3.484356,53.31909,491.4847,63710.27,"81B33385-887C-33F1-E053-A03BA40A2BEA","6EFA9804-2E6C-4C6F-8508-F9201E43D539","LL19","0BR",53.31854,-3.477014
"LL190ZZ",0,100,4426811,5345.822,"81B33382-211A-33F1-E053-A03BA40A2BEA","4B980B61-B3F3-4AD1-B4E6-E15C5E7C3D8E","LL19","0ZZ",60.18629,-1.439075
"LL197AA",-3.434314,53.33242,253.835,168342.8,"81B33385-5FB6-33F1-E053-A03BA40A2BEA","A24BCBBD-F511-4F51-A2C5-F7B14514695B","LL19","7AA",53.33411,-3.436891
