"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
21022,"LL537TY","W01000080","9E89104F-1A57-2C71-E053-A03BA40A7146","Playing Field",10058.0136499965,430.97217,1,10058,15.3805309734513,"300-600m",495.270033404255,7187.25042340291,1,7186.93617021277,465.503140165572,"LL53 7TY","LL53","7TY","LL537TY"
35886,"LL535LD","W01000108","9E89103D-B8FB-2C71-E053-A03BA40A7146","Playing Field",2955.26229999949,206.18439,1,2955,22.7920792079208,"Less than or equal to 300m",526.019079009901,4615.46199900935,1,4615.19801980198,4177.96109493302,"LL53 5LD","LL53","5LD","LL535LD"
38173,"LL535LN","W01000108","9E89103D-B8FB-2C71-E053-A03BA40A7146","Playing Field",2955.26229999949,195.92346,1,2955,22.7920792079208,"Less than or equal to 300m",526.019079009901,4615.46199900935,1,4615.19801980198,4177.96109493302,"LL53 5LN","LL53","5LN","LL535LN"
40675,"LL537SB","W01000084","9E89104F-1C7A-2C71-E053-A03BA40A7146","Public Park Or Garden",1234.95835000039,487.08316,1,1234,19.4677419354839,"300-600m",576.697053913044,1618.56945000022,1,1617.65217391304,443.670853554097,"LL53 7SB","LL53","7SB","LL537SB"
42523,"LL537DJ","W01000080","9E89104F-1E48-2C71-E053-A03BA40A7146","Playing Field",5979.4403999996,259.48026,1,5979,15.3805309734513,"Less than or equal to 300m",495.270033404255,7187.25042340291,1,7186.93617021277,984.353982300884,"LL53 7DJ","LL53","7DJ","LL537DJ"
43001,"LL537UN","W01000080","9E89104F-1A57-2C71-E053-A03BA40A7146","Playing Field",10058.0136499965,697.3643,1,10058,15.3805309734513,"600-900m",495.270033404255,7187.25042340291,1,7186.93617021277,465.503140165572,"LL53 7UN","LL53","7UN","LL537UN"
45856,"LL535NN","W01000108","9E89103D-B8FB-2C71-E053-A03BA40A7146","Playing Field",2955.26229999949,789.6335,1,2955,22.7920792079208,"600-900m",526.019079009901,4615.46199900935,1,4615.19801980198,4177.96109493302,"LL53 5NN","LL53","5NN","LL535NN"
70057,"LL535DD","W01000108","9E89103D-B8FB-2C71-E053-A03BA40A7146","Playing Field",2955.26229999949,526.1568,1,2955,22.7920792079208,"300-600m",526.019079009901,4615.46199900935,1,4615.19801980198,4177.96109493302,"LL53 5DD","LL53","5DD","LL535DD"
78891,"LL535EG","W01000108","9E89103D-B8FB-2C71-E053-A03BA40A7146","Playing Field",2955.26229999949,274.17514,1,2955,22.7920792079208,"Less than or equal to 300m",526.019079009901,4615.46199900935,1,4615.19801980198,4177.96109493302,"LL53 5EG","LL53","5EG","LL535EG"
80426,"LL535DP","W01000108","9E89103D-B8FB-2C71-E053-A03BA40A7146","Playing Field",2955.26229999949,370.75732,1,2955,22.7920792079208,"300-600m",526.019079009901,4615.46199900935,1,4615.19801980198,4177.96109493302,"LL53 5DP","LL53","5DP","LL535DP"
