"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
2742,"LN57UE","E01026176","9E89105A-5BC8-2C71-E053-A03BA40A7146","Public Park Or Garden",9654.33879999645,757.81,1,9654,23.3373493975904,"600-900m",750.941226385542,11408.8449981911,1.46987951807229,17222.7710843373,10037.7719419054,"LN5 7UE","LN5","7UE","LN57UE"
8430,"LN58QE","E01026175","9E89105A-4FAE-2C71-E053-A03BA40A7146","Public Park Or Garden",186106.398000007,405.62173,4,284883,42.1818181818182,"300-600m",412.886857681818,178487.149802279,3.70454545454546,277327.704545454,7286.7997001774,"LN5 8QE","LN5","8QE","LN58QE"
8431,"LN59HH","E01026193","9E89105A-A608-2C71-E053-A03BA40A7146","Playing Field",4539.41670000138,457.18488,1,4539,25.2333333333333,"300-600m",412.259335428571,7030.53196428627,1,7030.08571428571,555.133333333333,"LN5 9HH","LN5","9HH","LN59HH"
8432,"LN59QA","E01026185","9E89105A-7AB6-2C71-E053-A03BA40A7146","Playing Field",50349.9699500078,389.2403,1,50349,38.2407407407407,"300-600m",365.150808685185,42605.3543629684,1.22222222222222,46932.1851851852,3932.43043085783,"LN5 9QA","LN5","9QA","LN59QA"
21035,"LN58FA","E01026175","9E89105A-4FAE-2C71-E053-A03BA40A7146","Public Park Or Garden",186106.398000007,261.02106,3,266400,42.1818181818182,"Less than or equal to 300m",412.886857681818,178487.149802279,3.70454545454546,277327.704545454,7286.7997001774,"LN5 8FA","LN5","8FA","LN58FA"
26783,"LN57NA","E01026177","9E89105A-5BC8-2C71-E053-A03BA40A7146","Public Park Or Garden",9654.33879999645,922.2982,2,22222,55.4054054054054,"900-1800m",760.430410810811,9654.33879999646,1.02702702702703,9993.67567567568,10037.7719419054,"LN5 7NA","LN5","7NA","LN57NA"
26784,"LN57TG","E01026178","9E89105A-5BC8-2C71-E053-A03BA40A7146","Public Park Or Garden",9654.33879999645,536.57434,1,9654,46.7179487179487,"300-600m",515.684451538462,10434.7340999963,1.1025641025641,12595.1794871795,10037.7719419054,"LN5 7TG","LN5","7TG","LN57TG"
26785,"LN58QP","E01026175","9E89105A-4FAE-2C71-E053-A03BA40A7146","Public Park Or Garden",186106.398000007,566.3682,4,284883,42.1818181818182,"300-600m",412.886857681818,178487.149802279,3.70454545454546,277327.704545454,7286.7997001774,"LN5 8QP","LN5","8QP","LN58QP"
29156,"LN57PY","E01026132","9E89105A-5BC8-2C71-E053-A03BA40A7146","Public Park Or Garden",9654.33879999645,786.51953,1,9654,47.8987341772152,"600-900m",734.831062025317,62882.5533443033,2.20253164556962,203612.139240506,10037.7719419054,"LN5 7PY","LN5","7PY","LN57PY"
31227,"LN59LY","E01026184","9E89105A-7AB6-2C71-E053-A03BA40A7146","Playing Field",50349.9699500078,777.0161,1,50349,65.6129032258065,"600-900m",558.86225,50349.9699500078,1,50349,3932.43043085783,"LN5 9LY","LN5","9LY","LN59LY"
32987,"LN55SH","E01026143","9E89105A-4FF8-2C71-E053-A03BA40A7146","Public Park Or Garden",14946.9142000003,314.3533,6,741801,25.0917431192661,"300-600m",289.298267605505,13877.4895146789,5.93577981651376,684949.009174312,5864.54136610223,"LN5 5SH","LN5","5SH","LN55SH"
